District,Rooms,Price
Kocasinan / Fevziçakmak,3+1,18.000 TL
Talas,2.5+1,17.000 TL
Melikgazi / Şeker/Keykubat,3+1,13.250 TL
Kocasinan / Fevziçakmak,3+1,16.000 TL
İncesu,2+1,10.000 TL
Melikgazi / Mimarsinan,2+1,15.995 TL
Kocasinan / Yenişehir,2+1,14.000 TL
Melikgazi / Gesi,3+1,14.000 TL
Talas,3+1,12.500 TL
Kocasinan / Merkez,4+0,14.500 TL
Melikgazi / Hürriyet,2+1,6.000 TL
Pınarbaşı,3+1,15.000 TL
Kocasinan / Yenişehir,2+1,7.500 TL
Kocasinan / Argıncık,3+0,6.000 TL
Kocasinan / Sanayi,2+1,19.000 TL
Melikgazi / Hürriyet,3+1,18.000 TL
Melikgazi / Şeker/Keykubat,3+1,16.350 TL
Talas,3+1,18.500 TL
Talas,1+1,16.990 TL
Talas,1+1,14.995 TL
Kocasinan / Fevziçakmak,3+1,14.000 TL
Kocasinan / Fevziçakmak,3+1,17.000 TL
Kocasinan / Merkez,2+1,15.500 TL
Talas,3+1,17.500 TL
Kocasinan / Fevziçakmak,3+1,19.000 TL
Kocasinan / Argıncık,3+1,9.000 TL
Kocasinan / Merkez,3+1,13.000 TL
Melikgazi / Kılıçaslan,1+1,12.500 TL
Talas,3+1,18.500 TL
Kocasinan / Erkilet,3+1,13.000 TL
Kocasinan / Yenişehir,3+1,12.000 TL
Talas,3+1,16.000 TL
Melikgazi / Hürriyet,2+1,9.500 TL
Kocasinan / Yenimahalle,3+1,13.000 TL
Melikgazi / Hürriyet,3+1,16.000 TL
Melikgazi / Mimarsinan,3+1,11.000 TL
Kocasinan / Yenimahalle,2+1,9.500 TL
Talas,3+1,19.500 TL
Talas,3+1,13.750 TL
Kocasinan / İldem/Beyazşehir,3+1,14.500 TL
Melikgazi / Mimarsinan,3+1,11.500 TL
Kocasinan / İldem/Beyazşehir,2+1,10.000 TL
Melikgazi / Mimarsinan,3+1,13.500 TL
Kocasinan / Fevziçakmak,3+1,15.000 TL
Kocasinan / Sanayi,3+1,12.500 TL
Kocasinan / Merkez,2+1,13.000 TL
Melikgazi / Mimarsinan,2+1,10.000 TL
Kocasinan / Erkilet,3+1,15.000 TL
Kocasinan / Merkez,2+1,8.000 TL
Melikgazi / Mimarsinan,3+1,14.000 TL
Kocasinan / Fevziçakmak,2+1,6.000 TL
Talas,3+1,18.000 TL
Melikgazi / Mimarsinan,3+1,14.000 TL
Melikgazi / Şeker/Keykubat,3+1,16.000 TL
Melikgazi / Hürriyet,2+1,9.000 TL
Melikgazi / Şeker/Keykubat,3+1,17.000 TL
Melikgazi / Mimarsinan,2+1,10.500 TL
Kocasinan / Sanayi,3+1,13.500 TL
Kocasinan / İldem/Beyazşehir,3+1,9.000 TL
Develi,3+1,13.000 TL
Talas,1+1,18.000 TL
Talas,3+1,17.000 TL
Melikgazi / Hürriyet,3+1,8.000 TL
Talas,3+1,14.500 TL
Talas,2+1,18.500 TL
Kocasinan / Merkez,2+1,19.500 TL
Melikgazi / Şeker/Keykubat,2+1,16.000 TL
Talas,3+1,16.000 TL
Kocasinan / Yenişehir,3+1,12.500 TL
Kocasinan / Argıncık,2+1,8.000 TL
Melikgazi / Kılıçaslan,2.5+1,8.250 TL
Melikgazi / Hürriyet,3+1,18.000 TL
Kocasinan / Yenişehir,3+1,13.750 TL
Melikgazi / Mimarsinan,3+1,17.000 TL
Melikgazi / Merkez,3+1,15.500 TL
Melikgazi / Mimarsinan,2+1,7.999 TL
Melikgazi / Şeker/Keykubat,3+1,13.750 TL
Melikgazi / Gesi,2+1,10.500 TL
Kocasinan / İldem/Beyazşehir,3+1,16.500 TL
Talas,2+1,10.500 TL
Kocasinan / Fevziçakmak,3+1,11.000 TL
Talas,2+1,19.900 TL
Kocasinan / Sanayi,2+1,13.500 TL
Kocasinan / Erkilet,3+1,18.000 TL
Kocasinan / Fevziçakmak,3+1,14.000 TL
Melikgazi / Hürriyet,2+1,10.500 TL
Kocasinan / İldem/Beyazşehir,2.5+1,15.000 TL
Kocasinan / Erkilet,3+1,18.000 TL
Melikgazi / Mimarsinan,2.5+1,10.000 TL
Melikgazi / Gesi,3+1,15.000 TL
Melikgazi / Kılıçaslan,2+1,11.500 TL
Talas,2+1,16.500 TL
Melikgazi / Kılıçaslan,4+1,17.500 TL
Talas,1+1,15.750 TL
Melikgazi / Becen,3+1,13.500 TL
Melikgazi / Mimarsinan,3+1,12.000 TL
Melikgazi / Kazımkarabekir,3+1,12.500 TL
Melikgazi / Mimarsinan,2+1,10.000 TL
Kocasinan / Sanayi,2+1,18.500 TL
Kocasinan / Merkez,2+1,10.500 TL
Develi,3+1,13.500 TL
Kocasinan / Merkez,2+1,14.500 TL
Kocasinan / Erkilet,3+1,13.000 TL
Melikgazi / Kılıçaslan,3+1,16.000 TL
Kocasinan / Sanayi,3+1,10.000 TL
Kocasinan / Yenimahalle,3+1,18.000 TL
Kocasinan / Fevziçakmak,2+1,10.000 TL
Talas,1+1,18.000 TL
Kocasinan / Merkez,1+1,13.000 TL
Kocasinan / Merkez,2+1,17.000 TL
Talas,3+1,14.000 TL
Kocasinan / Erkilet,2+1,12.500 TL
Kocasinan / Yenimahalle,3+1,11.000 TL
Kocasinan / Yenişehir,3+1,10.000 TL
Kocasinan / Erkilet,2+1,14.000 TL
Kocasinan / Merkez,3+1,18.000 TL
Talas,2+1,13.500 TL
Melikgazi / Hürriyet,3+1,14.500 TL
Talas,3+1,18.500 TL
Talas,3+1,17.000 TL
Talas,2+1,18.000 TL
Kocasinan / İldem/Beyazşehir,3+1,12.000 TL
Kocasinan / Sanayi,3+1,16.000 TL
Melikgazi / Kılıçaslan,2+1,10.500 TL
Talas,3+1,16.000 TL
Melikgazi / Mimarsinan,2+1,14.999 TL
Kocasinan / Fevziçakmak,3+1,14.000 TL
Talas,1+1,17.000 TL
Talas,3+1,16.000 TL
Talas,1+1,16.995 TL
Melikgazi / Gesi,4+1,18.000 TL
Kocasinan / İldem/Beyazşehir,3+1,14.500 TL
Melikgazi / Becen,3+1,17.000 TL
Kocasinan / Argıncık,3+1,19.000 TL
Melikgazi / Hürriyet,2+1,10.500 TL
Kocasinan / Yenimahalle,3+1,18.000 TL
Melikgazi / Mimarsinan,3+1,13.000 TL
Talas,2+1,19.995 TL
Talas,3+1,13.500 TL
Kocasinan / Fevziçakmak,3+1,10.000 TL
Melikgazi / Şeker/Keykubat,3+1,13.000 TL
Kocasinan / Yenişehir,2+1,9.499 TL
Kocasinan / Yenimahalle,3+1,12.500 TL
Kocasinan / Argıncık,2+1,6.000 TL
Melikgazi / Mimarsinan,3+1,15.000 TL
Melikgazi / Mimarsinan,2+1,19.000 TL
Kocasinan / Merkez,3+1,18.500 TL
Melikgazi / Şeker/Keykubat,3+1,18.500 TL
Kocasinan / Argıncık,3+1,12.000 TL
Kocasinan / Yenişehir,3+1,11.000 TL
Talas,3+1,15.000 TL
Talas,3+1,18.500 TL
Kocasinan / Fevziçakmak,3+1,15.000 TL
Talas,3+1,18.500 TL
Melikgazi / Hürriyet,2+1,12.500 TL
Melikgazi / Şeker/Keykubat,3+1,9.500 TL
Melikgazi / Becen,2+1,12.750 TL
Talas,3+1,13.000 TL
Kocasinan / Fevziçakmak,3+1,14.000 TL
Melikgazi / Gesi,2.5+1,15.100 TL
Kocasinan / İldem/Beyazşehir,3+1,9.250 TL
Kocasinan / Erkilet,2+1,14.500 TL
Kocasinan / Yenişehir,4+1,14.500 TL
Melikgazi / Mimarsinan,4+1,17.000 TL
Melikgazi / Kılıçaslan,3+1,4.000 TL
Kocasinan / Merkez,3+1,14.000 TL
Kocasinan / Fevziçakmak,3+1,16.000 TL
Kocasinan / Sanayi,3+1,6.000 TL
Melikgazi / Kazımkarabekir,3+1,15.000 TL
Kocasinan / Merkez,3+1,16.000 TL
Talas,3+1,18.500 TL
Melikgazi / Mimarsinan,3+1,12.500 TL
Melikgazi / Çiftlik,3+1,11.500 TL
Kocasinan / İldem/Beyazşehir,3+1,13.000 TL
Kocasinan / Erkilet,2+1,12.500 TL
Melikgazi / Mimarsinan,3+1,18.000 TL
Kocasinan / Sanayi,3+1,14.000 TL
Melikgazi / Hürriyet,3+1,10.000 TL
Kocasinan / Sanayi,3+1,16.000 TL
Talas,1+1,16.995 TL
Talas,3+1,19.000 TL
Kocasinan / Fevziçakmak,2+1,9.500 TL
Melikgazi / Mimarsinan,2+1,17.500 TL
Kocasinan / Erkilet,3+1,19.500 TL
Melikgazi / Kazımkarabekir,3+1,15.000 TL
Talas,3+1,19.250 TL
Kocasinan / Merkez,1+1,17.500 TL
Talas,3+1,15.000 TL
Kocasinan / Merkez,2+1,15.000 TL
Kocasinan / Merkez,1+1,16.000 TL
Melikgazi / Gesi,3+1,15.000 TL
Kocasinan / Merkez,2+1,15.000 TL
Melikgazi / Hürriyet,2+1,6.500 TL
Talas,3+1,14.000 TL
Talas,1+1,16.950 TL
Talas,2+1,14.000 TL
Talas,3+1,12.000 TL
Kocasinan / İldem/Beyazşehir,2+1,18.000 TL
Kocasinan / Sanayi,2+1,18.000 TL
Melikgazi / Hürriyet,1+1,7.000 TL
Melikgazi / Kılıçaslan,2+1,10.000 TL
Kocasinan / Yenişehir,2+1,11.500 TL
Kocasinan / Fevziçakmak,3+1,9.000 TL
Kocasinan / Erkilet,3+1,18.750 TL
Melikgazi / Kılıçaslan,3+1,13.500 TL
Kocasinan / Erkilet,2+1,12.000 TL
Talas,3+1,18.000 TL
Kocasinan / Sanayi,2+1,10.000 TL
Kocasinan / Yenişehir,3+1,16.000 TL
Kocasinan / Fevziçakmak,3+1,13.000 TL
Kocasinan / Erkilet,3+1,17.000 TL
Kocasinan / Yenişehir,3+1,15.000 TL
Kocasinan / Merkez,1+1,17.000 TL
Talas,1+1,15.995 TL
Kocasinan / İldem/Beyazşehir,3+1,12.000 TL
Talas,1+1,18.000 TL
Kocasinan / Fevziçakmak,2+1,5.000 TL
Melikgazi / Gesi,3+1,12.500 TL
Talas,3+1,11.000 TL
Kocasinan / Fevziçakmak,3+1,10.000 TL
Melikgazi / Hürriyet,2.5+1,19.000 TL
Talas,3+1,18.000 TL
Talas,3+1,17.000 TL
Kocasinan / Fevziçakmak,3+1,18.000 TL
Melikgazi / Gesi,4+1,17.000 TL
Talas,2.5+1,19.000 TL
Melikgazi / Kılıçaslan,4+1,15.500 TL
Melikgazi / Mimarsinan,3+1,18.000 TL
Talas,3+1,14.500 TL
Melikgazi / Gesi,3+1,16.000 TL
Melikgazi / Gesi,3+1,18.000 TL
Kocasinan / Merkez,2+1,13.000 TL
Kocasinan / Yenişehir,2+1,15.000 TL
Talas,2.5+1,17.500 TL
Kocasinan / Merkez,2+1,18.615 TL
Kocasinan / Fevziçakmak,3+1,7.500 TL
Kocasinan / Erkilet,2+1,15.000 TL
Kocasinan / Merkez,3+1,17.000 TL
Kocasinan / Yenimahalle,2.5+1,10.000 TL
Melikgazi / Kılıçaslan,2+1,19.000 TL
