code,turkish_name,english_name,weight
0711107,Hibrit otomobil,Hybrid car,
0711109,Elektrikli otomobil,Electric car,
0712,Motosikletler,Motorcycles,"0,4769"
07120,Motosikletler,Motorcycles,"0,4769"
0712001,Motosiklet,Motorcycle,
0713,Bisikletler,Bicycles,"0,0553"
07130,Bisikletler,Bicycles,"0,0553"
0713001,Bisiklet,Bicycle,
072,Kişisel ulaşım araçlarının kullanımı,Operation of personal transport equipment,"4,8757"
0721,Kişisel ulaşım araçlarının parça ve aksesuarları,Parts and accessories for personal transport equipment,"0,3585"
07211,Lastikler,Tyres,"0,1836"
0721101,Otomobil lastikleri,Vehicle tyres,
07212,Kişisel ulaşım araçlarının parçaları,Parts for personal transport equipment,"0,1124"
0721201,Otomobil yedek parça ve ekipmanları,Vehicle spare parts and equipment,
07213,Kişisel ulaşım araçlarının aksesuarları,Accessories for personal transport equipment,"0,0624"
0721302,Otomobil aksesuarları,Vehicle accessories,
0722,Kişisel ulaşım araçları için yakıtlar ve yağlar,Fuels and lubricants for personal transport equipment,"3,2290"
07221,Motorin (Mazot),Diesel,"1,3919"
0722101,Motorin (mazot),Diesel fuel,
07222,Benzin,Petrol,"1,2364"
0722201,Benzin,Petrol (gasoline),
07223,Kişisel ulaşım araçları için diğer yakıtlar,Other fuels for personal transport equipment,"0,5801"
0722301,LPG ücreti (taşıtlar için),LPG (for cars),
0722398,Elektrikli araç şarj ücreti,Electric vehicle charging fee,
07224,Yağlar,Lubricants,"0,0207"
0722401,Motor yağları,Motor oils,
0723,Kişisel ulaşım araçlarının bakım ve onarımı,Maintenance and repair of personal transport equipment,"0,9917"
07230,Kişisel ulaşım araçlarının bakım ve onarımı,Maintenance and repair of personal transport equipment,"0,9917"
0723001,Otomobil yedek parça ve aksesuar montaj hizmeti,Installation of vehicle parts and accessories,
0723002,Otomobil tamir ve bakım hizmeti,Repair and maintenance service of vehicles,
0724,Kişisel ulaşım araçları ile ilgili diğer hizmetler,Other services related to personal transport equipment,"0,2965"
07242,Geçiş ücretleri,Toll facilities,"0,0343"
0724201,Otoban geçiş ücreti,Motorway toll,
0724202,Köprü geçiş ücreti,Bridge toll,
07243,"Sürücü kursları, araç muayene, emisyon ölçüm ücreti vb. hizmetler","Driving lessons, tests, licences and roadworthiness tests","0,1900"
0724302,Sürücü kursu ücreti,Driving course fee,
0724304,Araç muayene ve emisyon ölçüm ücreti,Vehicle inspection and emission fee,
07244,Kişisel ulaşım araçlarının sürücüsüz olarak kiralanması,Hire of personal transport equipment without driver,"0,0723"
0724401,Araç kiralama ücreti,Car rental fee,
073,Yolcu taşıma hizmetleri,Passenger transport services,"6,1420"
0731,Demir yolu ile yolcu taşımacılığı,Passenger transport by railway,"0,1151"
07311,Tren ile yolcu taşımacılığı,Passenger transport by train,"0,0984"
0731102,Tren bileti ücreti (şehirlerarası),Intercity train fare,
07312,Metro ve tramvay ile yolcu taşımacılığı,Passenger transport by rapid transit and tram,"0,0167"
0731201,Metro bileti ücreti,Metro fare,
0731203,Tramvay bileti ücreti,Tram fare,
0732,Kara yolu ile yolcu taşımacılığı,Passenger transport by road,"5,1049"
07321,Otobüs ile yolcu taşımacılığı,Passenger transport by bus and coach,"3,6534"
0732101,Belediye otobüs bileti ücreti,Urban bus fare,
0732104,Şehirlerarası otobüs bileti ücreti,Intercity bus fare,
0732106,Dolmuş ücreti,Shared taxi and minibus fare,
07322,Taksi ve sürücüsü ile birlikte kiralanmış taşıtlarla yolcu taşımacılığı,Passenger transport by taxi and hired vehicle with driver,"0,6625"
0732201,Taksi ücreti,Taxi fare,
07323,Okul servisleri,Passenger transport for students to and from school,"0,7890"
0732301,Okul servisi ücreti,School transport fee,
0733,Hava yolu ile yolcu taşımacılığı,Passenger transport by air,"0,8737"
07331,Hava yolu ile yurt içi yolcu taşımacılığı,"Passenger transport by air, domestic","0,5863"
0733101,Uçak bileti ücreti (yurtiçi),Domestic flight fare,
07332,Hava yolu ile yurt dışı yolcu taşımacılığı,"Passenger transport by air, international","0,2874"
0733201,Uçak bileti ücreti (yurt dışı),International flight fare,
0734,Deniz ve iç sularda yolcu taşımacılığı,Passenger transport by sea and inland waterway,"0,0483"
07340,Deniz ve iç sularda yolcu taşımacılığı,Passenger transport by sea and inland waterway,"0,0483"
0734001,Vapur bileti ücreti,Ferry fare,
074,Posta ve mal taşımacılığı hizmetleri,Transport services for goods,"0,4814"
0741,Posta ve kurye hizmetleri,Postal and courier services,"0,0412"
07412,Kurye ve paket/koli dağıtım hizmetleri,Courier and parcel delivery services,"0,0412"
0741201,Kargo gönderim ücreti,Cargo delivery cost,
0749,Diğer mal taşımacılığı,Other transport of goods,"0,4402"
07491,Nakliye ve depolama hizmetleri,Removal and storage services,"0,4338"
0749101,Nakliye ücreti,Moving fee,
07492,"Malların dağıtım ücretleri (kurye, paket servis vb.)",Delivery of goods,"0,0064"
0749201,"Malların dağıtım ücretleri (kurye, paket servis vb.)",Delivery fee for goods,
08,Bilgi ve iletişim,Information and communication,"3,1035"
081,Bilgi ve iletişim ekipmanları,Information and communication equipment,"1,4766"
0812,Mobil telefon ekipmanları,Mobile telephone equipment,"0,8738"
08120,Mobil telefon ve ekipmanları,Mobile telephone equipment,"0,8738"
0812002,Cep telefonu,Mobile phone,
0813,Bilgi işleme ekipmanları,Information processing equipment,"0,1984"
08131,"Bilgisayarlar, diz üstü bilsayarlar ve tablet bilgisayarlar","Computers, laptops and tablets","0,1808"
0813101,Bilgisayar,Computer,
