product_id,price,category,tuik_code
4264,144.0,Trapez sac,05
4893,178.0,Pis su boru ve parçaları,05
4916,115.0,Pis su boru ve parçaları,05
4917,100.0,Pis su boru ve parçaları,05
4873,167.0,Pis su boru ve parçaları,05
4935,49.0,Temiz su boru ve parçaları,05
4884,68.0,Pis su boru ve parçaları,05
4874,411.0,Pis su boru ve parçaları,05
4899,48.0,Pis su boru ve parçaları,05
4892,109.0,Pis su boru ve parçaları,05
4914,66.0,Pis su boru ve parçaları,05
4904,35.0,Pis su boru ve parçaları,05
12648,77.0,Pis su boru ve parçaları,05
4869,111.0,Pis su boru ve parçaları,05
4915,93.0,Pis su boru ve parçaları,05
4905,37.0,Pis su boru ve parçaları,05
4900,60.0,Pis su boru ve parçaları,05
4924,182.0,Pis su boru ve parçaları,05
4922,57.0,Pis su boru ve parçaları,05
4909,4.0,Pis su boru ve parçaları,05
11825,260.0,Menfez ve aspiratör,05
4928,26.0,Pis su boru ve parçaları,05
4891,145.0,Pis su boru ve parçaları,05
4919,164.0,Pis su boru ve parçaları,05
4906,67.0,Pis su boru ve parçaları,05
4876,182.0,Pis su boru ve parçaları,05
4918,200.0,Pis su boru ve parçaları,05
4910,179.0,Pis su boru ve parçaları,05
4877,346.0,Pis su boru ve parçaları,05
4885,91.0,Pis su boru ve parçaları,05
4878,510.0,Pis su boru ve parçaları,05
4901,70.0,Pis su boru ve parçaları,05
4875,102.0,Pis su boru ve parçaları,05
14223,87.0,Pis su boru ve parçaları,05
4923,95.0,Pis su boru ve parçaları,05
4889,37.0,Pis su boru ve parçaları,05
4925,44.0,Pis su boru ve parçaları,05
3581,750.0,EPS Karbonlu,05
3793,65.0,Tesisat malzemeleri,05
3792,67.0,Tesisat malzemeleri,05
1707,950.0,EPS Karbonlu,05
14851,175.0,Tesisat malzemeleri,05
12729,198.9,Anahtar fiş priz,05
4799,115.0,Temiz su boru ve parçaları,05
4798,35.0,Temiz su boru ve parçaları,05
11231,60.0,Temiz su boru ve parçaları,05
4814,31.0,Temiz su boru ve parçaları,05
