product_id,price,category,tuik_code,change_1d,change_7d,change_15d
4832,84.0,Temiz su boru ve parçaları,05,0.0,,
4780,3.0,Temiz su boru ve parçaları,05,0.0,,
4762,102.0,Temiz su boru ve parçaları,05,0.0,,
4789,6.0,Temiz su boru ve parçaları,05,0.0,,
4801,120.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4802,106.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4800,43.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4809,45.0,Temiz su boru ve parçaları,05,0.0,,
4821,40.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4805,34.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4816,32.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4826,39.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4837,143.0,Temiz su boru ve parçaları,05,0.0,,
4836,127.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4830,47.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
14606,149.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4793,9.0,Temiz su boru ve parçaları,05,0.0,,
4784,4.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4810,61.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4822,57.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4806,42.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4817,39.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
11233,146.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4841,132.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4831,65.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4827,46.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4775,7.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4774,6.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4770,22.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4856,6.0,Temiz su boru ve parçaları,05,0.0,,
4813,82.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4848,5.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4857,4.0,Temiz su boru ve parçaları,05,0.0,,
4767,147.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4852,5.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4833,116.0,Temiz su boru ve parçaları,05,0.0,,
4781,4.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4763,155.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4790,8.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4811,102.0,Temiz su boru ve parçaları,05,0.0,,
4823,92.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4807,78.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4818,75.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4845,185.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4842,163.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4828,82.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4794,16.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4785,5.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4761,17.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4786,5.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4777,12.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4776,11.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4771,51.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4858,7.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4849,8.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4859,4.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4768,233.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4853,10.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4834,172.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4782,8.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4764,258.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4791,15.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4819,158.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4824,200.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4846,290.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4843,278.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4795,25.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4787,9.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4796,26.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4788,9.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4797,26.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4759,10.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4779,21.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4778,21.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4850,14.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4860,5.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4835,359.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4783,14.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4765,399.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4792,28.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
13359,65.0,Yapıştırıcılar,05,0.0,0.0,0.0
13360,135.0,Yapıştırıcılar,05,0.0,0.0,0.0
13361,65.0,Yapıştırıcılar,05,0.0,0.0,0.0
14607,32.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
14996,214.0,Temiz su boru ve parçaları,05,0.0,0.0,0.0
4865,72.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4879,19.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
11012,128.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4880,30.0,Pis su boru ve parçaları,05,0.0,,
4872,189.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4894,14.0,Pis su boru ve parçaları,05,0.0,,
10812,52.0,Pis su boru ve parçaları,05,0.0,0.0,0.0
4911,28.0,Pis su boru ve parçaları,05,0.0,,
