2026-09-25 07:08:34 [INFO] ==================================================
2026-09-25 07:08:34 [INFO] Yapimaks Scraper basliyor (async)
2026-09-25 07:08:34 [INFO] ==================================================
2026-09-25 07:08:34 [INFO] Parametreler: workers=8, rate=0.8/sn, max_duration=300 dk
2026-09-25 07:08:34 [INFO] Ana sayfa ziyaret ediliyor, cookie aliniyor...
2026-09-25 07:08:35 [INFO] Cookie basariyla alindi.
2026-09-25 07:08:35 [INFO] Sitemap indiriliyor: https://yapimaks.com/sitemap/products1.xml
2026-09-25 07:08:36 [INFO] Sitemap'ten toplam 8370 urun URL'si bulundu.
2026-09-25 07:08:36 [INFO] Dunun dosyasi: 2026-09-24.csv
2026-09-25 07:08:36 [INFO] Dunun dosyasinda 8606 urun var.
2026-09-25 07:08:36 [WARNING] 186 urun 7+ gun sitemap'te gorunmuyor, dosyadan dusuruldu: ['https://yapimaks.com/agac-kesim-motorlu-benzinli-testere-41cc-1-9hp-kama-kmr41-p14029', 'https://yapimaks.com/agac-kesim-motorlu-test-elektrik-ex75043a-p3250', 'https://yapimaks.com/agac-kesim-motorlu-testere-46cc-kama-p11244', 'https://yapimaks.com/agac-kesim-motorlu-testere-factor-p14935', 'https://yapimaks.com/agt-supurgelik-6cm-anemon-spr-5030-p11373']...
2026-09-25 07:08:36 [INFO] GUNLUK BUTCE: 480 urun aday — hepsi bu koşuda tazelenir.
2026-09-25 07:08:36 [INFO] Tasinacak (degismeyen) urun: 8420 | Yeniden cekilecek: 480
2026-09-25 07:09:10 [INFO] [5966] 'MATKAP UÇLU VİDA YHB 3.9x13 (PKT=1000 AD' | 324.00 TL | SKU: MERİDYEN.MHB3913
2026-09-25 07:09:11 [INFO] [13797] 'LED AMPUL CRYSTAL 30W 6400K BEYAZ 175-26' | 95.00 TL | SKU: HOROZ.001-016-1030
2026-09-25 07:09:12 [INFO] [13752] 'LED AMPUL CRYSTAL 50W BEYAZ 6400K 175-26' | 150.00 TL | SKU: HOROZ.001-016-1050
2026-09-25 07:09:14 [INFO] [15820] 'ACİL ÇIKIŞ ARMATÜR EXIT AŞAĞI 3 SAAT AKÜ' | 225.00 TL | SKU: CATA.CT9167
2026-09-25 07:09:15 [INFO] [448] 'AGT SÜPÜRGELİK 6cm ANTALYA ÇAM SPR-5030' | 100.00 TL | SKU: AGT.120020463
2026-09-25 07:09:16 [INFO] [459] 'AGT SÜPÜRGELİK 8cm NATURA PS08000' | 140.00 TL | SKU: AGT.120022744
2026-09-25 07:09:17 [INFO] [2332] '60*60*2.50MM KUTU PROFİL' | 1127.20 TL | SKU: DEM.PRF.100
2026-09-25 07:09:19 [INFO] [15904] 'FREN BALATA TEMİZLEYİCİ SPREY 500ML AKFİ' | 150.00 TL | SKU: AKFİX.A110
2026-09-25 07:09:20 [INFO] [4869] '100/500 PİS SU BORU PPRC KALDE' | 127.00 TL | SKU: KALDE.5203TBE0M0500
2026-09-25 07:09:21 [INFO] [2429] '60*80*3.0MM KUTU PROFİL' | 1602.45 TL | SKU: DEM.PRF.372
2026-09-25 07:09:22 [INFO] [2428] '60*80*2.0MM KUTU PROFİL' | 1184.86 TL | SKU: DEM.PRF.371
2026-09-25 07:09:24 [INFO] [4885] '125/250 PİS SU BORU KALDE' | 116.00 TL | SKU: KALDE.5203TBEXN0250
2026-09-25 07:09:25 [INFO] [4876] '125/1000 PİS SU BORU KALDE' | 222.00 TL | SKU: KALDE.5203TBE0N1000
2026-09-25 07:09:26 [INFO] [4875] '125/500 PİS SU BORU PPRC KALDE' | 116.00 TL | SKU: KALDE.5203TBE0N0500
2026-09-25 07:09:27 [INFO] [1546] 'ARDUAZLI POLİROOF PR-4500 HARDAL (-5) 3.' | 2150.00 TL | SKU: BTM.0025
2026-09-25 07:09:29 [INFO] [4898] '70/50 ÇATAL PİS SU PVC KALDE' | 52.00 TL | SKU: KALDE.5213SBR0L0K45
2026-09-25 07:09:30 [INFO] [4798] '20 1/2 BATARYA BAĞLANTISI TEKLİ DİŞİ KAL' | 55.00 TL | SKU: KALDE.3222BAT200B01
2026-09-25 07:09:31 [INFO] [11365] 'AGT PARKE LUNA ANEMON (2,292m2)' | 1042.00 TL | SKU: AGT.8312211
2026-09-25 07:09:32 [INFO] [11363] 'AGT PARKE LUNA AKASYA (2,292m2)' | 1042.00 TL | SKU: AGT.8312209
2026-09-25 07:09:34 [INFO] [531] 'AGT PARKE NATURA ALARA MEŞE (1,8336m2)' | 812.00 TL | SKU: AGT.8312205
2026-09-25 07:09:35 [INFO] [387] 'AGT PARKE NATURA NİKSAR CEVİZ (1,8336m2)' | 812.00 TL | SKU: AGT.120000561
2026-09-25 07:09:36 [INFO] [402] 'AGT PARKE NATURALİNE KANYON MEŞE (1,8336' | 890.00 TL | SKU: AGT.120016355
2026-09-25 07:09:37 [INFO] [408] 'AGT PARKE NATURALİNE MERİÇ (1,8336m2)' | 890.00 TL | SKU: AGT.120016364
2026-09-25 07:09:39 [INFO] [11364] 'AGT PARKE LUNA BEGONYA (1P=2,292m2)' | 1042.00 TL | SKU: AGT.8312210
2026-09-25 07:09:40 [INFO] [4928] '100 TAPA PİS SU KALDE' | 25.00 TL | SKU: KALDE.5213STE0M0000
2026-09-25 07:09:41 [INFO] [479] 'AGT PARKE NATURALİNE RODOS (1,8336m2)' | 890.00 TL | SKU: AGT.120028462
2026-09-25 07:09:42 [INFO] [406] 'AGT PARKE NATURALİNE SELGE (1,8336m2)' | 890.00 TL | SKU: AGT.120016362
2026-09-25 07:09:44 [INFO] [405] 'AGT PARKE NATURALİNE VOLGA (1,8336m2)' | 890.00 TL | SKU: AGT.120016361
2026-09-25 07:09:45 [INFO] [14890] 'AGT SÜPÜRGELİK 10cm FIRTINA GRİ SOFT TOU' | 310.00 TL | SKU: AGT.120049809
2026-09-25 07:09:46 [INFO] [11374] 'AGT SÜPÜRGELİK 6cm AKASYA SPR-5030' | 100.00 TL | SKU: AGT.8312215
2026-09-25 07:09:47 [INFO] [4878] '125/3000 PİS SU BORU KALDE' | 585.00 TL | SKU: KALDE.5203TBE0N3000
2026-09-25 07:09:49 [INFO] [13750] 'AGT SÜPÜRGELİK 6cm BEYAZ FINISH PAK SPR-' | 140.00 TL | SKU: AGT.120033923
2026-09-25 07:09:50 [INFO] [440] 'AGT SÜPÜRGELİK 6cm DALAMAN SPR-5030' | 100.00 TL | SKU: AGT.120020455
2026-09-25 07:09:51 [INFO] [494] 'AGT SÜPÜRGELİK 6cm BUTE BEYAZ SPR-5030' | 140.00 TL | SKU: AGT.1200299988
2026-09-25 07:09:52 [INFO] [441] 'AGT SÜPÜRGELİK 6cm BEYAZ MEŞE SPR-5030' | 100.00 TL | SKU: AGT.120020456
2026-09-25 07:09:54 [INFO] [14358] 'AGT SÜPÜRGELİK 6cm GALA MEŞE SPR-5030' | 100.00 TL | SKU: AGT.120036421
2026-09-25 07:09:55 [INFO] [12130] 'AGT SÜPÜRGELİK 6cm ALTAY EFFECT FİNİSH S' | 100.00 TL | SKU: AGT.120030300
2026-09-25 07:09:56 [INFO] [513] 'AGT SÜPÜRGELİK 6cm LİKYA SPR-5030' | 100.00 TL | SKU: AGT.120036449
2026-09-25 07:09:57 [INFO] [14359] 'AGT SÜPÜRGELİK 6cm LOTUS SPR-5030' | 100.00 TL | SKU: AGT.120046938
2026-09-25 07:09:59 [INFO] [14357] 'AGT SÜPÜRGELİK 6cm DEFNE SPR-5030' | 100.00 TL | SKU: AGT.120036422
2026-09-25 07:10:00 [INFO] [445] 'AGT SÜPÜRGELİK 6cm GRİ MEŞE SPR-5030' | 100.00 TL | SKU: AGT.120020460
2026-09-25 07:10:01 [INFO] [12807] 'AGT SÜPÜRGELİK 6cm NİL SPR-5030' | 100.00 TL | SKU: AGT.8312224
2026-09-25 07:10:02 [INFO] [14657] 'AGT SÜPÜRGELİK 6cm OLİMPOS MEŞE SPR-5030' | 100.00 TL | SKU: AGT.120044881
2026-09-25 07:10:04 [INFO] [14361] 'AGT SÜPÜRGELİK 6cm MODENA ASTERA SPR-503' | 100.00 TL | SKU: AGT.120048921
2026-09-25 07:10:05 [INFO] [437] 'AGT SÜPÜRGELİK 6cm DORİNO SPR-5030' | 100.00 TL | SKU: AGT.120030956
2026-09-25 07:10:06 [INFO] [12129] 'AGT SÜPÜRGELİK 6cm RODOS SPR-5030' | 100.00 TL | SKU: AGT.120030611
2026-09-25 07:10:07 [INFO] [9109] 'MATKAP UÇLU VİDA YSB 4.8x70 (PKT=200 AD)' | 350.00 TL | SKU: STD.900094700
2026-09-25 07:10:09 [INFO] [438] 'AGT SÜPÜRGELİK 6cm SİDE ÇAM SPR-5030' | 100.00 TL | SKU: AGT.120020453
