2026-09-19 07:02:58 [INFO] ==================================================
2026-09-19 07:02:58 [INFO] Yapimaks Scraper basliyor (async)
2026-09-19 07:02:58 [INFO] ==================================================
2026-09-19 07:02:58 [INFO] Parametreler: workers=8, rate=0.8/sn, max_duration=300 dk
2026-09-19 07:02:58 [INFO] Ana sayfa ziyaret ediliyor, cookie aliniyor...
2026-09-19 07:02:59 [INFO] Cookie basariyla alindi.
2026-09-19 07:02:59 [INFO] Sitemap indiriliyor: https://yapimaks.com/sitemap/products1.xml
2026-09-19 07:02:59 [INFO] Sitemap'ten toplam 8384 urun URL'si bulundu.
2026-09-19 07:02:59 [INFO] Dunun dosyasi: 2026-09-18.csv
2026-09-19 07:03:00 [INFO] Dunun dosyasinda 8586 urun var.
2026-09-19 07:03:00 [WARNING] GUNLUK BUTCE: 5617 urun cekilmeye aday, ilk 2500 tazelenecek; kalan 3117 yarin (en bayatlar önce) devam eder (self-heal).
2026-09-19 07:03:00 [INFO] Tasinacak (degismeyen) urun: 8586 | Yeniden cekilecek: 2500
2026-09-19 07:03:37 [INFO] [6122] 'BUAT KARE 20X20 SIVA ALTI TURUNCU MUTLUS' | 150.00 TL | SKU: MUTLUSAN.10460220200012
2026-09-19 07:03:39 [INFO] [1808] 'BANYO DUŞ PERDE BORUSU DÜZ 2M' | 275.00 TL | SKU: ÇELİKAYNA.125
2026-09-19 07:03:40 [INFO] [9434] 'BUAT KARE 10x10' | 95.00 TL | SKU: TEK-İŞ.521036
2026-09-19 07:03:41 [INFO] [14640] 'CİVATA SABİTLEYİCİ ORTA KUVVET TL-43 50M' | 145.00 TL | SKU: FORCE.F03010
2026-09-19 07:03:42 [INFO] [7978] 'ÇİVİ ÇAKMA TABANCASI HAVALI  RTM0135' | 3750.00 TL | SKU: RTRMAX.RTM0135
2026-09-19 07:03:44 [INFO] [881] 'ÇİZME KONÇLU KAMUFLAJ NO:40' | 900.00 TL | SKU: ATEF.27-0260-021
2026-09-19 07:03:45 [INFO] [882] 'ÇİZME KONÇLU KAMUFLAJ NO:42' | 900.00 TL | SKU: ATEF.27-0260-022
2026-09-19 07:03:46 [INFO] [4841] '25 3/4 REKOR OYNAR BAŞLI İÇ DİŞLİ KALDE' | 179.00 TL | SKU: KALDE.3272TUF250C00
2026-09-19 07:03:47 [INFO] [9489] 'BUAT KLEMENS GEÇMELİ 2 X 2,5 MM 5AD' | 135.00 TL | SKU: TEK-İŞ.527678
2026-09-19 07:03:49 [INFO] [12652] 'ÇOK AMAÇLI DEVİR AYARLI ALET 320W RTM137' | 4750.00 TL | SKU: RTRMAX.RTM137
2026-09-19 07:03:50 [INFO] [6275] 'CIRT ZIMPARA 225 MM 220 KUM DELİKLİ' | 20.00 TL | SKU: NIKON.N52024
2026-09-19 07:03:51 [INFO] [11127] 'DÜĞME ANAHTAR ANTRASİT NOVELLA VİKO' | 65.00 TL | SKU: VİKO.92605301
2026-09-19 07:03:52 [INFO] [10792] 'BALYOZ 3 KG DÜZ ERBA' | 600.00 TL | SKU: BALYOZ.ERBA.D3KG
2026-09-19 07:03:54 [INFO] [2633] "DURACELL PİL BÜYÜK D 2'Lİ" | 399.00 TL | SKU: DURACELL.D
2026-09-19 07:03:55 [INFO] [2631] "DURACELL PİL İNCE 4'LÜ AAA LR03/MN2400" | 259.00 TL | SKU: DURACELL.LR03/MN2400-4
2026-09-19 07:03:56 [INFO] [8303] 'DUŞ KANALI ANZER YALITIMLI 60 CM 2MM MEM' | 2950.00 TL | SKU: SAY.72.60.STN
2026-09-19 07:03:57 [INFO] [13988] 'BUAT KARE 10X10 SIVA ALTI TURUNCU MUTLUS' | 85.00 TL | SKU: MUTLUSAN.0010460210100012
2026-09-19 07:03:59 [INFO] [3388] 'AUTOKIT OTO EV MULTİ SPREY KOKU PAPATYA ' | 229.00 TL | SKU: AUTOKİT.FA1-193
2026-09-19 07:04:00 [INFO] [10743] 'ETİKET YÖNLENDİRME SEKRETER YAPIŞKANLI 7' | 93.00 TL | SKU: NOBEL.31705298139
2026-09-19 07:04:01 [INFO] [10749] 'ETİKET YÖNLENDİRME WC ORTAK YAPIŞKANLI 7' | 93.00 TL | SKU: NOBEL.31705298148
