kategori,product_name,product_price
Et ve Tavuk,Dana Nuar - 500 Gr.,"579,95"
Et ve Tavuk,Dana Sote - 500 Gr.,"609,95"
Et ve Tavuk,Erpiliç But - 1 Kg.,"149,90"
Et ve Tavuk,Erpiliç Schnitzel 300 Gr,"89,90"
Et ve Tavuk,Fümechef Cotto Dana,"299,90"
Et ve Tavuk,Fümechef Sade Roastbeef Dana,"299,90"
Et ve Tavuk,Gedik Baget Pi - 1 Kg.,"159,90"
Et ve Tavuk,Gedik Izgara - Tava Pi - 1 Kg.,"319,90"
Et ve Tavuk,Gedik Poşet Bütün Pi - 2 Kg.,"279,80"
Et ve Tavuk,Gürmar Dana Kangal Sucuk - 500 Gr.,"899,95"
Et ve Tavuk,"Kuzu But İnciksiz - 2,5 Kg.","2.699,75"
Et ve Tavuk,"Kuzu But Tandır - 1,5 Kg.","1.994,85"
Et ve Tavuk,Kuzu Gerdan - 500 Gr.,"484,95"
Et ve Tavuk,"Kuzu Kol - 1,5 Kg.","1.544,85"
Et ve Tavuk,Kuzu Pirzola - 500 Gr.,"814,95"
Et ve Tavuk,Kuzu Şiş - 500 Gr.,"744,95"
Et ve Tavuk,Lezita But - 1 Kg.,"135,00"
Et ve Tavuk,Lezita But Izgara Derisiz - 1 Kg.,"279,90"
Et ve Tavuk,Lezita Fileto - 1 Kg.,"225,00"
Et ve Tavuk,Lezita Piliç Baton Sucuk 450 Gr,"119,90"
Et ve Tavuk,Lezita Piliç Yaprak Döner 200 gr,"129,90"
Et ve Tavuk,"Lezita Poşetli Bütün Piliç - 1,5 Kg.","209,85"
Et ve Tavuk,Maret Afiyetle Dana Kokteyl Sosis 200 gr,"219,90"
Et ve Tavuk,Maret Afiyetle Dana Sucuk 200 Gr,"230,00"
Et ve Tavuk,Maret Boncuk Sucuk 220 Gr,"349,90"
Et ve Tavuk,Maret Çemeni Sıyrılmış Pastırma 100 Gr,"379,90"
Et ve Tavuk,Maret Küvet Sucuk 300 Gr,"259,90"
Et ve Tavuk,Maret Lezzetince Hindi Füme 110 Gr,"96,50"
Et ve Tavuk,Maret Pratik Dana Macar Salam 50 Gr,"59,90"
Et ve Tavuk,Maret Pratik Hindi Füme 60 Gr,"49,90"
Et ve Tavuk,Maret Pratik Hindi Salam 8 Dilim 60 gr,"34,90"
Et ve Tavuk,Maret Pratik Sosis 140 Gr,"69,90"
Et ve Tavuk,Maret Sosis 5'li 240 Gr,"299,90"
Et ve Tavuk,Namet 7/24 Dana Jambon 50 Gr,"84,90"
Et ve Tavuk,Namet 7/24 Hindi Füme 60 Gr,"34,95"
Et ve Tavuk,Namet 7/24 Hindi Salam 60 Gr,"27,90"
Et ve Tavuk,Namet 7/24 Hindi Sosis 140 Gr,"59,90"
Et ve Tavuk,Namet Dana Kangal Sucuk 200 Gr,"239,90"
Et ve Tavuk,Namet Dana Kangal Sucuk 300 Gr,"359,90"
Et ve Tavuk,Namet Dana Kavurma 80 Gr,"239,90"
Et ve Tavuk,Namet Dilimli Hindi Jambon 130 Gr,"109,90"
Et ve Tavuk,Namet Gurme Dana Sucuk 240 Gr,"399,90"
Et ve Tavuk,Namet Hindi Uzun Sosis 210 Gr,"99,95"
Et ve Tavuk,Namet Hindi Uzun Sosis 420 Gr,"169,90"
Et ve Tavuk,Namet Kokteyl Dana Sosis 250 Gr,"299,90"
Et ve Tavuk,Namet Nam Nam Pişmiş Dana Döner 200 Gr,"199,90"
Et ve Tavuk,Namet Piliç Füme 150 Gr,"89,90"
Et ve Tavuk,Namet Sofram Kangal Sucuk 220 Gr,"119,90"
Et ve Tavuk,Pınar Aç Bitir Büyük Dilim Hindi Salam 60 Gr,"41,90"
Et ve Tavuk,Pınar Aç Bitir Fıstıklı Hindi Salam 50 Gr,"40,75"
Et ve Tavuk,Pınar Aç Bitir Hindi Füme 60 Gr,"46,90"
Et ve Tavuk,Pınar Aç Bitir Hindi Salam 75 Gr,"46,50"
Et ve Tavuk,Pınar Doyum Hindi Salam 500 Gr,"179,90"
Et ve Tavuk,Pınar Gurme Dana Sucuk 250 Gr,"499,90"
Et ve Tavuk,Pınar Gurme Hindi Füme 110Gr But Etli,"114,90"
Et ve Tavuk,Pınar Gurme Hindi Füme 110Gr Karabiberli,"95,00"
Et ve Tavuk,Pınar Gurme Hindi Füme 150Gr,"129,90"
Et ve Tavuk,Pınar Hindi Uzun Sosis 430 Gr,"209,00"
Et ve Tavuk,Pınar İllaki Kasap Sucuk 300 Gr,"499,90"
Et ve Tavuk,Pınar İllaki Misket Köfte 390 Gr,"459,95"
Et ve Tavuk,Pınar Klasik Kangal Sucuk 225 Gr,"399,00"
Et ve Tavuk,Pınar Macar Salam Aç Bitir Büyük Dilim 50 Gr,"67,75"
Et ve Tavuk,Pınar Şölen Dana Sucuk 180 Gr,"249,90"
Et ve Tavuk,Torku Dilimli Salam 50 Gr,"64,95"
Et ve Tavuk,Torku Isılı İşlem Görmüş Vakum Sucuk 180 Gr,"239,90"
Et ve Tavuk,Torku Mini Kokteyl Sosis 100 Gr,"129,90"
Et ve Tavuk,Yayla Köri Soslu Tavuk 200 Gr,"106,95"
"Süt, Kahvaltılık, Sark.",Activia Probiyotikli Bowl Ahududu&Yulaf&Ceviz,"57,50"
"Süt, Kahvaltılık, Sark.",Activia Probiyotikli Bowl Muz&Yulaf&Fındık,"57,50"
"Süt, Kahvaltılık, Sark.",Activia Probiyotikli Bowl Yaban Mersini&Chia,"57,50"
"Süt, Kahvaltılık, Sark.",Akdeniz Toros Mantı 500 Gr,"179,90"
"Süt, Kahvaltılık, Sark.",Alan Kuru Sele Zeytin - 500 Gr.,"199,95"
"Süt, Kahvaltılık, Sark.",Alan Yağlı Sele Zeytin - 500 Gr.,"249,95"
"Süt, Kahvaltılık, Sark.",Alpro Şekersiz Badem Sütü 1 Lt,"225,00"
"Süt, Kahvaltılık, Sark.",Anavarza Çam Balı 325 Gr,"349,90"
"Süt, Kahvaltılık, Sark.",Anavarza Çam Balı 450 Gr,"399,90"
"Süt, Kahvaltılık, Sark.",Anavarza Çam Balı 850 Gr,"699,90"
"Süt, Kahvaltılık, Sark.",Anavarza Çiçek Balı 450 Gr,"299,90"
"Süt, Kahvaltılık, Sark.",Anavarza Çiçek Balı 850 Gr,"499,90"
"Süt, Kahvaltılık, Sark.",Anavarza Çiçek Balı Akıllı Kapak 325 Gr,"317,50"
"Süt, Kahvaltılık, Sark.",Anavarza Keven Kekik Balı 450 Gr,"499,90"
"Süt, Kahvaltılık, Sark.",Anavarza Keven Kekik Balı 850 Gr,"799,90"
"Süt, Kahvaltılık, Sark.",Anavarza Kral Şakir Bal Tüpü 40 Gr,"44,90"
"Süt, Kahvaltılık, Sark.",Aoç Fındık Kreması 700 Gr,"229,95"
"Süt, Kahvaltılık, Sark.",Arnilya Sele Siyah Zeytin - 500 Gr.,"169,95"
"Süt, Kahvaltılık, Sark.",Arnilya Yağlı Sele Zeytin - 500 Gr.,"219,95"
"Süt, Kahvaltılık, Sark.",Balkovan Çiçek Balı 850 Gr,"499,90"
"Süt, Kahvaltılık, Sark.",Balkovan Süzme Çiçek Balı 460 Gr,"259,90"
"Süt, Kahvaltılık, Sark.",Balparmak Apitera Zen 7'li 7 Gr,"124,90"
"Süt, Kahvaltılık, Sark.",Balparmak Çam Balı Çıt Kapak 350 Gr,"349,90"
"Süt, Kahvaltılık, Sark.",Balparmak Çiçek Balı 850 Gr,"699,90"
"Süt, Kahvaltılık, Sark.",Balparmak Çiçek Balı Çıt Kapak 350 Gr,"349,90"
"Süt, Kahvaltılık, Sark.",Balparmak Süzme Çam Balı Kavanoz 460 Gr,"426,90"
"Süt, Kahvaltılık, Sark.",Balparmak Süzme Çam Balı Kavanoz 850 Gr,"699,90"
"Süt, Kahvaltılık, Sark.",Balparmak Süzme Çiçek Balı Kavanoz 460 Gr,"426,90"
"Süt, Kahvaltılık, Sark.",Balparmak Yayla Süzme Çiçek Bal 600 Gr,"449,90"
"Süt, Kahvaltılık, Sark.",Balparmak Yayla ve Ova Süzme Çiçek Balı Çıt Kapak 350 Gr,"299,95"
"Süt, Kahvaltılık, Sark.",Balparmak Yayla ve Ova Süzme Çiçek Balı Kavanoz 850 Gr,"524,90"
"Süt, Kahvaltılık, Sark.",Becel Kase Margarin 250 Gr,"65,00"
"Süt, Kahvaltılık, Sark.",Becel Kase Margarin 500 Gr,"123,50"
"Süt, Kahvaltılık, Sark.",Becel Tereyağ Keyfi Kase Margarin 250 Gr,"65,00"
"Süt, Kahvaltılık, Sark.",Becel Tereyağ Keyfi Kase Margarin 500 Gr,"123,50"
"Süt, Kahvaltılık, Sark.",Becel Zeytinyağlı Kase Margarin 250 Ml,"74,75"
"Süt, Kahvaltılık, Sark.",Becel Zeytinyağlı Kase Margarin 500 Gr,"141,50"
"Süt, Kahvaltılık, Sark.",Bizim Paket Margarin 250 Gr,"51,95"
"Süt, Kahvaltılık, Sark.",Burcu Ajvar Kahvaltılık Sos 310 Gr,"49,90"
"Süt, Kahvaltılık, Sark.",Burcu Kahvaltılık Acı Sos 320 Gr,"49,90"
"Süt, Kahvaltılık, Sark.",Cem Yağlı Sele Süper Zeytin - 500 Gr.,"179,95"
"Süt, Kahvaltılık, Sark.",Çokokrem 180 Gr,"55,00"
"Süt, Kahvaltılık, Sark.",Çokokrem 950 Gr,"245,00"
"Süt, Kahvaltılık, Sark.",Danone 1\1 Laktozsuz Süt 1 Lt,"69,90"
"Süt, Kahvaltılık, Sark.",Danone Alpro Badem Sütü 1 Lt,"225,00"
"Süt, Kahvaltılık, Sark.",Danone Alpro Hindistan Cevizi Sütü 1 Lt,"225,00"
"Süt, Kahvaltılık, Sark.",Danone Alpro Şeker İlavesiz Hindistan Cevizi Sütü 1 Lt,"225,00"
"Süt, Kahvaltılık, Sark.",Danone Alpro Yula&Badem Sütü 1 Lt,"225,00"
"Süt, Kahvaltılık, Sark.",Danone Çilek Aromalı Süt 180 Ml,"26,50"
"Süt, Kahvaltılık, Sark.",Danone Çilek&Vanilya Milkshake 188 Gr,"42,50"
"Süt, Kahvaltılık, Sark.",Danone Çilekli Meyveli Yoğurt 400 Gr,"89,90"
"Süt, Kahvaltılık, Sark.",Danone Hüpper Meyveli Yoğurt 67 Gr,"35,00"
"Süt, Kahvaltılık, Sark.",Danone Kakao Aromalı Süt 180 Ml,"26,50"
