product-name,kategori,product_price
Ananas Adet,Meyve ve Sebze,"149,90"
Armut Deveci - 500 Gr.,Meyve ve Sebze,"64,95"
Armut Santa Maria - 500 Gr.,Meyve ve Sebze,"82,45"
Avokado Adet,Meyve ve Sebze,"114,90"
Ayva - 500 Gr.,Meyve ve Sebze,"144,95"
Bakla Taze - 500 Gr.,Meyve ve Sebze,"69,95"
Biber California - 500 Gr.,Meyve ve Sebze,"94,95"
Biber Dolmalık - 500 Gr.,Meyve ve Sebze,"112,45"
Biber Kırmızı - 500 Gr.,Meyve ve Sebze,"82,45"
Biber Kırmızı Şili Acı - 500 Gr.,Meyve ve Sebze,"89,95"
Biber Köy - 500 Gr.,Meyve ve Sebze,"114,95"
Biber Sivri - 500 Gr.,Meyve ve Sebze,"79,95"
Biber Tatlı - 500 Gr.,Meyve ve Sebze,"79,95"
Çağla Badem - 500 Gr.,Meyve ve Sebze,"199,95"
Çilek - 500 Gr.,Meyve ve Sebze,"94,95"
Dereotu Demet,Meyve ve Sebze,"11,90"
Domates - 500 Gr.,Meyve ve Sebze,"66,95"
Domates Cherry - 500 Gr.,Meyve ve Sebze,"89,95"
Domates Pembe - 500 Gr.,Meyve ve Sebze,"67,45"
Domates Salkım - 500 Gr.,Meyve ve Sebze,"59,95"
Elma Golden - 500 Gr.,Meyve ve Sebze,"69,95"
Elma Starking - 500 Gr.,Meyve ve Sebze,"69,95"
Enginar Adet,Meyve ve Sebze,"67,90"
Fasulye Çalı - 500 Gr.,Meyve ve Sebze,"137,45"
Greyfurt - 500 Gr.,Meyve ve Sebze,"31,45"
Havuç - 500 Gr.,Meyve ve Sebze,"18,95"
Hindistan Cevizi,Meyve ve Sebze,"122,90"
Ispanak - 500 Gr.,Meyve ve Sebze,"42,95"
Kabak - 500 Gr.,Meyve ve Sebze,"39,95"
Karnabahar - 2 Kg.,Meyve ve Sebze,"111,80"
Kereviz - 750 Gr.,Meyve ve Sebze,"29,18"
Kivi - 500 Gr.,Meyve ve Sebze,"94,95"
"Lahana - 2,5 Kg.",Meyve ve Sebze,"39,75"
Lahana Brüksel Paket,Meyve ve Sebze,"109,90"
"Lahana Kırmızı - 1,5 Kg.",Meyve ve Sebze,"43,35"
Limon - 500 Gr.,Meyve ve Sebze,"64,95"
Manav Alabaş Turp (Kohlrabi) - 1 Kg.,Meyve ve Sebze,"89,90"
Manav Erüst Kekik 25 Gr,Meyve ve Sebze,"149,90"
Manav Erüst Mini Havuç 250 Gr,Meyve ve Sebze,"199,90"
Manav Erüst Rozmarin Biberiye 25 Gr,Meyve ve Sebze,"149,90"
