product_name,product_price
Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr,"359,90"
Çapanoğlu Dana Kurutulmuş Füme Et 60 Gr,"299,90"
Çapanoğlu Fümechef Dana Füme Antrikot 100 Gr,"399,90"
Cumhuriyet Acılı Parmak Sucuk - 500 Gr._1kg,"(2.199,00 / Kg)"
Cumhuriyet Kangal Fermente Sucuk - 500 Gr._1kg,"(2.199,00 / Kg)"
Dana Antrikot - 500 Gr._1kg,"(1.599,90 / Kg)"
Dana Bonfile - 500 Gr._1kg,"(2.399,90 / Kg)"
Dana Haşlamalık Et - 500 Gr._1kg,"(1.119,90 / Kg)"
Dana İşkembe - 500 Gr._1kg,"(199,90 / Kg)"
Dana Kol Kuşbaşı - 500 Gr._1kg,"(899,90 / Kg)"
Dana Kol Kuşbaşı Kıymalık - 500 Gr._1kg,"(899,90 / Kg)"
Dana Kontrfile - 500 Gr._1kg,"(1.499,90 / Kg)"
Dana Kuşbaşı Kıymalık - 500 Gr._1kg,"(939,90 / Kg)"
Dana Kuzu Kıymalık (%80 Dana+%20 Ku - 500 Gr._1kg,"(939,90 / Kg)"
Dana Nuar - 500 Gr._1kg,"(1.119,90 / Kg)"
Dana Rosto - 500 Gr._1kg,"(1.099,90 / Kg)"
Dana Rulo Kıymalık - 500 Gr._1kg,"(989,90 / Kg)"
Dana Sote - 500 Gr._1kg,"(1.179,90 / Kg)"
Erpiliç Baget - 1 Kg._1kg,"(159,90 / Kg)"
Erpiliç Bonfile - 1 Kg._1kg,"(219,90 / Kg)"
Erpiliç But - 1 Kg._1kg,"(99,90 / Kg)"
Erpiliç But Izgara - 1 Kg._1kg,"(289,90 / Kg)"
Erpiliç Göğüs - 1 Kg._1kg,"(169,90 / Kg)"
Erpiliç Izgara Kanat - 1 Kg._1kg,"(299,90 / Kg)"
Erpiliç Pirzola - 1 Kg._1kg,"(199,90 / Kg)"
Erpiliç Schnitzel 300 Gr,"89,90"
Erpiliç Tabaklı Cordon Blue 300 Gr,"99,90"
Erpiliç Üst Kanat - 1 Kg._1kg,"(189,90 / Kg)"
Fümechef Cotto Dana,"399,90"
Fümechef Sade Roastbeef Dana,"399,90"
Gürmar Dana Kangal Sucuk - 500 Gr._1kg,"(1.699,90 / Kg)"
Hastavuk Bütün Piliç - 2 Kg._1kg,"(129,90 / Kg)"
Hastavuk Piliç Ba - 1 Kg._1kg,"(139,90 / Kg)"
Hastavuk Piliç Bonfile(File - 1 Kg._1kg,"(219,00 / Kg)"
Hastavuk Piliç But Izgara(Izgara Ta - 1 Kg._1kg,"(249,90 / Kg)"
Hastavuk Piliç But Ka - 1 Kg._1kg,"(169,90 / Kg)"
Hastavuk Piliç Izgaralık Ka - 1 Kg._1kg,"(279,90 / Kg)"
Hastavuk Piliç Kalçalı - 1 Kg._1kg,"(119,90 / Kg)"
