tarih,kategori,product_name,product_price,eski_fiyat,url
2026-02-24,Meyve ve Sebze,Manav Verita Avokado Adet,"114,90",,https://www.gurmar.com.tr/manav-verita-avokado-adet-37588-p
2026-02-24,Meyve ve Sebze,Manav Verita Ejder Meyvesi Tekli Paket,"339,90",,https://www.gurmar.com.tr/manav-verita-ejder-meyvesi-tekli-paket-37598-p
2026-02-24,Meyve ve Sebze,Manav Verita Mango Paket,"154,90",,https://www.gurmar.com.tr/manav-verita-mango-paket-37589-p
2026-02-24,Meyve ve Sebze,Manav Verita Zencefil 250 Gr,"94,90",,https://www.gurmar.com.tr/manav-verita-zencefil-250-gr-38472-p
2026-02-24,Meyve ve Sebze,Manav Zerdeçal 100 Gr (Paket),"64,90",,https://www.gurmar.com.tr/manav-zerdecal-100-gr-paket-31375-p
2026-02-24,Meyve ve Sebze,Mango Adet,"99,90",,https://www.gurmar.com.tr/mango-adet-9192-p
2026-02-24,Meyve ve Sebze,Mantar Paket 400 Gr,"84,90",,https://www.gurmar.com.tr/mantar-paket-400-gr-5437-p
2026-02-24,Meyve ve Sebze,Marul Adet,"79,90",,https://www.gurmar.com.tr/marul-adet-2773-p
2026-02-24,Meyve ve Sebze,Marul Iceberg Adet,"94,90",,https://www.gurmar.com.tr/marul-iceberg-adet-2777-p
2026-02-24,Meyve ve Sebze,Marul Kıvırcık Adet,"79,90",,https://www.gurmar.com.tr/marul-kivircik-adet-471-p
2026-02-24,Meyve ve Sebze,Maydanoz Demet,"9,90",,https://www.gurmar.com.tr/maydanoz-demet-11614-p
2026-02-24,Meyve ve Sebze,Muz İthal - 500 Gr.,"72,45",,https://www.gurmar.com.tr/muz-ithal-500-gr-2791-p
2026-02-24,Meyve ve Sebze,Muz Yerli - 500 Gr.,"54,95",,https://www.gurmar.com.tr/muz-yerli-500-gr-2154-p
2026-02-24,Meyve ve Sebze,Nar - 500 Gr.,"79,95",,https://www.gurmar.com.tr/nar-500-gr-2846-p
2026-02-24,Meyve ve Sebze,Pancar - 500 Gr.,"38,45",,https://www.gurmar.com.tr/pancar-500-gr-7055-p
2026-02-24,Meyve ve Sebze,Patates - 500 Gr.,"14,95",,https://www.gurmar.com.tr/patates-500-gr-2795-p
2026-02-24,Meyve ve Sebze,Patlıcan - 500 Gr.,"74,95",,https://www.gurmar.com.tr/patlican-500-gr-2759-p
2026-02-24,Meyve ve Sebze,Patlıcan Topan - 500 Gr.,"74,95",,https://www.gurmar.com.tr/patlican-topan-500-gr-1347-p
2026-02-24,Meyve ve Sebze,Pazı Demet,"34,90",,https://www.gurmar.com.tr/pazi-demet-7202-p
2026-02-24,Meyve ve Sebze,Pepita Taze Yaban Mersini 125 Gr,"144,90",,https://www.gurmar.com.tr/pepita-taze-yaban-mersini-125-gr-39537-p
2026-02-24,Meyve ve Sebze,Pırasa - 500 Gr.,"23,95",,https://www.gurmar.com.tr/pirasa-500-gr-2767-p
2026-02-24,Meyve ve Sebze,Portakal - 500 Gr.,"29,95",,https://www.gurmar.com.tr/portakal-500-gr-2852-p
2026-02-24,Meyve ve Sebze,Portakal Sıkmalık - 500 Gr.,"22,45",,https://www.gurmar.com.tr/portakal-sikmalik-500-gr-4256-p
2026-02-24,Meyve ve Sebze,Roka Demet,"9,90",,https://www.gurmar.com.tr/roka-demet-11616-p
2026-02-24,Meyve ve Sebze,Salatalık - 500 Gr.,"89,95",,https://www.gurmar.com.tr/salatalik-500-gr-2781-p
2026-02-24,Meyve ve Sebze,Salatalık Silör - 500 Gr.,"99,95",,https://www.gurmar.com.tr/salatalik-silor-500-gr-7158-p
2026-02-24,Meyve ve Sebze,Sarımsak Paket 250 Gr,"99,90",,https://www.gurmar.com.tr/sarimsak-paket-250-gr-7203-p
2026-02-24,Meyve ve Sebze,Soğan Beyaz - 500 Gr.,"32,95",,https://www.gurmar.com.tr/sogan-beyaz-500-gr-12115-p
2026-02-24,Meyve ve Sebze,Soğan Kırmızı - 500 Gr.,"32,95",,https://www.gurmar.com.tr/sogan-kirmizi-500-gr-2785-p
2026-02-24,Meyve ve Sebze,Soğan Kuru - 500 Gr.,"8,45",,https://www.gurmar.com.tr/sogan-kuru-500-gr-2797-p
2026-02-24,Meyve ve Sebze,Soğan Taze - 500 Gr.,"59,95",,https://www.gurmar.com.tr/sogan-taze-500-gr-2762-p
2026-02-24,Meyve ve Sebze,Tere Demet,"9,90",,https://www.gurmar.com.tr/tere-demet-11617-p
2026-02-24,Meyve ve Sebze,Turp Beyaz - 500 Gr.,"17,45",,https://www.gurmar.com.tr/turp-beyaz-500-gr-169-p
2026-02-24,Meyve ve Sebze,Turp Kırmızı - 500 Gr.,"17,45",,https://www.gurmar.com.tr/turp-kirmizi-500-gr-2769-p
2026-02-24,Meyve ve Sebze,Turp Küçük Demet Adet,"42,90",,https://www.gurmar.com.tr/turp-kucuk-demet-adet-7062-p
2026-02-24,Meyve ve Sebze,Verita Altın Çilek 100 GR,"109,90",,https://www.gurmar.com.tr/verita-altin-cilek-100-gr-37596-p
2026-02-24,Meyve ve Sebze,Verita Demirhindi 225 Gr,"229,90",,https://www.gurmar.com.tr/verita-demirhindi-225-gr-37594-p
