product-name;product-price;product-id
Ananas Adet;156.9;6932
Armut Santa Maria - 500 Gr.;64.95;4141
Avokado Adet;129.9;7961
Avokado İthal Adet;122.9;6487
Bamya - 500 Gr.;121.95;11700
Barbunya - 500 Gr.;109.95;4674
Biber Dolmalık - 500 Gr.;28.45;5029
Biber Kırmızı - 500 Gr.;34.95;8087
Biber Kırmızı Şili Acı - 500 Gr.;77.45;9815
Biber Köy - 500 Gr.;38.95;7769
Biber Sivri - 500 Gr.;69.95;9774
Biber Tatlı - 500 Gr.;52.45;4120
Böğürtlen Paket;123.9;7493
Börülce - 500 Gr.;76.45;7970
Dereotu Demet;11.9;1498
Domates - 500 Gr.;19.95;9778
Domates Cherry - 500 Gr.;42.45;8735
Domates Pembe - 500 Gr.;33.95;619
Domates Salkım - 500 Gr.;39.45;4455
Elma Gala - 500 Gr.;49.95;1225
Erik - 500 Gr.;109.95;1247
Erik Anjelika - 500 Gr.;40.0;7540
Fasulye Ayşe Kadın - 500 Gr.;69.95;9703
Fasulye Çalı - 500 Gr.;64.95;4355
Havuç - 500 Gr.;9.45;9740
Karpuz - 10 Kg.;149.0;6764
Kavun Kırkağaç - 5 Kg.;169.5;8322
Kiraz Salihli - 750 Gr.;155.18;6769
Limon - 500 Gr.;56.95;7494
Manav Çekirdeksiz Karpuz - 5 Kg.;154.5;13444
Manav Verita Çarkıfelek 3'lü Paket;209.9;12024
Manav Verita Mango Paket;199.9;12015
Mango Adet;104.9;7614
Muz İthal - 500 Gr.;72.45;4139
Muz Yerli - 500 Gr.;40.95;10488
Nektar Beyaz - 500 Gr.;64.95;7550
Nektar Kırmızı - 500 Gr.;38.45;8067
Portakal - 500 Gr.;33.95;4442
Şeftali - 500 Gr.;39.95;6767
Üzüm Sultani - 500 Gr.;39.95;5058
Verita Yaban Mersini 125 Gr;144.9;4617
Vişne - 500 Gr.;68.95;761
Kabak - 500 Gr.;15.0;9759
Kabak Girit - 500 Gr.;74.95;766
Kabak Top - 500 Gr.;19.95;767
Lahana Kırmızı - 1,5 Kg.;59.85;9736
Manav Erüst Atıştırmalık Domates 250 Gr;59.9;12013
Manav Erüst Mini Havuç 250 Gr;234.9;12002
Manav Köy Domatesi Kg;59.9;13468
Manav Verita Avokado Adet;114.9;12014
Mısır Adet;16.9;4049
Manav Verita Zencefil 250 Gr;114.9;12403
Manav Zerdeçal 100 Gr (Paket);74.9;5748
Mantar Izgara Paket 500 Gr;119.9;904
