product-name;product-price;product-id
Ananas Adet;144.9;6932
Armut Akça - 500 Gr.;69.95;221
Armut Santa Maria - 500 Gr.;69.95;4141
Avokado İthal Adet;119.9;6487
Bamya - 500 Gr.;129.95;11700
Barbunya - 500 Gr.;109.95;4674
Biber Dolmalık - 500 Gr.;48.95;5029
Biber Kırmızı - 500 Gr.;72.45;8087
Biber Kırmızı Şili Acı - 500 Gr.;56.45;9815
Biber Köy - 500 Gr.;57.45;7769
Biber Sivri - 500 Gr.;87.45;9774
Biber Tatlı - 500 Gr.;77.45;4120
Börülce - 500 Gr.;89.95;7970
Dereotu Demet;11.9;1498
Domates - 500 Gr.;27.45;9778
Domates Cherry - 500 Gr.;37.45;8735
Domates Pembe - 500 Gr.;29.95;619
Erik - 500 Gr.;99.95;1247
Erik Anjelika - 500 Gr.;54.95;7540
Fasulye Ayşe Kadın - 500 Gr.;82.45;9703
Havuç - 500 Gr.;22.45;9740
Ispanak - 500 Gr.;49.95;9729
Kabak - 500 Gr.;26.45;9759
Kabak Girit - 500 Gr.;84.95;766
Kabak Top - 500 Gr.;42.45;767
Ananas Adet;144.9;6932
Armut Akça - 500 Gr.;69.95;221
Armut Santa Maria - 500 Gr.;69.95;4141
Avokado İthal Adet;119.9;6487
Bamya - 500 Gr.;129.95;11700
Barbunya - 500 Gr.;109.95;4674
Biber Dolmalık - 500 Gr.;48.95;5029
Biber Kırmızı - 500 Gr.;72.45;8087
Biber Kırmızı Şili Acı - 500 Gr.;56.45;9815
Biber Köy - 500 Gr.;57.45;7769
Biber Sivri - 500 Gr.;87.45;9774
Biber Tatlı - 500 Gr.;77.45;4120
Börülce - 500 Gr.;89.95;7970
Dereotu Demet;11.9;1498
Domates - 500 Gr.;27.45;9778
Domates Cherry - 500 Gr.;37.45;8735
Domates Pembe - 500 Gr.;29.95;619
Erik - 500 Gr.;99.95;1247
Erik Anjelika - 500 Gr.;54.95;7540
Fasulye Ayşe Kadın - 500 Gr.;82.45;9703
Havuç - 500 Gr.;22.45;9740
Ispanak - 500 Gr.;49.95;9729
Kabak - 500 Gr.;26.45;9759
Kabak Girit - 500 Gr.;84.95;766
Kabak Top - 500 Gr.;42.45;767
Ananas Adet;144.9;6932
Armut Akça - 500 Gr.;69.95;221
Armut Santa Maria - 500 Gr.;69.95;4141
Avokado İthal Adet;119.9;6487
Bamya - 500 Gr.;129.95;11700
Barbunya - 500 Gr.;109.95;4674
Biber Dolmalık - 500 Gr.;48.95;5029
Biber Kırmızı - 500 Gr.;72.45;8087
Biber Kırmızı Şili Acı - 500 Gr.;56.45;9815
Biber Köy - 500 Gr.;57.45;7769
Biber Sivri - 500 Gr.;87.45;9774
Biber Tatlı - 500 Gr.;77.45;4120
Börülce - 500 Gr.;89.95;7970
Dereotu Demet;11.9;1498
Domates - 500 Gr.;27.45;9778
Domates Cherry - 500 Gr.;37.45;8735
Domates Pembe - 500 Gr.;29.95;619
Erik - 500 Gr.;99.95;1247
Erik Anjelika - 500 Gr.;54.95;7540
Fasulye Ayşe Kadın - 500 Gr.;82.45;9703
Havuç - 500 Gr.;22.45;9740
Ispanak - 500 Gr.;49.95;9729
Kabak - 500 Gr.;26.45;9759
Kabak Girit - 500 Gr.;84.95;766
Kabak Top - 500 Gr.;42.45;767
Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) - 2 Kg.;559.8;8066
Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır);429.9;9367
Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg.;559.9;9359
Akdeniz Toros Piliç Nuggut 500 Gr;289.9;11064
Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR;519.0;12301
Apikoğlu Dana Kangal Sucuk - 500 Gr.;999.95;12298
Apikoğlu Dana Yarım Kangal Sucuk 180 Gr;299.9;12904
Apikoğlu Kurutulmuş Dana Füme Et 100 GR;569.0;12303
Bolca Hindi Bonfile - 1 Kg.;539.9;1968
Bolca Tabaklı Alt But Kemiksiz Hindi - 1 Kg.;559.9;1969
Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr;259.9;6603
Çapanoğlu Dana Füme Et 60 Gr;199.9;12890
Çapanoğlu Dana Kurutulmuş Füme Et 60 Gr;299.9;6519
Çapanoğlu Fümechef Dana Füme Antrikot 100 Gr;399.9;6522
Çapanoğlu Fümechef Karabiberli Dana Rosatbeef 100 Gr;399.9;12406
Çemeni Sıyrılmış Dana Pastı - 500 Gr.;1499.95;6523
Cumhuriyet Acılı Parmak Sucuk - 500 Gr.;1099.5;4632
Cumhuriyet Kangal Fermente Sucuk - 500 Gr.;1099.5;719
Cumhuriyet Küvet Sucuk 300 Gr;659.9;9134
Dana Antrikot - 500 Gr.;789.95;1540
Dana Bonfile - 500 Gr.;1229.95;8397
Dana Haşlamalık Et - 500 Gr.;569.95;3349
Dana Kol Kuşbaşı - 500 Gr.;539.95;8408
