District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Akıncılar,3+1,15000.0,04,0.0,0.0,0.0,
Divriği,2+1,18500.0,04,0.0,0.0,-26.0,
Divriği,3+1,17000.0,04,0.0,13.333333333333334,13.333333333333334,
Gemerek,3+1,12000.0,04,0.0,0.0,,
Gemerek / Yeniçubuk,1+1,15000.0,04,0.0,0.0,0.0,
Gemerek / Yeniçubuk,2+1,12250.0,04,0.0,0.0,,
Gürün,2+1,16500.0,04,0.0,-8.333333333333332,-8.333333333333332,
Gürün,3+1,17000.0,04,0.0,0.0,23.636363636363637,
Hafik,1+1,19000.0,04,0.0,0.0,,
Kangal,1+1,26000.0,04,0.0,,,
Kangal,3+1,30500.0,04,0.0,22.0,31.182795698924732,
Merkez,1+1,21000.0,04,3.7037037037037033,0.0,-2.3255813953488373,
Merkez,1.5+1,30500.0,04,-4.6875,-4.6875,,
Merkez,2+0,22000.0,04,0.0,0.0,0.0,
Merkez,2+1,20500.0,04,0.0,2.5051252562628132,13.88888888888889,
Merkez,2.5+1,28000.0,04,0.0,1.8181818181818181,7.6923076923076925,
Merkez,3+1,27500.0,04,0.0,3.7735849056603774,4.265402843601896,
Merkez,3.5+1,33500.0,04,4.6875,-4.285714285714286,-4.285714285714286,
Merkez,4+1,39000.0,04,0.0,-2.5,-8.235294117647058,
Merkez,4.5+1,44000.0,04,0.0,12.82051282051282,15.789473684210526,
Merkez / Aydoğan,1+1,19500.0,04,0.0,11.428571428571429,8.333333333333332,
Merkez / Aydoğan,2+0,13000.0,04,0.0,0.0,0.0,
Merkez / Aydoğan,2+1,17500.0,04,7.6923076923076925,20.689655172413794,20.689655172413794,
Merkez / Aydoğan,3+1,19000.0,04,0.0,3.4013605442176873,0.6622516556291391,
Merkez / Aydoğan,3.5+1,22000.0,04,0.0,0.0,15.789473684210526,
Merkez / Aydoğan,4+1,23750.0,04,-1.0416666666666665,0.0,1.0638297872340425,
Merkez / Aydoğan,Stüdyo (1+0),15000.0,04,,,42.857142857142854,
Merkez / Ferhatbostan,1+1,21000.0,04,-4.545454545454546,-4.545454545454546,10.526315789473683,
Merkez / Ferhatbostan,2+0,22500.0,04,0.0,0.0,32.35294117647059,
