District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Divriği,2+0,20000.0,04,,,,
Divriği,2+1,21750.0,04,,,,
Divriği,3+1,17000.0,04,,,,
Divriği,4+1,31000.0,04,,,,
Gemerek / Yeniçubuk,2+1,10500.0,04,,,,
Gürün,1+1,17500.0,04,,,,
Gürün,2+1,12250.0,04,,,,
Gürün,3+1,15000.0,04,,,,
Kangal,1+1,20000.0,04,,,,
Kangal,3+1,22750.0,04,,,,
Koyulhisar,3+1,22000.0,04,,,,
Merkez,1+1,23000.0,04,,,,
Merkez,1.5+1,29500.0,04,,,,
Merkez,2+0,22250.0,04,,,,
Merkez,2+1,21250.0,04,,,,
Merkez,2.5+1,26000.0,04,,,,
Merkez,3+1,21000.0,04,,,,
Merkez,3.5+1,33500.0,04,,,,
Merkez,4+1,40000.0,04,,,,
Merkez,4.5+1,46000.0,04,,,,
Merkez / Aydoğan,1+1,17250.0,04,,,,
Merkez / Aydoğan,2+0,13000.0,04,,,,
Merkez / Aydoğan,2+1,15750.0,04,,,,
Merkez / Aydoğan,3+1,18500.0,04,,,,
Merkez / Aydoğan,3.5+1,18500.0,04,,,,
Merkez / Aydoğan,4+1,24000.0,04,,,,
Merkez / Aydoğan,6+1,30000.0,04,,,,
Merkez / Aydoğan,Stüdyo (1+0),14250.0,04,,,,
Merkez / Ferhatbostan,1+1,19250.0,04,,,,
Merkez / Ferhatbostan,2+0,17000.0,04,,,,
Merkez / Ferhatbostan,2+1,16500.0,04,,,,
Merkez / Ferhatbostan,3+1,20750.0,04,,,,
Merkez / Ferhatbostan,3.5+1,23225.0,04,,,,
Merkez / Ferhatbostan,4+1,28000.0,04,,,,
Merkez / Ferhatbostan,4.5+1,33000.0,04,,,,
Merkez / Ferhatbostan,5+1,27750.0,04,,,,
Merkez / Ferhatbostan,6+1,24000.0,04,,,,
Merkez / Gökçebostan,1+1,15750.0,04,,,,
Merkez / Gökçebostan,2+1,16000.0,04,,,,
Merkez / Gökçebostan,2.5+1,18000.0,04,,,,
Merkez / Gökçebostan,3+1,19750.0,04,,,,
Merkez / Gökçebostan,3.5+1,22000.0,04,,,,
Merkez / Gökçebostan,4+1,25750.0,04,,,,
Merkez / Gökçebostan,5+1,23000.0,04,,,,
Merkez / Gökçebostan,Stüdyo (1+0),12500.0,04,,,,
Merkez / Kale,1+1,23000.0,04,,,,
Merkez / Kale,2+0,24000.0,04,,,,
Merkez / Kale,2+1,24250.0,04,,,,
Merkez / Kale,2.5+1,28000.0,04,,,,
Merkez / Kale,3+1,21000.0,04,,,,
Merkez / Kale,3.5+1,28500.0,04,,,,
Merkez / Kale,4+1,32000.0,04,,,,
Merkez / Kale,4.5+1,33975.0,04,,,,
Merkez / Kale,5+2,19000.0,04,,,,
Merkez / Kale,Stüdyo (1+0),15250.0,04,,,,
Merkez / Kümbet,1+1,9000.0,04,,,,
Merkez / Kümbet,2+1,13750.0,04,,,,
Merkez / Kümbet,3+1,18000.0,04,,,,
Merkez / Kümbet,4+1,26000.0,04,,,,
Merkez / Kümbet,5+1,22000.0,04,,,,
Merkez / Mimarsinan,1+1,22000.0,04,,,,
Merkez / Mimarsinan,2+1,13000.0,04,,,,
Merkez / Mimarsinan,3+1,16500.0,04,,,,
Merkez / Mimarsinan,4+1,16500.0,04,,,,
Merkez / Mimarsinan,4+2,25000.0,04,,,,
Merkez / Toptancılar Sitesi,2+1,22000.0,04,,,,
Merkez / Toptancılar Sitesi,3+1,42000.0,04,,,,
Merkez / Toptancılar Sitesi,4+1,42000.0,04,,,,
Merkez / Toptancılar Sitesi,5+1,75000.0,04,,,,
Merkez / Çarşı,1+1,19000.0,04,,,,
Merkez / Çarşı,2+1,16000.0,04,,,,
Merkez / Çarşı,3+1,20500.0,04,,,,
Merkez / Çarşı,4+1,26000.0,04,,,,
Merkez / Çarşı,5+2,25000.0,04,,,,
Merkez / Çarşı,8+3,85000.0,04,,,,
Merkez / Çarşı,Stüdyo (1+0),15000.0,04,,,,
Suşehri,1+1,13000.0,04,,,,
Suşehri,2+1,15000.0,04,,,,
Suşehri,3+1,17500.0,04,,,,
Yıldızeli,2+1,10500.0,04,,,,
Yıldızeli,3+1,11000.0,04,,,,
Zara,2+1,12500.0,04,,,,
Zara,3+1,16000.0,04,,,,
Şarkışla,2+1,12500.0,04,,,,
Şarkışla,3+1,16000.0,04,,,,
