District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Akıncılar,3+1,15000.0,04,0.0,0.0,,
Divriği,2+1,25000.0,04,0.0,14.942528735632186,,
Divriği,3+1,15000.0,04,0.0,0.0,,
Gemerek / Yeniçubuk,1+1,15000.0,04,0.0,0.0,,
Gemerek / Yeniçubuk,3+1,17000.0,04,0.0,0.0,,
Gürün,2+1,18000.0,04,0.0,20.0,,
Gürün,3+1,13750.0,04,0.0,-16.666666666666664,,
Kangal,3+1,23250.0,04,0.0,86.0,,
Merkez,1+1,21500.0,04,0.0,25.547445255474454,,
Merkez,2+0,22000.0,04,0.0,4.761904761904762,,
Merkez,2+1,18000.0,04,-2.7027027027027026,26.31578947368421,,
Merkez,2.5+1,26000.0,04,0.0,,,
Merkez,3+1,26375.0,04,3.431372549019608,62.30769230769231,,
Merkez,3.5+1,35000.0,04,0.0,9.375,,
Merkez,4+1,42500.0,04,6.25,0.0,,
Merkez,4.5+1,38000.0,04,-2.564102564102564,-17.391304347826086,,
Merkez / Aydoğan,1+1,18000.0,04,0.0,-2.7027027027027026,,
Merkez / Aydoğan,2+0,13000.0,04,0.0,0.0,,
Merkez / Aydoğan,2+1,14500.0,04,-1.694915254237288,3.571428571428571,,
Merkez / Aydoğan,3+1,18875.0,04,2.7210884353741496,11.029411764705882,,
Merkez / Aydoğan,3.5+1,19000.0,04,0.0,15.151515151515152,,
Merkez / Aydoğan,4+1,23500.0,04,6.8181818181818175,8.045977011494253,,
Merkez / Aydoğan,6+1,20000.0,04,-27.27272727272727,,,
Merkez / Aydoğan,Stüdyo (1+0),10500.0,04,-20.754716981132077,-10.638297872340425,,
Merkez / Ferhatbostan,1+1,19000.0,04,-5.0,13.432835820895523,,
Merkez / Ferhatbostan,2+0,17000.0,04,0.0,-8.355795148247978,,
Merkez / Ferhatbostan,2+1,15000.0,04,0.0,5.263157894736842,,
Merkez / Ferhatbostan,3+1,20000.0,04,0.0,12.676056338028168,,
Merkez / Ferhatbostan,3.5+1,25000.0,04,0.0,0.0,,
Merkez / Ferhatbostan,4+1,24000.0,04,6.666666666666667,50.0,,
Merkez / Ferhatbostan,4.5+1,34500.0,04,0.0,,,
