District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Akıncılar,3+1,15000.0,04,0.0,0.0,0.0,
Divriği,2+1,18500.0,04,0.0,-26.0,-14.942528735632186,
Divriği,3+1,15000.0,04,0.0,0.0,0.0,
Divriği,4+1,30000.0,04,,,,
Gemerek,3+1,12000.0,04,,,,
Gemerek / Yeniçubuk,1+1,15000.0,04,0.0,0.0,0.0,
Gemerek / Yeniçubuk,2+1,12250.0,04,-2.0,,,
Gemerek / Yeniçubuk,3+1,17000.0,04,0.0,0.0,0.0,
Gürün,2+1,18000.0,04,9.090909090909092,0.0,20.0,
Gürün,3+1,17000.0,04,0.0,23.636363636363637,3.0303030303030303,
Hafik,1+1,19000.0,04,0.0,,,
Kangal,3+1,25000.0,04,11.11111111111111,25.0,100.0,
Merkez,1+1,21000.0,04,5.0,-2.3255813953488373,22.62773722627737,
Merkez,1.5+1,32000.0,04,,,,
Merkez,2+0,22000.0,04,-4.3478260869565215,0.0,4.761904761904762,
Merkez,2+1,19999.0,04,8.102702702702702,14.280000000000001,40.34385964912281,
Merkez,2.5+1,27500.0,04,-1.7857142857142856,5.769230769230769,,
Merkez,3+1,26500.0,04,-4.072398190045249,-0.9345794392523363,63.07692307692307,
Merkez,3.5+1,35000.0,04,0.0,0.0,9.375,
Merkez,4+1,40000.0,04,0.0,0.0,-5.88235294117647,
Merkez,4.5+1,39000.0,04,0.0,0.0,-15.217391304347828,
Merkez / Aydoğan,1+1,17500.0,04,34.61538461538461,14.754098360655737,-5.405405405405405,
Merkez / Aydoğan,2+0,13000.0,04,0.0,0.0,0.0,
Merkez / Aydoğan,2+1,14500.0,04,-1.694915254237288,-4.918032786885246,3.571428571428571,
Merkez / Aydoğan,3+1,18375.0,04,0.684931506849315,0.0,8.088235294117647,
Merkez / Aydoğan,3.5+1,22000.0,04,,15.789473684210526,33.33333333333333,
Merkez / Aydoğan,4+1,23750.0,04,9.195402298850574,1.0638297872340425,9.195402298850574,
Merkez / Aydoğan,6+1,20000.0,04,0.0,0.0,,
Merkez / Ferhatbostan,1+1,22000.0,04,15.789473684210526,15.789473684210526,31.343283582089555,
Merkez / Ferhatbostan,2+0,22500.0,04,0.0,15.384615384615385,21.293800539083556,
Merkez / Ferhatbostan,2+1,17250.0,04,13.114754098360656,13.114754098360656,21.052631578947366,
Merkez / Ferhatbostan,3+1,20500.0,04,1.2345679012345678,0.0,15.492957746478872,
Merkez / Ferhatbostan,3.5+1,25000.0,04,0.0,-1.9607843137254901,0.0,
Merkez / Ferhatbostan,4+1,24000.0,04,6.666666666666667,0.0,50.0,
