product_id,name,sku,marka_id,stok_durumu,birim,price,vat_rate,currency,url,scraped_at
7696,0.50*86*4500 (BORDO),RALL.3009.050.4500,4,Var,2,"945,00",20,TRY,https://yapimaks.com/0-50-86-4500-bordo-p7696,2026-03-23 22:27:41
7697,0.50*86*5000 (BORDO),RALL.3009.050.5000,4,Var,2,"1050,00",20,TRY,https://yapimaks.com/0-50-86-5000-bordo-p7697,2026-03-23 22:27:43
4893,100/100/100 ÇİFT ÇATAL PİS SU PVC KALDE,KALDE.5213DBR0M0M45,141,Var,2,"178,00",20,TRY,https://yapimaks.com/100-100-100-cift-catal-pis-su-pvc-kalde-p4893,2026-03-23 22:27:45
4916,100/100 ÇATAL PİS SU PVC KALDE,KALDE.5213SBR0M0M45,141,Var,2,"115,00",20,TRY,https://yapimaks.com/100-100-catal-pis-su-pvc-kalde-p4916,2026-03-23 22:27:47
4917,100/100 TE PİS SU PVC KALDE,KALDE.5213SBR0M0M87,141,Var,2,"100,00",20,TRY,https://yapimaks.com/100-100-te-pis-su-pvc-kalde-p4917,2026-03-23 22:27:49
4873,100/1000 PİS SU BORU KALDE,KALDE.5203TBE0M1000,141,Var,2,"167,00",20,TRY,https://yapimaks.com/100-1000-pis-su-boru-kalde-p4873,2026-03-23 22:27:51
4935,100/150 PİS SU BORU KALDE,KALDE.5203TBEXM0150,141,Var,2,"49,00",20,TRY,https://yapimaks.com/100-150-pis-su-boru-kalde-p4935,2026-03-23 22:27:53
4870,100/2000 PİS SU BORU KALDE,KALDE.5203TBE0M2000,141,Var,2,"278,00",20,TRY,https://yapimaks.com/100-2000-pis-su-boru-kalde-p4870,2026-03-23 22:27:55
4884,100/250 PİS SU BORUSU KALDE,KALDE.5203TBEXM0250,141,Var,2,"68,00",20,TRY,https://yapimaks.com/100-250-pis-su-borusu-kalde-p4884,2026-03-23 22:27:57
4874,100/3000 PİS SU BORU KALDE,KALDE.5203TBE0M3000,141,Var,2,"411,00",20,TRY,https://yapimaks.com/100-3000-pis-su-boru-kalde-p4874,2026-03-23 22:27:59
4899,100/45 PİS SU PVC DİRSEK KALDE,KALDE.5213ELB0M0045,141,Var,2,"48,00",20,TRY,https://yapimaks.com/100-45-pis-su-pvc-dirsek-kalde-p4899,2026-03-23 22:28:01
4892,100/50/100 ÇİFT ÇATAL PİS SU PVC KALDE,KALDE.5213DBR0M0K45,141,Var,2,"109,00",20,TRY,https://yapimaks.com/100-50-100-cift-catal-pis-su-pvc-kalde-p4892,2026-03-23 22:28:03
4914,100/50 ÇATAL PİS SU PVC KALDE,KALDE.5213SBR0M0K45,141,Var,2,"66,00",20,TRY,https://yapimaks.com/100-50-catal-pis-su-pvc-kalde-p4914,2026-03-23 22:28:05
4904,100/50 REDİKSİYON PİS SU PVC KALDE,KALDE.5213RDC0M0K00,141,Var,2,"35,00",20,TRY,https://yapimaks.com/100-50-rediksiyon-pis-su-pvc-kalde-p4904,2026-03-23 22:28:07
12648,100/50 TE PİS SU PVC KALDE,KALDE.5213SBR0M0K87,141,Var,2,"77,00",20,TRY,https://yapimaks.com/100-50-te-pis-su-pvc-kalde-p12648,2026-03-23 22:28:09
4869,100/500 PİS SU BORU PPRC KALDE,KALDE.5203TBE0M0500,141,Var,2,"111,00",20,TRY,https://yapimaks.com/100-500-pis-su-boru-pprc-kalde-p4869,2026-03-23 22:28:12
4915,100/70 ÇATAL PİS SU PVC KALDE,KALDE.5213SBR0M0L45,141,Var,2,"93,00",20,TRY,https://yapimaks.com/100-70-catal-pis-su-pvc-kalde-p4915,2026-03-23 22:28:14
4905,100/70 REDÜKSİYON PİS SU PVC KALDE,KALDE.5213RDC0M0L00,141,Var,2,"37,00",20,TRY,https://yapimaks.com/100-70-reduksiyon-pis-su-pvc-kalde-p4905,2026-03-23 22:28:16
4900,100/90 PİS SU PVC DİRSEK KALDE,KALDE.5213ELB0M0090,141,Var,2,"60,00",20,TRY,https://yapimaks.com/100-90-pis-su-pvc-dirsek-kalde-p4900,2026-03-23 22:28:18
4924,100 ES PİS SU PVC KALDE 110X87,KALDE.5213SPİ0M0087,141,Var,2,"182,00",20,TRY,https://yapimaks.com/100-es-pis-su-pvc-kalde-110x87-p4924,2026-03-23 22:28:20
4922,100 KAYAR MANŞON PİS SU PVC KALDE,KALDE.5213SOCXM0000,141,Var,2,"57,00",20,TRY,https://yapimaks.com/100-kayar-manson-pis-su-pvc-kalde-p4922,2026-03-23 22:28:22
4888,100 KELEPÇE PİS SU PVC KALDE,KALDE.5213BCC0M0000,141,Var,2,"21,00",20,TRY,https://yapimaks.com/100-kelepce-pis-su-pvc-kalde-p4888,2026-03-23 22:28:24
4909,100 LİK CONTA KALDE,KALDE.5213RUR0M0000,141,Var,2,"4,00",20,TRY,https://yapimaks.com/100-lik-conta-kalde-p4909,2026-03-23 22:28:26
