product-name,product-price
iPhone 17 Pro Dark Gray Magsafe Uyumlu Telefon Kılıfı,2799.00
Beoplay Eleven Kulak İçi Bluetooth Kulaklık,25999.00
C40 Red İnissia Kapsüllü Kahve Makinesi,9763.53
iPhone 17 Pro Black Magsafe Uyumlu Air Bumper Telefon Kılıfı,2799.00
BF 990 WIFI Bluetooth® Connect Diyagnoz Terazisi,13150.00
Aroma Konik Dişli Kahve Öğütücü,15142.00
Altın Rengi Karbon 10.000 Mah Powerbank P-Pb5  ,3499.00
Nexus EKG Tansiyon Nabız Aktivite Takibi Akıllı Bileklik,9199.00
Islak ve Kuru LCD Ekran Sıcak ve Soğuk Hava Üflemeli Saç Düzleştirici,8999.00
Enfinigy 4 Dilim 7 Kademeli Isı Ayarlı Ekmek Kızartma Makinesi,3999.99
KG89 Kahve Öğütme Makinesi,6822.36
615 Vinocase Siyah Soğutucu Şarap Dolabı,17999.00
Dolce&Gabbana Tasarım Hamur Karıştırma Makinesi,95000.00
Easyblend 1000 W Beyaz Blender Seti 0.7 lt,3176.00
Kidi Pro Amoled Ekranlı GPS Pembe 4G Sim Kartlı Akıllı Çocuk Saati 2KSW03,9999.00
Soundsticks 5 Beyaz Bluetooth Hoparlör,26509.41
HGM30.000SI Grill+ Izgara ve Tost Makinası,7990.00
Skin i·expert IPL Lazer Epilasyon Aleti + Çanta + Gillette Venus ve 2 Başlık PL7211,25999.00
Siyah 2x2 Ekmek Kızartma Makinesi,14400.00
Phantom Derin Orman Kablosuz Bluetooth Hoparlör,143099.00
Beosound A5 Meşe Ağacı Taşınabilir Bluetooth Hoparlör,95949.00
Spark Air Pembe TWS Kulakiçi Bluetooth Kulaklık,1665.56
DS 6 Su Filtreli Elektrikli Süpürge,21499.00
Beosound A5 Koyu Meşe Taşınabilir Kablosuz Hoparlör,95949.00
SuperGrill 3in1 Inox 6 Dilim Kapasiteli Barbekü Izgara ve Tost Makinesi 2000 Watt,7999.00
GTA 5 PS5 Oyunu,1699.00
Onyx Studio9 Siyah Bluetooth Hoparlör,15881.18
Bathys Mg Kablosuz ANC High-End Kahverengi Kulak Üstü Bluetooth Kulaklık,91699.00
NeoPix 150 Ev Projektörü,12599.00
Vali 1 900 ANSI Lümen Android TV Dahili Standlı Projeksiyon Cihazı ,15299.00
Beoplay H100 Kum Beji Kulak Üstü Bluetooth Kulaklık,99999.00
Vortex Baharat ve Kahve Öğütücü,3499.00
Uno Dahili Kablolu 10.000 mAh Powerbank 30W,2499.00
Playstation 5 Slim Standart 1 TB + Ps5 FC26 CD,43297.94
Silk Expert Pro 5 PL5052 1 Başlıklı Çantalı IPL Lazer Epilasyon Aleti  + Venus Traş Makinesi,25999.00
CH-314 Freelander Manyetik Kablosuz Şarj Araç Telefon Tutucu,3493.90
Kult X Paslanmaz Çelik Spiral Rende,9999.00
Rd 953 Siyah Bluetooth Vücut Analizi Akıllı Dijital Tartı,42709.00
Apple iPhone 17 Pro Max Roseland Turuncu Magsafe Uyumlu Telefon Kılıfı,2099.00
W4W8BVKKZHM.APBPLTK  WashTower™ Ortak Panelli 12 kg Yıkama 10 kg Kurutma Makinesi,91946.67
"Legion 5 15AHP10 Amd Ryzen 7 260 24GB Ram 1TB SSD Geforce Rtx 5060 8GB 15.3"" WUXGA IPS Panel 165Hz FreeDos Laptop 83M00070TR",75999.00
Rd 953 Beyaz Bluetooth Vücut Analizi Akıllı Dijital Tartı,42709.00
Salon Pro Sistem IPL 10000 250.000 Atımlı Kalıcı IPL Lazer Epilasyon Aleti,46900.00
Blizzard CX1 Comfort XL Lotos Beyaz Elektrikli Süpürge,36742.50
PowerDetect Clean & Empty Auto Empty Sistemli Pet Başlıklı Şarjlı Dikey Süpürge,29999.00
MG 195 Shiatsu Sıcak Soğuk Masaj Tabancası,18750.00
Guard S1 Junior Terra Red Toz Torbalı Süpürge,14242.50
EA Sports FC 26 FİFA Standard Edition PS5 Oyunu,2699.00
iPhone 17 Air Rubber Fit Mavi Silikon Magsafe Uyumlu Telefon Kılıfı,2799.00
Professional FreshFade 2020C Saç Kesme Makinesi,17000.00
Garmin Index 2 Beyaz Akıllı Tartı,12642.00
Siyah 4G Desenli Metal Logolu TWS Kulak İçi Bluetooth Kulaklık,3596.90
Lono 800W Tost Makinesi,7999.00
GC026/80 Tüy Toplama Makinesi,1079.00
WH-1000XM6 Gece Yarısı Mavisi Kulak Üstü Bluetooth Kulaklık,20499.00
Galaxy S26 Ultra MagSafe Uyumlu Kılıf + Ekran Koruyucu + Lens Koruyucu,4799.00
Wi-P056 Wireless ve PD Hızlı Şarj Özellikli Magsafe Uyumlu 10000mAh Powerbank 15W ,4319.90
Alex Gyroscope Beyaz 1288h Moplu ve Akıllı Robot Süpürge ,7999.00
BP11 10000mAh Magsafe Uyumlu Dahili Kablolu Mavi Powerbank,3499.00
AS136E Air Styler Hava Üflemeli Saç Şekillendirici,4499.00
TAK4200CT/00 Deniz Mavisi Çocuk Kulak Üstü Bluetooth Kulaklığı,2499.00
Pembe 5 Farklı Ses Efektli Retro Mikrofonlu Karaoke Bluetooth Hoparlör,3250.00
QuickSnack Waffle ve Tost Makinesi K-803,4999.00
Flip 7 Siyah Bluetooth Hoparlör,8822.35
Clean It Portatif Halı ve Koltuk Temizleme Makinesi,11399.00
Silk·expert Pro 5 / Gillette Venus + 2 Başlık ve Çanta IPL Lazer Epilasyon Aleti PL5221,21999.00
Era 300 Beyaz Kablosuz Dolby Atmos Bluetooth Hoparlör,39999.00
"Kediler Aşkına 13""/14""/15"" Laptop Kılıfı",3950.00
RVDR5222EWB One Step Volumiser Saç Kurutma Makinesi ve Şekillendirici,3999.00
P-KE4 Mavi 1080P HD Çocuk Fotoğraf Makinesi,2999.00
4G Desenli 5000 mAh Magsafe Uyumlu Powerbank,5124.49
Lsx Soundwave by Terence Conran II Bluetooth Hi-Fi Aktif Hoparlör,99999.00
Pottoman 1843H Siyah Türk Kahve Makinesi ,1899.00
Azur 7000 Serisi DST7030/20 Buharlı Ütü 2800 W,4569.00
Neo 2 Fly More Combo Drone (RC-N3),27199.00
 The One Plus Mat Siyah Taşınabilir Bluetooth Hoparlör,24999.00
RVDR5333E One Step Blow Dry 3’ü 1 Arada Saç Kurutma Makinesi ve Şekillendirici,4999.00
Fanomen 9010h Hız ve Açı Ayarlı Salınma Özellikli Ayaklı Vantilatör,1699.00
Leather iPhone 17 Pro Max Magsafe Uyumlu Siyah Telefon Kılıfı,2599.00
BGR250 The Adjusta Grill & Press™ Izgara ve Tost Makinesi,18999.00
50s Style Siyah Demlik,9800.00
Siyah 6li Bıçak Seti,23900.00
Four Star Kendinden Bilemeli 7 Parça Siyah Antrasit Blok Bıçak Seti,24999.99
Detect Duo Smoothie Maker ve BlendSens Power Blender,9999.00
G G29 Driving Force Shifter Yarış Direksiyonu ve Vites Seti,20617.53
Detroit Taşınabilir Bluetooth Hoparlör,23999.00
Meta Quest 3 512 GB Beyaz VR Sanal Gerçeklik Gözlüğü ,36081.44
Zero Pro Hava Temi̇zleme Ci̇hazı,26500.00
iPhone 17 Pro Max 256GB Gümüş Akıllı Cep Telefonu MFYM4TU/A,132988.66
Silk·expert Pro 5 / Gillette Venus + 3 Başlık ve Çanta IPL Epilasyon Aleti PL5351,24999.00
iPhone 17 Pro Max 512GB Kozmik Turuncu Akıllı Cep Telefonu MFYT4TU/A,146390.72
