product-name,product-price
Brakiyal Pleksus Ameliyatı Fiyatı (SGK'sız),800.000₺ - 900.000₺
El Bileği Artroskopisi Ameliyatı Fiyatı (SGK'lı),200.000₺ - 250.000₺
El Bileği Artroskopisi Ameliyatı Fiyatı (SGK'sız),250.000₺ - 300.000₺
‌Kalça Kırığı Ameliyatı Fiyatı (SGK'lı),220.000₺ - 250.000₺
‌Kalça Kırığı Ameliyatı Fiyatı (SGK'sız),280.000₺ - 300.000₺
Uyluk (Femur) Kırığı Ameliyatı Fiyatı (SGK'lı),220.000₺ - 250.000₺
Uyluk (Femur) Kırığı Ameliyatı Fiyatı (SGK'sız),280.000₺ - 300.000₺
Fibula Kırığı Ameliyatı Fiyatı (SGK'lı),150.000₺ - 180.000₺
Fibula Kırığı Ameliyatı Fiyatı (SGK'sız),220.000₺ - 240.000₺
Tibia Kırığı Ameliyatı Fiyatı (SGK'lı),180.000₺ - 200.000₺
Tibia Kırığı Ameliyatı Fiyatı (SGK'sız),230.000₺ - 250.000₺
Patella Kırığı Ameliyatı Fiyatı (SGK'lı),180.000₺ - 200.000₺
Patella Kırığı Ameliyatı Fiyatı (SGK'sız),220.000₺ - 250.000₺
Ayak Bilek Kırığı Ameliyatı Fiyatı (SGK'lı),170.000₺ - 200.000₺
Ayak Bilek Kırığı Ameliyatı Fiyatı (SGK'sız),220.000₺ - 250.000₺
Ayak Tarak Kemik Kırığı Ameliyatı Fiyatı (SGK'lı),130.000₺ - 150.000₺
Ayak Tarak Kemik Kırığı Ameliyatı Fiyatı (SGK'sız),180.000₺ - 200.000₺
ATFL Ameliyatı Fiyatı (SGK'lı),180.000₺ - 200.000₺
ATFL Ameliyatı Fiyatı (SGK'sız),240.000₺ - 280.000₺
Humerus Kırığı Ameliyatı Fiyatı (SGK'lı),200.000₺ - 220.000₺
Humerus Kırığı Ameliyatı Fiyatı (SGK'sız),250.000₺ - 300.000₺
Klavikula Kırığı Ameliyatı Fiyatı (SGK'lı),130.000₺ - 140.000₺
Klavikula Kırığı Ameliyatı Fiyatı (SGK'sız),180.000₺ - 190.000₺
Dirsek Kırığı Ameliyatı Fiyatı (SGK'lı),180.000₺ - 220.000₺
Dirsek Kırığı Ameliyatı Fiyatı (SGK'sız),250.000₺ - 280.000₺
El Bilek Kırığı Ameliyatı Fiyatı (SGK'lı),150.000₺ - 170.000₺
El Bilek Kırığı Ameliyatı Fiyatı (SGK'sız),250.000₺ - 270.000₺
Parmak Kırığı Ameliyatı Fiyatı (SGK'lı),130.000₺ - 160.000₺
Parmak Kırığı Ameliyatı Fiyatı (SGK'sız),180.000₺ - 200.000₺
Lon Metodu ile Boy Uzatma Ameliyatı Fiyatı (SGK'sız),1.000.000₺
Manyetik Çivi ile Boy Uzatma Ameliyatı Fiyatı (SGK'sız),2.500.000₺
Menisküs Nakli Ameliyatı Fiyatı (SGK'sız),900.000₺
