TTB İçerik Listesi,,
Katalog Adı,(*) Birim,Katalog Kodu
Mide yıkama - GASTROİNTESTİNAL,"30,00",ACİL TIP
"Mesane ponksiyonu, suprapubik - GENİTOÜRİNER","30,00",ACİL TIP
"Arteriel basınç ölçümü, direkt - KARDİYOVASKÜLER","30,00",ACİL TIP
Intraarteriyel kanülasyon + basınç ölçümü(bir kez) - KARDİYOVASKÜLER,"30,00",ACİL TIP
Nazal entübasyon(ameliyathane dışı) - RESÜSİTASYON,"30,00",ACİL TIP
Alçı çıkarma - EKSTREMİTE,"30,00",ACİL TIP
Parmak alçı atelleri - EKSTREMİTE,"30,00",ACİL TIP
"Yara debridmanı ve pansumanı, küçük - YARA VE YANIK BAKIMI","30,00",ACİL TIP
İnterkostal(tek) - DİĞER,"30,00",ACİL TIP
Lavman - GASTROİNTESTİNAL,"25,00",ACİL TIP
Nazal mukoza ve cilt infiltrasyon anestezisi - KULAK BURUN BOĞAZ,"25,00",ACİL TIP
Endotrakeal entübasyon  - RESÜSİTASYON,"25,00",ACİL TIP
Nazogastrik sonda takılması - GASTROİNTESTİNAL,"20,00",ACİL TIP
Arteriyel kanülasyon - KARDİYOVASKÜLER,"20,00",ACİL TIP
Burun mukozası koterizasyonu - KULAK BURUN BOĞAZ,"20,00",ACİL TIP
"Burun tamponu, ön - KULAK BURUN BOĞAZ","20,00",ACİL TIP
Buşon(lavaj ve maniplasyon) - KULAK BURUN BOĞAZ,"20,00",ACİL TIP
Büyük eklem içi enjeksiyon - EKSTREMİTE,"20,00",ACİL TIP
Küçük eklem içi enjeksiyon - EKSTREMİTE,"20,00",ACİL TIP
Orta eklem içi enjeksiyon - EKSTREMİTE,"20,00",ACİL TIP
"Yara pansumanı, büyük - YARA VE YANIK BAKIMI","20,00",ACİL TIP
"Venöz basınç ölçümü, periferik","16,00",ACİL TIP
Kan gazları kontrolü/takibi(bir kez/günlük),"15,00",ACİL TIP
Kan veya ürünleri transfüzyonu,"15,00",ACİL TIP
Nebülazatör ile ilaç uygulaması,"15,00",ACİL TIP
Oksijen inhalasyon tedavisi(günlük),"15,00",ACİL TIP
Pulse oksimetre ile O2 satürasyonu takibi(günlük),"15,00",ACİL TIP
Mesane sonda uygulaması - GENİTOÜRİNER,"15,00",ACİL TIP
Arteriyel ponksiyon - KARDİYOVASKÜLER,"15,00",ACİL TIP
Periferik üst ekstremite sinir bloğu (her biri) - DİĞER,"15,00",ACİL TIP
Periferik alt ekstremite sinir bloğu (her biri) - DİĞER,"15,00",ACİL TIP
"İnterkostal, ilave her sinir - DİĞER","15,00",ACİL TIP
Buhar tedavisi,"10,00",ACİL TIP
Intravenöz ilaç infüzyonu,"10,00",ACİL TIP
Intravenöz kateter yerleştirilmesi,"10,00",ACİL TIP
Periferik venöz kateterizasyon,"10,00",ACİL TIP
Elektrokardiyogram(12 derivasyonlu EKG çekimi + yorum raporu) - KARDİYOVASKÜLER,"10,00",ACİL TIP
"IV enjeksiyon, yenidoğan","8,00",ACİL TIP
Serum takılması,"8,00",ACİL TIP
Sıvı transfüzyonu,"8,00",ACİL TIP
IM enjeksiyon,"3,00",ACİL TIP
Perkütan kordotomi (CT-guided kordotomi)  - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"800,00",ANESTEZİYOLOJİ VE REANİMASYON
J-PERKÜTAN KORDOTOMİ - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"600,00",ANESTEZİYOLOJİ VE REANİMASYON
Servikal-torakal - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"500,00",ANESTEZİYOLOJİ VE REANİMASYON
Lomber - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"500,00",ANESTEZİYOLOJİ VE REANİMASYON
Hipofiz adenolizisi - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"400,00",ANESTEZİYOLOJİ VE REANİMASYON
Glossofaringeal RFT - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"350,00",ANESTEZİYOLOJİ VE REANİMASYON
Anuloplasti - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"350,00",ANESTEZİYOLOJİ VE REANİMASYON
Nükleoplasti - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"350,00",ANESTEZİYOLOJİ VE REANİMASYON
Perkütan nörostimülatör elektrod implantasyonu - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"350,00",ANESTEZİYOLOJİ VE REANİMASYON
Nörostimülatör pulse jeneratör yerleştirilmesi - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"350,00",ANESTEZİYOLOJİ VE REANİMASYON
Periferik sinir elektrod implantasyonu - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"350,00",ANESTEZİYOLOJİ VE REANİMASYON
Dorsal kolon stimülasyonu - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"350,00",ANESTEZİYOLOJİ VE REANİMASYON
"Hickman kateter yerleştirilmesi - 1-TANI, TEDAVİ VE YOĞUN BAKIM AMAÇLI UYGULAMALAR[1]","300,00",ANESTEZİYOLOJİ VE REANİMASYON
"Spinal blok, kateter + port/pompa implantı - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4]","300,00",ANESTEZİYOLOJİ VE REANİMASYON
Epidural blok (kateter + port/pompa implantı)  - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"300,00",ANESTEZİYOLOJİ VE REANİMASYON
Nörolitik çölyak/hipogastrik - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"300,00",ANESTEZİYOLOJİ VE REANİMASYON
Splanknik nörolitik - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"300,00",ANESTEZİYOLOJİ VE REANİMASYON
Trigeminal/gasser ganglion - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"300,00",ANESTEZİYOLOJİ VE REANİMASYON
Spenopalatin ganglion RFT - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"300,00",ANESTEZİYOLOJİ VE REANİMASYON
Servikal-torakal - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"300,00",ANESTEZİYOLOJİ VE REANİMASYON
Lomber-kaudal - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"300,00",ANESTEZİYOLOJİ VE REANİMASYON
Epiduroskopi - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"300,00",ANESTEZİYOLOJİ VE REANİMASYON
İmplantasyon spinal-epidural - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"300,00",ANESTEZİYOLOJİ VE REANİMASYON
İmplantasyon port/rezervuar/pompa implant - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"300,00",ANESTEZİYOLOJİ VE REANİMASYON
İntravenöz port yerleştirilmesi - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"300,00",ANESTEZİYOLOJİ VE REANİMASYON
"Trakeotomi açılması, acil - 1-TANI, TEDAVİ VE YOĞUN BAKIM AMAÇLI UYGULAMALAR[1]","250,00",ANESTEZİYOLOJİ VE REANİMASYON
Nörolitik epidural (servikal-torakal)  - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"250,00",ANESTEZİYOLOJİ VE REANİMASYON
"Nörolitik epidural, lomber-kaudal - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4]","250,00",ANESTEZİYOLOJİ VE REANİMASYON
Pleksus nörolitik ganglion impar - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"250,00",ANESTEZİYOLOJİ VE REANİMASYON
Stellat ganglion RFT - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"250,00",ANESTEZİYOLOJİ VE REANİMASYON
Paravertebral torakal RFT - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"250,00",ANESTEZİYOLOJİ VE REANİMASYON
Paravertebral lumbar RFT - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"250,00",ANESTEZİYOLOJİ VE REANİMASYON
Servikal DRG-RFT - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"250,00",ANESTEZİYOLOJİ VE REANİMASYON
Torakal DRG-RFT - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"250,00",ANESTEZİYOLOJİ VE REANİMASYON
Lomber DRG-RFT - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"250,00",ANESTEZİYOLOJİ VE REANİMASYON
Perkütan intradiskal RFT - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"250,00",ANESTEZİYOLOJİ VE REANİMASYON
PİRFT intradiskal - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"250,00",ANESTEZİYOLOJİ VE REANİMASYON
RFT Nörotomi - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"250,00",ANESTEZİYOLOJİ VE REANİMASYON
Faset Eklem (tek) RFT - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"250,00",ANESTEZİYOLOJİ VE REANİMASYON
Perkütan faset sinir (tek) denervasyon - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"250,00",ANESTEZİYOLOJİ VE REANİMASYON
Epidural blok (kontinu) + sezaryen (genel anestezi)  - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"250,00",ANESTEZİYOLOJİ VE REANİMASYON
"Trakeotomi açılması, planlı - 1-TANI, TEDAVİ VE YOĞUN BAKIM AMAÇLI UYGULAMALAR[1]","200,00",ANESTEZİYOLOJİ VE REANİMASYON
Gasser ganglion - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"200,00",ANESTEZİYOLOJİ VE REANİMASYON
Çölyak/hipogastrik pleksus - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"200,00",ANESTEZİYOLOJİ VE REANİMASYON
Splanknik blok - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"200,00",ANESTEZİYOLOJİ VE REANİMASYON
Subaraknoid nörolitik - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"200,00",ANESTEZİYOLOJİ VE REANİMASYON
Trigeminal/gasser ganglion - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"200,00",ANESTEZİYOLOJİ VE REANİMASYON
Sakroiliak eklem (tek) RFT - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"200,00",ANESTEZİYOLOJİ VE REANİMASYON
İlave seviye - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"200,00",ANESTEZİYOLOJİ VE REANİMASYON
Epidural diferansiyel blok - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"200,00",ANESTEZİYOLOJİ VE REANİMASYON
Spinal diferansiyel blok - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"200,00",ANESTEZİYOLOJİ VE REANİMASYON
6. Cerrahi birimleri toplamı 500-599 olan ameliyatlarda,"175,00",ANESTEZİYOLOJİ VE REANİMASYON
Kombine spinal epidural analjezi/blok (kontinu)  - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"175,00",ANESTEZİYOLOJİ VE REANİMASYON
"Kardiyopulmoner resüssitasyon, defibrilasyon ile - 1-TANI, TEDAVİ VE YOĞUN BAKIM AMAÇLI UYGULAMALAR[1]","150,00",ANESTEZİYOLOJİ VE REANİMASYON
"Subclavian kateter takılması, cerrahi yöntemle - 1-TANI, TEDAVİ VE YOĞUN BAKIM AMAÇLI UYGULAMALAR[1]","150,00",ANESTEZİYOLOJİ VE REANİMASYON
"Swan-Ganz kateter yerleştirilmesi - 1-TANI, TEDAVİ VE YOĞUN BAKIM AMAÇLI UYGULAMALAR[1]","150,00",ANESTEZİYOLOJİ VE REANİMASYON
5. Cerrahi birimleri toplamı 400-499 olan ameliyatlarda,"150,00",ANESTEZİYOLOJİ VE REANİMASYON
Atlantoaksial ve atlantooksipital enjeksiyon - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"150,00",ANESTEZİYOLOJİ VE REANİMASYON
Proloterapi - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"150,00",ANESTEZİYOLOJİ VE REANİMASYON
Sfenopalatin ganglion - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"150,00",ANESTEZİYOLOJİ VE REANİMASYON
İmpar ganglion - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"150,00",ANESTEZİYOLOJİ VE REANİMASYON
Servikal-torakal epidural kateter - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"150,00",ANESTEZİYOLOJİ VE REANİMASYON
Lumbar-kaudal epidural kateter - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"150,00",ANESTEZİYOLOJİ VE REANİMASYON
Transforaminal anterior epidural enjeksiyon - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"150,00",ANESTEZİYOLOJİ VE REANİMASYON
Transforaminal anterior epidural kateter - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"150,00",ANESTEZİYOLOJİ VE REANİMASYON
Kateter revizyon/implant çıkartılma - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"150,00",ANESTEZİYOLOJİ VE REANİMASYON
Port/pompa revizyon/çıkartılma - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"150,00",ANESTEZİYOLOJİ VE REANİMASYON
Nörostimülatör pulse jeneratör revizyonu/çıkartılması - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"150,00",ANESTEZİYOLOJİ VE REANİMASYON
İntraplevral kateter (kontinu blok)  - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"150,00",ANESTEZİYOLOJİ VE REANİMASYON
4. Cerrahi birimleri toplamı 300-399 olan ameliyatlarda,"125,00",ANESTEZİYOLOJİ VE REANİMASYON
Subaraknoid kateter - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"125,00",ANESTEZİYOLOJİ VE REANİMASYON
Servikal-torakal epidural enjeksiyon - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"125,00",ANESTEZİYOLOJİ VE REANİMASYON
Lumbar-kaudal epidural enjeksiyon - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"125,00",ANESTEZİYOLOJİ VE REANİMASYON
Nörolitik stellat ganglion - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"125,00",ANESTEZİYOLOJİ VE REANİMASYON
"Nörolitik paravertebral, torakal - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4]","125,00",ANESTEZİYOLOJİ VE REANİMASYON
"Nörolitik paravertebral, lomber - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4]","125,00",ANESTEZİYOLOJİ VE REANİMASYON
"Kardiyopulmoner ressüsitasyon - 1-TANI, TEDAVİ VE YOĞUN BAKIM AMAÇLI UYGULAMALAR[1]","100,00",ANESTEZİYOLOJİ VE REANİMASYON
"Vena seksiyonu (Cut-down)  - 1-TANI, TEDAVİ VE YOĞUN BAKIM AMAÇLI UYGULAMALAR[1]","100,00",ANESTEZİYOLOJİ VE REANİMASYON
"Santral ven kateterizasyonu, perkütan, juguler veya subclavien venden - 1-TANI, TEDAVİ VE YOĞUN BAKIM AMAÇLI UYGULAMALAR[1]","100,00",ANESTEZİYOLOJİ VE REANİMASYON
"Hemodiyaliz için kateter yerleştirme - 1-TANI, TEDAVİ VE YOĞUN BAKIM AMAÇLI UYGULAMALAR[1]","100,00",ANESTEZİYOLOJİ VE REANİMASYON
"Periton diyalizi için kateter yerleştirme - 1-TANI, TEDAVİ VE YOĞUN BAKIM AMAÇLI UYGULAMALAR[1]","100,00",ANESTEZİYOLOJİ VE REANİMASYON
"Perkütan sistostomi - 1-TANI, TEDAVİ VE YOĞUN BAKIM AMAÇLI UYGULAMALAR[1]","100,00",ANESTEZİYOLOJİ VE REANİMASYON
3. Cerrahi birimleri toplamı 200-299 olan ameliyatlarda,"100,00",ANESTEZİYOLOJİ VE REANİMASYON
İntradiskal enjeksiyon - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"100,00",ANESTEZİYOLOJİ VE REANİMASYON
Servikal pleksus - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"100,00",ANESTEZİYOLOJİ VE REANİMASYON
Brakial pleksus - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"100,00",ANESTEZİYOLOJİ VE REANİMASYON
Glossofaringeal /vagus /frenik /aksesoryus - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"100,00",ANESTEZİYOLOJİ VE REANİMASYON
İnterskalen - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"100,00",ANESTEZİYOLOJİ VE REANİMASYON
Aksiller pleksus - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"100,00",ANESTEZİYOLOJİ VE REANİMASYON
Epidural kan/serum yaması - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"100,00",ANESTEZİYOLOJİ VE REANİMASYON
Perkütan elektrod revizyon/çıkartılma - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"100,00",ANESTEZİYOLOJİ VE REANİMASYON
"Servikal-torakal provokatif diskografi, tek seviye - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4]","100,00",ANESTEZİYOLOJİ VE REANİMASYON
"Lomber provokatif diskografi, tek seviye - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4]","100,00",ANESTEZİYOLOJİ VE REANİMASYON
"Muayene anestezisi, ameliyathane dışı - 1-TANI, TEDAVİ VE YOĞUN BAKIM AMAÇLI UYGULAMALAR[1]","75,00",ANESTEZİYOLOJİ VE REANİMASYON
"Santral ven kateterizasyonu, perkütan, femoral venden - 1-TANI, TEDAVİ VE YOĞUN BAKIM AMAÇLI UYGULAMALAR[1]","75,00",ANESTEZİYOLOJİ VE REANİMASYON
"Perkütan trakeotomi - 1-TANI, TEDAVİ VE YOĞUN BAKIM AMAÇLI UYGULAMALAR[1]","75,00",ANESTEZİYOLOJİ VE REANİMASYON
2. Cerrahi birimleri toplamı 100-199 olan ameliyatlarda,"75,00",ANESTEZİYOLOJİ VE REANİMASYON
Sakroiliak eklem enjeksiyonu - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"75,00",ANESTEZİYOLOJİ VE REANİMASYON
Faset eklem içi (servikal) enjeksiyon - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"75,00",ANESTEZİYOLOJİ VE REANİMASYON
Faset eklem içi (lomber) enjeksiyon - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"75,00",ANESTEZİYOLOJİ VE REANİMASYON
Fasial sinir - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"75,00",ANESTEZİYOLOJİ VE REANİMASYON
Laringeal sup/rek - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"75,00",ANESTEZİYOLOJİ VE REANİMASYON
Selektif sinir kökü bloğu (tek)  - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"75,00",ANESTEZİYOLOJİ VE REANİMASYON
İlioinguinal/genitofemoral/iliohipogastrik - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"75,00",ANESTEZİYOLOJİ VE REANİMASYON
Siyatik blok - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"75,00",ANESTEZİYOLOJİ VE REANİMASYON
Femoral üçlü blok - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"75,00",ANESTEZİYOLOJİ VE REANİMASYON
Paraservikal (tek)  - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"75,00",ANESTEZİYOLOJİ VE REANİMASYON
Stellat ganglion - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"75,00",ANESTEZİYOLOJİ VE REANİMASYON
Paravertebral torakal (tek)  - 3-ALGOLOJİ-AĞRI TEDAVİSİ UYGULAMALARI[4],"75,00",ANESTEZİYOLOJİ VE REANİMASYON
