TTB İçerik Listesi,,
Katalog Adı,(*) Birim,Katalog Kodu
"Torakotomi, intraplevral yabancı cisim (fibrin birikintisi çıkartılması ile birlikte)  - AKCİĞERLER VE PLEVRA","700,00",GÖĞÜS CERRAHİSİ[14]
"Torakotomi, intrapulmoner yabancı cisim çıkartılması ile birlikte - AKCİĞERLER VE PLEVRA","700,00",GÖĞÜS CERRAHİSİ[14]
"Pnömonostomi, apse veya kistin açık drenajı ile birlikte  - AKCİĞERLER VE PLEVRA","700,00",GÖĞÜS CERRAHİSİ[14]
"Plörektomi, parietal (ayrı işlem)  - AKCİĞERLER VE PLEVRA","700,00",GÖĞÜS CERRAHİSİ[14]
"Plörektomi, parsiyel  - AKCİĞERLER VE PLEVRA","700,00",GÖĞÜS CERRAHİSİ[14]
"Dekortikasyon, pulmoner, parsiyel - AKCİĞERLER VE PLEVRA","700,00",GÖĞÜS CERRAHİSİ[14]
"Videotorakoskopi, bül eksizyonu ile birlikte - AKCİĞERLER VE PLEVRA","700,00",GÖĞÜS CERRAHİSİ[14]
"Tos, servikal kot + 1. kot rezeksiyonu - TORAKS DUVARI","700,00",GÖĞÜS CERRAHİSİ[14]
"Mediastinotomi ile eksplorasyon, drenaj veya yabancı cisim çıkartılması ile birlikte sternotomi - DİĞER MEDİASTEN ORGANLARI İLE İLGİLİ İŞLEMLER","700,00",GÖĞÜS CERRAHİSİ[14]
"Özofagus divertikül eksizyonu, servikal - DİĞER MEDİASTEN ORGANLARI İLE İLGİLİ İŞLEMLER","700,00",GÖĞÜS CERRAHİSİ[14]
"Onarım, paraözofageal hiatus hernisi, transabdominal, fundoplasti, vagotomi, ve/veya piloroplasti ile birlikte veya değil, yenidoğan hariç - DİAFRAGMA CERRAHİSİ","685,00",GÖĞÜS CERRAHİSİ[14]
"Bronkoskopi, eksizyon dışında başka bir metodla tümör destrüksiyonu veya stenozun giderilmesi ile birlikte (örn. lazer)  - TRAKEA VE BRONŞ","600,00",GÖĞÜS CERRAHİSİ[14]
"Torakotomi, major, eksplorasyon ve biyopsi ile birlikte - AKCİĞERLER VE PLEVRA","600,00",GÖĞÜS CERRAHİSİ[14]
"Torakotomi, postoperatif komplikasyon için  - AKCİĞERLER VE PLEVRA","600,00",GÖĞÜS CERRAHİSİ[14]
Torakotomi  - AKCİĞERLER VE PLEVRA,"600,00",GÖĞÜS CERRAHİSİ[14]
"Biyopsi, açık - AKCİĞERLER VE PLEVRA","600,00",GÖĞÜS CERRAHİSİ[14]
"Sternum fraktürü fiksasyonu, açık - TORAKS DUVARI","600,00",GÖĞÜS CERRAHİSİ[14]
"Kot rezeksiyonu, ekstraplevral, tüm seviyeler - TORAKS DUVARI","600,00",GÖĞÜS CERRAHİSİ[14]
"Torakoplasti, schede tipi veya ekstraplevral, tüm seviyeler - TORAKS DUVARI","600,00",GÖĞÜS CERRAHİSİ[14]
"Mediastinotomi ile eksplorasyon, drenaj veya yabancı cisim çıkartılması ile birlikte transtorasik (tanı ve evreleme amaçlı)  - DİĞER MEDİASTEN ORGANLARI İLE İLGİLİ İŞLEMLER","600,00",GÖĞÜS CERRAHİSİ[14]
Evantrasyon düzeltilmesi - DİAFRAGMA CERRAHİSİ,"600,00",GÖĞÜS CERRAHİSİ[14]
"Videotorakoskopi, ekploratris, biyopsi, drenaj ile birlikte - AKCİĞERLER VE PLEVRA","500,00",GÖĞÜS CERRAHİSİ[14]
"Kist hidatik, göğüs duvarı - TORAKS DUVARI","500,00",GÖĞÜS CERRAHİSİ[14]
Geç sternal dehiscence onarımı - TORAKS DUVARI,"500,00",GÖĞÜS CERRAHİSİ[14]
Torakal sempatektomi (tek taraflı)  - TORAKS DUVARI,"500,00",GÖĞÜS CERRAHİSİ[14]
Göğüs duvarından olan akciğer hernisinin onarımı - TORAKS DUVARI,"480,00",GÖĞÜS CERRAHİSİ[14]
"Bronkoskopi, trakeal dilatasyon ve trakeal stent yerleştirilmesi ile birlikte - TRAKEA VE BRONŞ","400,00",GÖĞÜS CERRAHİSİ[14]
"Bronkoskopi, tümör eksizyonu ile birlikte - TRAKEA VE BRONŞ","400,00",GÖĞÜS CERRAHİSİ[14]
"Torakostomi, ampiyem için kot rezeksiyonu ile birlikte - AKCİĞERLER VE PLEVRA","400,00",GÖĞÜS CERRAHİSİ[14]
"Torakotomi, ampiyem için açık flep drenajı ile birlikte - AKCİĞERLER VE PLEVRA","400,00",GÖĞÜS CERRAHİSİ[14]
"Torakotomi, sınırlı, akciğer veya plevra biyopsisi için - AKCİĞERLER VE PLEVRA","400,00",GÖĞÜS CERRAHİSİ[14]
Sternal debridman - TORAKS DUVARI,"400,00",GÖĞÜS CERRAHİSİ[14]
"Tümör eksizyonu, yumuşak doku, subkutan, derin, subfasiyal, intramuskuler - TORAKS DUVARI","400,00",GÖĞÜS CERRAHİSİ[14]
"Skalen antikus divizyonu, servikal kot rezeksiyonu var - TORAKS DUVARI","400,00",GÖĞÜS CERRAHİSİ[14]
"Mediastinoskopi, akciğer kanseri evrelemesi için - DİĞER MEDİASTEN ORGANLARI İLE İLGİLİ İŞLEMLER","400,00",GÖĞÜS CERRAHİSİ[14]
"Mediastinotomi ile eksplorasyon, drenaj veya yabancı cisim çıkartılması ile birlikte mediastinotomi, servikal yaklaşım - DİĞER MEDİASTEN ORGANLARI İLE İLGİLİ İŞLEMLER","300,00",GÖĞÜS CERRAHİSİ[14]
"Kot rezeksiyonu, parsiyel - TORAKS DUVARI","300,00",GÖĞÜS CERRAHİSİ[14]
"Trakeotomi açılması, acil - TRAKEA VE BRONŞ","250,00",GÖĞÜS CERRAHİSİ[14]
"Bronkoskopi, biyopsi ile birlikte - TRAKEA VE BRONŞ","250,00",GÖĞÜS CERRAHİSİ[14]
"Bronkoskopi, transbronşial akciğer veya lenf nodu biyopsisi ile birlikte, floroskopik kılavuzluk var/yok - TRAKEA VE BRONŞ","250,00",GÖĞÜS CERRAHİSİ[14]
"Bronkoskopi, trakeal veya bronşial dilatasyon ile birlikte - TRAKEA VE BRONŞ","250,00",GÖĞÜS CERRAHİSİ[14]
"Bronkoskopi, yabancı cisim çıkarılması amacıyla - TRAKEA VE BRONŞ","250,00",GÖĞÜS CERRAHİSİ[14]
Kimyasal plörodez (örn. rekürren veya persistan pnömotoraks için)  - AKCİĞERLER VE PLEVRA,"250,00",GÖĞÜS CERRAHİSİ[14]
Tüp torakostomi (göğüs tüpüyle sualtı drenajı)  - AKCİĞERLER VE PLEVRA,"250,00",GÖĞÜS CERRAHİSİ[14]
Torakoskopi + biyopsi - AKCİĞERLER VE PLEVRA,"250,00",GÖĞÜS CERRAHİSİ[14]
"Sternum fraktürü fiksasyonu, kapalı - TORAKS DUVARI","250,00",GÖĞÜS CERRAHİSİ[14]
"Skalen antikus divizyonu, kot rezeksiyonu yok - TORAKS DUVARI","250,00",GÖĞÜS CERRAHİSİ[14]
"Mediastinoskopi, biyopsi ile veya değil - DİĞER MEDİASTEN ORGANLARI İLE İLGİLİ İŞLEMLER","250,00",GÖĞÜS CERRAHİSİ[14]
"Trakeotomi açılması, planlı - TRAKEA VE BRONŞ","200,00",GÖĞÜS CERRAHİSİ[14]
"Bronkoskopi, trakeobronşial ağacın terapötik aspirasyonu ile birlikte, ilk işlem (örn. akciğer apsesi drenajı)  - TRAKEA VE BRONŞ","200,00",GÖĞÜS CERRAHİSİ[14]
"Cerrahi trakeostomi veya fistül kapatılması, plastik onarım ile birlikte - TRAKEA VE BRONŞ","200,00",GÖĞÜS CERRAHİSİ[14]
Trakeostomi skar revizyonu - TRAKEA VE BRONŞ,"200,00",GÖĞÜS CERRAHİSİ[14]
"Torakoskopi, tanısal - AKCİĞERLER VE PLEVRA","200,00",GÖĞÜS CERRAHİSİ[14]
"İnsizyon ve drenaj, derin apse, hematom, yumuşak doku, boyun, toraks - TORAKS DUVARI","200,00",GÖĞÜS CERRAHİSİ[14]
"Özofagoskopi, yabancı cisim çıkarılması amacıyla - DİĞER MEDİASTEN ORGANLARI İLE İLGİLİ İŞLEMLER","200,00",GÖĞÜS CERRAHİSİ[14]
"Bronkoskopi, tanısal (fleksible veya rijit) , bronşial lavaj ile birlikte veya değil - TRAKEA VE BRONŞ","150,00",GÖĞÜS CERRAHİSİ[14]
Skalen biyopsi - AKCİĞERLER VE PLEVRA,"150,00",GÖĞÜS CERRAHİSİ[14]
"Kot fraktürü tedavisi, açık, herhangi bir seviye - TORAKS DUVARI","150,00",GÖĞÜS CERRAHİSİ[14]
"Cerrahi trakeostomi veya fistül kapatılması, plastik onarım yok - TRAKEA VE BRONŞ","120,00",GÖĞÜS CERRAHİSİ[14]
"Bronkoskopi, trakeobronşial ağacın terapötik aspirasyonu ile birlikte, sonraki işlem - TRAKEA VE BRONŞ","100,00",GÖĞÜS CERRAHİSİ[14]
"Biyopsi, plevral, perkütan iğne - AKCİĞERLER VE PLEVRA","100,00",GÖĞÜS CERRAHİSİ[14]
"Biyopsi, akciğer veya mediasten, perkütan iğne - AKCİĞERLER VE PLEVRA","100,00",GÖĞÜS CERRAHİSİ[14]
Sternal tel çıkarılması - TORAKS DUVARI,"100,00",GÖĞÜS CERRAHİSİ[14]
Özofagoskopi + biyopsi - DİĞER MEDİASTEN ORGANLARI İLE İLGİLİ İŞLEMLER,"90,00",GÖĞÜS CERRAHİSİ[14]
İnterkostal blokaj - TORAKS DUVARI,"75,00",GÖĞÜS CERRAHİSİ[14]
"Özofagoskopi, tanısal - DİĞER MEDİASTEN ORGANLARI İLE İLGİLİ İŞLEMLER","70,00",GÖĞÜS CERRAHİSİ[14]
Torasentez - AKCİĞERLER VE PLEVRA,"50,00",GÖĞÜS CERRAHİSİ[14]
"Kot fraktürü tedavisi, kapalı, herhangi bir seviye - TORAKS DUVARI","50,00",GÖĞÜS CERRAHİSİ[14]
"Pnömotoraks, terapötik, intraplevral hava enjeksiyonu - TORAKS DUVARI","50,00",GÖĞÜS CERRAHİSİ[14]
"Bronkoskopi, eksizyon dışı bir metodla tm destrüksiyonu/stenozun açılması (örn. Lazer, kriyoterapi, argon plazma)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER","600,00",GÖĞÜS HASTALIKLARI
Bronkoskopik volüm azaltma işlem (Valv hariç)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"600,00",GÖĞÜS HASTALIKLARI
Bronkoskopik laser/koter/diatermi (bronkoskopi ücreti dahil)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"500,00",GÖĞÜS HASTALIKLARI
"Bronkoskopi, tüm akciğer lavajı (pulmoner alveoler proteinoziste)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER","500,00",GÖĞÜS HASTALIKLARI
3 boyutlu navigasyon sistemi ile bronkoskopik işlemler (kılavuz tel ve sarf malzemeleri hariç)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"500,00",GÖĞÜS HASTALIKLARI
"Bronkoskopi, trakeal dilatasyon ve trakeal stent yerleştirilmesi ile birlikte - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER","400,00",GÖĞÜS HASTALIKLARI
Endobronşiyal ultrasonografi (EBUS) (transbronşiyal iğne aspirasyon işlemi dahil)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"400,00",GÖĞÜS HASTALIKLARI
"Tanısal torakoskopi (drenaj, biyopsi ile birlikte)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER","400,00",GÖĞÜS HASTALIKLARI
Plevral boşluğun lavajı-pleurocan ile - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"300,00",GÖĞÜS HASTALIKLARI
"Bronkoskopi, bronşiyal fistül kapama amaçlı (fibrin glue, syanoakrilat vb.)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER","300,00",GÖĞÜS HASTALIKLARI
"Bronkoskopi, transbronşiyal iğne aspirasyonu veya transbronşiyal biyopsi - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER","300,00",GÖĞÜS HASTALIKLARI
Otofloresan bronkoskopi sistemiyle bronş ağacının taranması - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"300,00",GÖĞÜS HASTALIKLARI
"Bronkoskopi, tanısal biyopsi, fırçalama, yabancı cisim çıkartılması (GAA yapıldığında anestezi ücreti eklenir)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER","250,00",GÖĞÜS HASTALIKLARI
"Bronkoskopi, trakeal veya bronşiyal balon dilatasyonu ile birlikte - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER","250,00",GÖĞÜS HASTALIKLARI
"Bronkoskopiyle Fogarty katater, brakiterapi katateri yerleştirilmesi - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER","250,00",GÖĞÜS HASTALIKLARI
Tüp torakostomi (Göğüs tüpüyle sualtı drenajı)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"250,00",GÖĞÜS HASTALIKLARI
"Bronkoskopi, tanısal (fleksibl, rijit) lavaj ile birlikte/değil (GAA yapıldığında anestezi ücreti eklenir)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER","200,00",GÖĞÜS HASTALIKLARI
"Bronkoskopi, Bronkoalveolar lavaj - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER","200,00",GÖĞÜS HASTALIKLARI
"Temel Yaşam Desteği (Yoğun bakım yatak ücreti, monitorizasyon, nebül uygulama, oksijen, ventilatör takibi, derin trakeal aspirasyon dahildir) (ilk gün için)  - GENEL İŞLEMLER","200,00",GÖĞÜS HASTALIKLARI
Trakeotomi açılması (perkütan yöntemle)  - GENEL İŞLEMLER,"200,00",GÖĞÜS HASTALIKLARI
Pnömotoraksın kataterle tedavisi - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"150,00",GÖĞÜS HASTALIKLARI
"Plevra biyopsisi (Abrams, Ramel Cope iğneleri ile)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER","150,00",GÖĞÜS HASTALIKLARI
"Bronkoskopi, trakeobronşial ağacın terapötik aspirasyonu ile birlikte (örn.akciğer apsesi drenajı)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER","150,00",GÖĞÜS HASTALIKLARI
Trans torasik kesici iğne biyopsisi - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"150,00",GÖĞÜS HASTALIKLARI
Swan Ganz kateterizasyon - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"150,00",GÖĞÜS HASTALIKLARI
Spesifik bronş provakasyon testi - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15],"100,00",GÖĞÜS HASTALIKLARI
Kardiyopulmoner egzersiz testleri - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15],"100,00",GÖĞÜS HASTALIKLARI
Fibrinolitik tedavi (plevral)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"100,00",GÖĞÜS HASTALIKLARI
Kimyasal plörodezis - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"100,00",GÖĞÜS HASTALIKLARI
Transtorasik ince iğne aspirasyonu - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"100,00",GÖĞÜS HASTALIKLARI
"Temel Yaşam Desteği (Yoğun bakım yatak ücreti, monitorizasyon, nebül uygulama, oksijen, ventilatör takibi, derin trakeal aspirasyon dahildir) (sonraki her gün için)  - GENEL İŞLEMLER","100,00",GÖĞÜS HASTALIKLARI
Santral venöz kateterizasyon - GENEL İŞLEMLER,"100,00",GÖĞÜS HASTALIKLARI
Kardiyopulmoner resüssitasyon - GENEL İŞLEMLER,"100,00",GÖĞÜS HASTALIKLARI
"Bronş provakasyon testi (metakolin, histamin, inhalasyonu ile)  - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15]","75,00",GÖĞÜS HASTALIKLARI
Helyum gazıyla difüzyon ölçümü - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15],"75,00",GÖĞÜS HASTALIKLARI
Kapanış volümü (nitrojen yıkama testi)  - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15],"75,00",GÖĞÜS HASTALIKLARI
"Rezidüel volüm, fonksiyonel rezidüel kapasite, total akciğer kapasitesi ölçümü - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15]","75,00",GÖĞÜS HASTALIKLARI
Pletismografik metodla havayolu direncinin ölçümü - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15],"75,00",GÖĞÜS HASTALIKLARI
Kompliyans ölçümü (statik-dinamik)  - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15],"75,00",GÖĞÜS HASTALIKLARI
"MIP, MEP (Pİ max, PE max)  - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15]","75,00",GÖĞÜS HASTALIKLARI
Maksimum oksijen tüketimi - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15],"75,00",GÖĞÜS HASTALIKLARI
Torasentezle sıvı-hava boşaltılması (günde 1 kez ödenir)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"75,00",GÖĞÜS HASTALIKLARI
"Akım volüm halkası (inspiratuvar, ekspiratuvar akım)  - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15]","50,00",GÖĞÜS HASTALIKLARI
Reversibiliteli solunum fonksiyon testi - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15],"50,00",GÖĞÜS HASTALIKLARI
Egzerzis testi (6 dakika yürüme)  - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15],"50,00",GÖĞÜS HASTALIKLARI
Trombolitik tedavi (Venöz yoldan) (Pulmoner emboli tedavisi)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"50,00",GÖĞÜS HASTALIKLARI
"Spirometri ile statik solunum fonksiyon testi (VC, FVC, FEV1, PEF, FEV1/FVC)  - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15]","40,00",GÖĞÜS HASTALIKLARI
Respiratör uygulama ve takip (günlük)  - GENEL İŞLEMLER,"40,00",GÖĞÜS HASTALIKLARI
Astım tanısı ve izleminde PEF takibi - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15],"30,00",GÖĞÜS HASTALIKLARI
Ekspirasyon havasında CO ölçümü - A-SOLUNUM SİSTEMİ-FONKSİYONEL İNCELEMELER[15],"25,00",GÖĞÜS HASTALIKLARI
Endotrakeal entübasyon - GENEL İŞLEMLER,"25,00",GÖĞÜS HASTALIKLARI
Arteryel kanülasyon - GENEL İŞLEMLER,"20,00",GÖĞÜS HASTALIKLARI
Nazogastrik sonda ya da feeding tüp takılması - GENEL İŞLEMLER,"20,00",GÖĞÜS HASTALIKLARI
Arteryel ponksiyon - GENEL İŞLEMLER,"15,00",GÖĞÜS HASTALIKLARI
İmmunoterapi (alerjen başına)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"10,00",GÖĞÜS HASTALIKLARI
Doğrudan gözetimli tedavi tüberkülozlu hasta takibi (günlük ilaçlarının içirilmesi şartıyla)  - GENEL İŞLEMLER,"10,00",GÖĞÜS HASTALIKLARI
Deri prick testi (her biri)  - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"8,00",GÖĞÜS HASTALIKLARI
PPD testi uygulaması ve değerlendirilmesi - B-SOLUNUM SİSTEMİ-GİRİŞİMSEL İNCELEMELER,"5,00",GÖĞÜS HASTALIKLARI
"Kronik hasta eğitimi (Diyabet, KOAH, astım, tüberküloz, kanser hastaları, sigara bıraktırma polikliniği) (bir hasta için bir kez faturalandırılabilir)  - GENEL İŞLEMLER","3,00",GÖĞÜS HASTALIKLARI
LASIK (çift göz)  - İRİS İLE İLGİLİ İŞLEMLER,"1.100,00",GÖZ HASTALIKLARI[16]
Fakoemülsifikasyon (göz içi lens konulması dahil)  - KATARAKT AMELİYATLARI,"700,00",GÖZ HASTALIKLARI[16]
Vitro-retinal cerrahi (tüm işlemler)  - RETİNA,"700,00",GÖZ HASTALIKLARI[16]
Keratoprotez uygulaması - KORNEA İLE İLGİLİ İŞLEMLER,"650,00",GÖZ HASTALIKLARI[16]
Keratoplasti - KORNEA İLE İLGİLİ İŞLEMLER,"600,00",GÖZ HASTALIKLARI[16]
Ekzanterasyon - ORBİTA,"600,00",GÖZ HASTALIKLARI[16]
Telekantüs - GÖZ KAPAKLARI İLE İLGİLİ İŞLEMLER,"550,00",GÖZ HASTALIKLARI[16]
LASIK - KORNEA İLE İLGİLİ İŞLEMLER,"550,00",GÖZ HASTALIKLARI[16]
Orbita dekompresyon operasyonu - ORBİTA,"550,00",GÖZ HASTALIKLARI[16]
Optik sinir dekompresyon operasyonu - ORBİTA,"550,00",GÖZ HASTALIKLARI[16]
İntraorbital tümör - ORBİTA,"550,00",GÖZ HASTALIKLARI[16]
Lens ekstraksiyonu ve intraoküler lens konulması (İOL)  - KATARAKT AMELİYATLARI,"500,00",GÖZ HASTALIKLARI[16]
Skleral fiksasyon - KATARAKT AMELİYATLARI,"500,00",GÖZ HASTALIKLARI[16]
Trabekülektomi - GLOKOM AMELİYATLARI,"500,00",GÖZ HASTALIKLARI[16]
"Seton ameliyatı (tüp, molteno vb.)  - GLOKOM AMELİYATLARI","500,00",GÖZ HASTALIKLARI[16]
Tüp implantlı konjonktival rinostomi - GÖZYAŞI DRENAJ YOLLARI İLE İLGİLİ İŞLEMLER,"500,00",GÖZ HASTALIKLARI[16]
"Dekolman ameliyatları, şörklaj, lokal - RETİNA","500,00",GÖZ HASTALIKLARI[16]
"Vitrektomi, pars plana - RETİNA","500,00",GÖZ HASTALIKLARI[16]
Pars plane suhnt implantı (seton)  - RETİNA,"500,00",GÖZ HASTALIKLARI[16]
Mobil implantlı enükleasyon - ORBİTA,"500,00",GÖZ HASTALIKLARI[16]
Orbitotomi - ORBİTA,"500,00",GÖZ HASTALIKLARI[16]
İntraoküler ve orbital yabancı cisimlerin çıkartılması - ORBİTA,"500,00",GÖZ HASTALIKLARI[16]
Protez yapılması - ORBİTA,"500,00",GÖZ HASTALIKLARI[16]
"Soket revizyonu, enükleasyon sonrası geç dönem - ORBİTA","500,00",GÖZ HASTALIKLARI[16]
Blow-out fraktürü - ORBİTA,"500,00",GÖZ HASTALIKLARI[16]
Kornea içi halka uygulaması (Intacs)  - İRİS İLE İLGİLİ İŞLEMLER,"500,00",GÖZ HASTALIKLARI[16]
"Kapak rekonstrüksiyonu, greft veya fleple - GÖZ KAPAKLARI İLE İLGİLİ İŞLEMLER","450,00",GÖZ HASTALIKLARI[16]
Her iki gözde birer rektusa geriletme ve/veya rezeksiyon - ŞAŞILIK AMELİYATLARI,"450,00",GÖZ HASTALIKLARI[16]
"Dakriosistorinostomi (DSR) , eksternal - GÖZYAŞI DRENAJ YOLLARI İLE İLGİLİ İŞLEMLER","450,00",GÖZ HASTALIKLARI[16]
"Dakriosistorinostomi (DSR) , endonazal - GÖZYAŞI DRENAJ YOLLARI İLE İLGİLİ İŞLEMLER","450,00",GÖZ HASTALIKLARI[16]
"Konjonktiva plastiği, greftli - KONJUNKTİVA İLE İLGİLİ İŞLEMLER","400,00",GÖZ HASTALIKLARI[16]
Foto Terapotik Keratektomi (PTK)  - KORNEA İLE İLGİLİ İŞLEMLER,"400,00",GÖZ HASTALIKLARI[16]
Foto Retraktif Keratoplasti (eximer lazer ile PRK ameliyatı)  - KORNEA İLE İLGİLİ İŞLEMLER,"400,00",GÖZ HASTALIKLARI[16]
Lazer ile miyop tedavisi - KORNEA İLE İLGİLİ İŞLEMLER,"400,00",GÖZ HASTALIKLARI[16]
"Lens ekstraksiyonu, ekstrakapsüler - KATARAKT AMELİYATLARI","400,00",GÖZ HASTALIKLARI[16]
Sekonder İOL konulması - KATARAKT AMELİYATLARI,"400,00",GÖZ HASTALIKLARI[16]
"Gonyotomi, trabekülotomi - GLOKOM AMELİYATLARI","400,00",GÖZ HASTALIKLARI[16]
Rektuslara geriletme ve rezeksiyon (iki taraflı)  - ŞAŞILIK AMELİYATLARI,"400,00",GÖZ HASTALIKLARI[16]
Nystagmus cerrahisinin (Nystagmus Damgening Operation) her iki gözde tüm horizontal kaslara (4 rektus kasına) geriletme (tek göz için)  - ŞAŞILIK AMELİYATLARI,"400,00",GÖZ HASTALIKLARI[16]
Entübasyon ve alt konka kırılması - GÖZYAŞI DRENAJ YOLLARI İLE İLGİLİ İŞLEMLER,"400,00",GÖZ HASTALIKLARI[16]
"Dekolman ameliyatları, krio aplikasyonu - RETİNA","400,00",GÖZ HASTALIKLARI[16]
Pnomatik retinopeksi - RETİNA,"400,00",GÖZ HASTALIKLARI[16]
"Vitrektomi, anterior - RETİNA","400,00",GÖZ HASTALIKLARI[16]
Slikon yağı çıkarılması - RETİNA,"400,00",GÖZ HASTALIKLARI[16]
"Lens ekstraksiyonu, intrakapsüler - KATARAKT AMELİYATLARI","350,00",GÖZ HASTALIKLARI[16]
Ön kamara ve sulkus - KATARAKT AMELİYATLARI,"350,00",GÖZ HASTALIKLARI[16]
Mobil hidroksiapatit implantı - ORBİTA,"350,00",GÖZ HASTALIKLARI[16]
Travmatik paralitik midriyazis için pupillaplasti - İRİS İLE İLGİLİ İŞLEMLER,"350,00",GÖZ HASTALIKLARI[16]
İridodiyaliz düzeltilmesi (6 saat kadranından çok)  - İRİS İLE İLGİLİ İŞLEMLER,"315,00",GÖZ HASTALIKLARI[16]
Kapak tümörü ameliyatı (kirpikli kenarda 10 mm'den büyük kapak tümörü)  - GÖZ KAPAKLARI İLE İLGİLİ İŞLEMLER,"300,00",GÖZ HASTALIKLARI[16]
Radyal keratotomi - KORNEA İLE İLGİLİ İŞLEMLER,"300,00",GÖZ HASTALIKLARI[16]
Astigmatik keratotomi - KORNEA İLE İLGİLİ İŞLEMLER,"300,00",GÖZ HASTALIKLARI[16]
Dissizyon-lens aspirasyonu - KATARAKT AMELİYATLARI,"300,00",GÖZ HASTALIKLARI[16]
"Rektuslara geriletme veya rezeksiyon, her biri - ŞAŞILIK AMELİYATLARI","300,00",GÖZ HASTALIKLARI[16]
Adele transpozisyonu - ŞAŞILIK AMELİYATLARI,"300,00",GÖZ HASTALIKLARI[16]
Ayarlanabilir sütür - ŞAŞILIK AMELİYATLARI,"300,00",GÖZ HASTALIKLARI[16]
Faden ameliyatı - ŞAŞILIK AMELİYATLARI,"300,00",GÖZ HASTALIKLARI[16]
Frontale asma teknikleri - PİTOZİS AMELİYATLARI,"300,00",GÖZ HASTALIKLARI[16]
Levatör prosedürleri - PİTOZİS AMELİYATLARI,"300,00",GÖZ HASTALIKLARI[16]
Ayarlanabilir sütür - PİTOZİS AMELİYATLARI,"300,00",GÖZ HASTALIKLARI[16]
Entübasyon - GÖZYAŞI DRENAJ YOLLARI İLE İLGİLİ İŞLEMLER,"300,00",GÖZ HASTALIKLARI[16]
Kanalikül kesisi reperasyonu - GÖZYAŞI DRENAJ YOLLARI İLE İLGİLİ İŞLEMLER,"300,00",GÖZ HASTALIKLARI[16]
Kese ablasyonu - GÖZYAŞI DRENAJ YOLLARI İLE İLGİLİ İŞLEMLER,"300,00",GÖZ HASTALIKLARI[16]
