District,Rooms,Price,ilanId,ListingURL,Province,Neighborhood,PropertyType,AreaM2,Currency,ListingDate,CollectedAt
Merkez,3+1,29.000 TL,19731637,https://www.emlakjet.com/ilan/pusula-gm-den-kiralik-31-terasli-daire-arya-sitesi-19731637,Adıyaman,,Konut,170,TRY,2026-08-16,2026-08-17T09:32:52+00:00
Merkez,3+1,15.000 TL,19729024,https://www.emlakjet.com/ilan/troy-gym-ardadan-inderede-kiralik-manzarali-firsat-daire-19729024,Adıyaman,,Konut,135,TRY,2026-08-15,2026-08-17T09:32:52+00:00
Merkez,3+1,23.000 TL,19726861,https://www.emlakjet.com/ilan/erc-emlak-konut-kiralik-esyali-19726861,Adıyaman,,Konut,110,TRY,2026-08-14,2026-08-17T09:32:52+00:00
Merkez,1+1,18.000 TL,19723224,https://www.emlakjet.com/ilan/adiyaman-400-yatakli-hastane-civari-kiralik-11-esyali-daire-19723224,Adıyaman,,Konut,55,TRY,2026-08-13,2026-08-17T09:32:52+00:00
Merkez,2+0,12.000 TL,19719056,https://www.emlakjet.com/ilan/yunus-emre-mahallesi-nde-kiralik-20-daire-19719056,Adıyaman,,Konut,75,TRY,2026-08-12,2026-08-17T09:32:52+00:00
Merkez,3+1,12.000 TL,19718719,https://www.emlakjet.com/ilan/inderede-kiralik-daire-19718719,Adıyaman,,Konut,115,TRY,2026-08-12,2026-08-17T09:32:52+00:00
Merkez,2+1,17.500 TL,19711032,https://www.emlakjet.com/ilan/anyapi-gm-eski-dis-hastahanesi-arkasi-21-ara-kat-19711032,Adıyaman,,Konut,120,TRY,2026-08-10,2026-08-17T09:32:52+00:00
Merkez,3+1,20.000 TL,19703694,https://www.emlakjet.com/ilan/yenimahalle-de-site-icerisinde-150-m-genis-31-kiralik-daire-19703694,Adıyaman,,Konut,160,TRY,2026-08-08,2026-08-17T09:32:52+00:00
Merkez,3+1,16.000 TL,19703680,https://www.emlakjet.com/ilan/bulvarda-kiralik-31-19703680,Adıyaman,,Konut,180,TRY,2026-08-08,2026-08-17T09:32:52+00:00
Besni,,200.000 TL,19703677,https://www.emlakjet.com/ilan/resmi-kurumlara-uygun-kiralik-5-katli-komple-bina-19703677,Adıyaman,,Konut,1201,TRY,2026-08-08,2026-08-17T09:32:52+00:00
Besni,1+1,18.000 TL,19703640,https://www.emlakjet.com/ilan/besni-devlet-hastanesi-karsisinda-kiralik-daire-19703640,Adıyaman,,Konut,110,TRY,2026-08-08,2026-08-17T09:32:52+00:00
Besni,2+1,13.000 TL,19702602,https://www.emlakjet.com/ilan/erdemoglu-mah-kiralik-daire-19702602,Adıyaman,,Konut,110,TRY,2026-08-08,2026-08-17T09:32:52+00:00
Merkez,3+1,22.000 TL,19700480,https://www.emlakjet.com/ilan/troy-gym-deniz-den-altinsehir-de-kiralik-31-19700480,Adıyaman,,Konut,140,TRY,2026-08-07,2026-08-17T09:32:52+00:00
Merkez,3+1,21.000 TL,19695720,https://www.emlakjet.com/ilan/anyapigayrimenkul-dan-altinsehir-yesilpark-delux-kiralik-daire-19695720,Adıyaman,,Konut,150,TRY,2026-08-06,2026-08-17T09:32:52+00:00
Merkez,2+1,18.900 TL,19693852,https://www.emlakjet.com/ilan/altinsehir-mahallesi-yesilpark-deluxe-sitesinde-kiralik-daire-19693852,Adıyaman,,Konut,119,TRY,2026-08-06,2026-08-17T09:32:52+00:00
Merkez,1+1,21.000 TL,19690571,https://www.emlakjet.com/ilan/an-yapidan-hastane-karsisi-sifir-esyali-11-daireler-19690571,Adıyaman,,Konut,55,TRY,2026-08-05,2026-08-17T09:32:52+00:00
Merkez,2+1,18.900 TL,19689758,https://www.emlakjet.com/ilan/altinsehir-mahallesi-yesilpark-deluxe-sitesinde-kiralik-daire-19689758,Adıyaman,,Konut,119,TRY,2026-08-05,2026-08-17T09:32:52+00:00
Merkez,2+1,17.000 TL,19685637,https://www.emlakjet.com/ilan/troy-gym-melisa-dan-400-yatakli-civari-kiralik-21-19685637,Adıyaman,,Konut,120,TRY,2026-08-04,2026-08-17T09:32:52+00:00
Merkez,3+1,22.000 TL,19682786,https://www.emlakjet.com/ilan/anyapi-emlaktan-kiralik-indere-toki-esyali-21-daire-19682786,Adıyaman,,Konut,105,TRY,2026-08-04,2026-08-17T09:32:52+00:00
Merkez,1+1,14.000 TL,19682417,https://www.emlakjet.com/ilan/an-yapidan-400-yatakli-karsisi-kiralik-sifir-11-daire-19682417,Adıyaman,,Konut,55,TRY,2026-08-04,2026-08-17T09:32:52+00:00
Merkez,3+1,15.000 TL,19664304,https://www.emlakjet.com/ilan/troy-gym-melisa-dan-inderede-kiralik-ara-kat-daire-19664304,Adıyaman,,Konut,135,TRY,2026-07-30,2026-08-17T09:32:52+00:00
Merkez,5+1,41.000 TL,19661456,https://www.emlakjet.com/ilan/an-yapi-gm-den-kiralik-dubleks-bag-evi-19661456,Adıyaman,,Konut,270,TRY,2026-07-29,2026-08-17T09:32:52+00:00
Merkez,2+1,18.500 TL,19661378,https://www.emlakjet.com/ilan/an-yapi-emlak-tan-yenisanayi-mah-de-kiralik-mustakil-ev-19661378,Adıyaman,,Konut,150,TRY,2026-07-29,2026-08-17T09:32:52+00:00
Merkez,3+1,15.000 TL,19656370,https://www.emlakjet.com/ilan/troy-gym-furkandan-merkezi-konumda-kiralik-2-daire-19656370,Adıyaman,,Konut,150,TRY,2026-07-28,2026-08-17T09:32:52+00:00
Merkez,2+1,17.000 TL,19653762,https://www.emlakjet.com/ilan/yenisanayi-mahallesinde-kiralik-21-daire-19653762,Adıyaman,,Konut,90,TRY,2026-07-27,2026-08-17T09:32:52+00:00
Merkez,5+1,24.500 TL,19653622,https://www.emlakjet.com/ilan/altinsehir-mahallesi-nde-site-icerisi-4-51-kiralik-daire-19653622,Adıyaman,,Konut,200,TRY,2026-07-27,2026-08-17T09:32:52+00:00
Merkez,3+1,26.000 TL,19651819,https://www.emlakjet.com/ilan/sahibinden-kiralik-31-sehri-doga-sitesi-19651819,Adıyaman,,Konut,175,TRY,2026-07-26,2026-08-17T09:32:52+00:00
Merkez,3+1,18.000 TL,19645064,https://www.emlakjet.com/ilan/yeni-mahallede-kiralik-ara-kat-31-daire-19645064,Adıyaman,,Konut,165,TRY,2026-07-24,2026-08-17T09:32:52+00:00
Gölbaşı,3+1,8.000 TL,19641781,https://www.emlakjet.com/ilan/adiyaman-golbasi-yukari-coplu-deprem-konutu-daire-kiralik-pazarlik-icin-numaramdan-ulasin-19641781,Adıyaman,,Konut,130,TRY,2026-07-24,2026-08-17T09:32:52+00:00
Merkez,4+1,25.000 TL,19640820,https://www.emlakjet.com/ilan/an-yapi-gm-den-yeni-mahalle-arya-sitesinde-kiralik-41-daire-19640820,Adıyaman,,Konut,220,TRY,2026-07-23,2026-08-17T09:32:52+00:00
Merkez,3+1,17.000 TL,19639935,https://www.emlakjet.com/ilan/an-yapi-emlaktan-yenimahallede-kiralik-mustakil-ev-19639935,Adıyaman,,Konut,175,TRY,2026-07-23,2026-08-17T09:32:56+00:00
Merkez,2+1,15.000 TL,19631138,https://www.emlakjet.com/ilan/alitasi-mahallesi-nde-kiralik-21-daire-19631138,Adıyaman,,Konut,110,TRY,2026-07-21,2026-08-17T09:32:56+00:00
Merkez,2+0,30.000 TL,19621199,https://www.emlakjet.com/ilan/anyapi-gayrimenkul-den-ataturk-bulvarinda-kiralik-ofis-19621199,Adıyaman,,Konut,85,TRY,2026-07-18,2026-08-17T09:32:56+00:00
Merkez,1+1,20.000 TL,19615567,https://www.emlakjet.com/ilan/pusula-gm-den-400-yatakli-devlet-hastanesi-yakini-kiralik-11-19615567,Adıyaman,,Konut,55,TRY,2026-07-17,2026-08-17T09:32:56+00:00
Merkez,4+1,30.000 TL,19608219,https://www.emlakjet.com/ilan/an-yapi-gm-den-altinsehirde-miray-17-de-kiralik-41-daire-19608219,Adıyaman,,Konut,205,TRY,2026-07-15,2026-08-17T09:32:56+00:00
Merkez,4+1,23.500 TL,19608047,https://www.emlakjet.com/ilan/an-yapi-gm-den-orman-evlerinde-kiralik-41-daire-19608047,Adıyaman,,Konut,230,TRY,2026-07-15,2026-08-17T09:32:56+00:00
Merkez,1+1,18.000 TL,19590869,https://www.emlakjet.com/ilan/anyapi-gm-den-bulvarda-kiralik-11-esyali-terasli-ofis-19590869,Adıyaman,,Konut,55,TRY,2026-07-11,2026-08-17T09:32:56+00:00
Merkez,3+1,25.000 TL,19590404,https://www.emlakjet.com/ilan/an-yapi-gm-den-bulvarda-kiralik-31-daire-ofis-19590404,Adıyaman,,Konut,115,TRY,2026-07-11,2026-08-17T09:32:56+00:00
Merkez,2+1,30.000 TL,19588990,https://www.emlakjet.com/ilan/pusula-gm-den-kiralik-21-ofis-yeni-adliye-yani-bulvar-uzeri-19588990,Adıyaman,,Konut,100,TRY,2026-07-11,2026-08-17T09:32:56+00:00
Merkez,3+1,16.000 TL,19584103,https://www.emlakjet.com/ilan/an-yapi-emlak-tan-fatih-mah-de-kiralik-31-mustakil-daire-19584103,Adıyaman,,Konut,180,TRY,2026-07-10,2026-08-17T09:32:56+00:00
Besni,2+1,18.000 TL,19581577,https://www.emlakjet.com/ilan/erdemoglu-mahallesi-esyali-ogretmene-kiralik-daire-19581577,Adıyaman,,Konut,80,TRY,2026-07-09,2026-08-17T09:32:56+00:00
Merkez,3+1,16.000 TL,19580776,https://www.emlakjet.com/ilan/troy-gym-arda-dan-bahcecik-mah-kiralik-daire-19580776,Adıyaman,,Konut,160,TRY,2026-07-09,2026-08-17T09:32:56+00:00
Merkez,2+1,18.500 TL,19573238,https://www.emlakjet.com/ilan/an-yapi-gayrimenkul-den-altinsehir-de-kiralik-daire-19573238,Adıyaman,,Konut,110,TRY,2026-07-07,2026-08-17T09:32:56+00:00
Merkez,3+1,20.000 TL,19570698,https://www.emlakjet.com/ilan/troy-gym-mehmet-ten-altinsehir-de-31-daire-19570698,Adıyaman,,Konut,155,TRY,2026-07-07,2026-08-17T09:32:56+00:00
Merkez,4+1,16.000 TL,19561658,https://www.emlakjet.com/ilan/arda-dan-41-yeni-mahallede-super-konum-daire-19561658,Adıyaman,,Konut,220,TRY,2026-07-04,2026-08-17T09:32:56+00:00
Merkez,3+1,17.000 TL,19556672,https://www.emlakjet.com/ilan/troy-gym-den-bahcelievlerde-kiralik-31-19556672,Adıyaman,,Konut,140,TRY,2026-07-03,2026-08-17T09:32:56+00:00
Merkez,3+1,15.000 TL,19553801,https://www.emlakjet.com/ilan/pusula-gm-den-kiralik-indere-zey-suryapi-manzarali-daire-19553801,Adıyaman,,Konut,110,TRY,2026-07-03,2026-08-17T09:32:56+00:00
Merkez,3+1,16.000 TL,19548688,https://www.emlakjet.com/ilan/sahin-den-siteler-mah-31-kiralik-daire-19548688,Adıyaman,,Konut,155,TRY,2026-07-01,2026-08-17T09:32:56+00:00
Merkez,1+1,22.000 TL,19545345,https://www.emlakjet.com/ilan/adiyaman-altinsehir-de-full-esyali-kiralik-11-sifir-daire-19545345,Adıyaman,,Konut,55,TRY,2026-07-01,2026-08-17T09:32:56+00:00
Merkez,1+1,14.000 TL,19540929,https://www.emlakjet.com/ilan/an-yapi-gm-den-kiralik-11-esyali-esyasiz-daireler-19540929,Adıyaman,,Konut,55,TRY,2026-06-30,2026-08-17T09:32:56+00:00
Merkez,2+1,17.000 TL,19531050,https://www.emlakjet.com/ilan/troy-gayrimenkulden-kiralik-21-saat-kulesi-arkasi-19531050,Adıyaman,,Konut,150,TRY,2026-06-27,2026-08-17T09:32:56+00:00
Merkez,4+1,20.000 TL,19526165,https://www.emlakjet.com/ilan/cumhuriyet-mahallesi-nde-kiralik-41-daire-19526165,Adıyaman,,Konut,220,TRY,2026-06-26,2026-08-17T09:32:56+00:00
Merkez,1+1,20.000 TL,19524564,https://www.emlakjet.com/ilan/an-yapi-gm-den-altinsehirde-kiralik-11-sifir-esyali-daire-19524564,Adıyaman,,Konut,75,TRY,2026-06-25,2026-08-17T09:32:56+00:00
Merkez,3+1,20.000 TL,19520668,https://www.emlakjet.com/ilan/troy-gayrimenkulden-31-kiralik-luks-daire-19520668,Adıyaman,,Konut,140,TRY,2026-06-24,2026-08-17T09:32:56+00:00
Merkez,3+1,18.000 TL,19519449,https://www.emlakjet.com/ilan/alitasi-mahallesinde-kiralik-41-daire-19519449,Adıyaman,,Konut,200,TRY,2026-06-24,2026-08-17T09:32:56+00:00
Merkez,3+1,18.500 TL,19502609,https://www.emlakjet.com/ilan/adiyaman-mimar-sinan-mahallesinde-kiralik-31-ferah-daire-19502609,Adıyaman,,Konut,135,TRY,2026-06-20,2026-08-17T09:32:56+00:00
Merkez,2+1,16.500 TL,19497028,https://www.emlakjet.com/ilan/troy-gayrimenkul-mehmet-den-altinsehir-yesilpark-da-kiralik-21-19497028,Adıyaman,,Konut,125,TRY,2026-06-19,2026-08-17T09:32:56+00:00
Merkez,1+1,16.000 TL,19494243,https://www.emlakjet.com/ilan/furkan-dan-bahcelievler-de-kiralik-esyali-11-19494243,Adıyaman,,Konut,90,TRY,2026-06-18,2026-08-17T09:32:56+00:00
Merkez,3+1,20.000 TL,19494230,https://www.emlakjet.com/ilan/troy-gayrimenkul-furkan-z-den-yenimahalle-de-kiralik-31-19494230,Adıyaman,,Konut,176,TRY,2026-06-18,2026-08-17T09:32:56+00:00
Merkez,2+1,16.000 TL,19442157,https://www.emlakjet.com/ilan/saat-kulesinde-super-kiralik-daire-19442157,Adıyaman,,Konut,110,TRY,2026-06-05,2026-08-17T09:32:56+00:00
Merkez,2+1,20.000 TL,19731408,https://www.emlakjet.com/ilan/arstu-gm-halise-den-karapinar-cad-kiralik-21-19731408,Adıyaman,,Konut,100,TRY,2026-08-16,2026-08-17T09:33:01+00:00
Merkez,4+1,23.000 TL,19731404,https://www.emlakjet.com/ilan/arstu-gm-haliseden-yeni-mah-kiralik-41-mustakil-daire-19731404,Adıyaman,,Konut,200,TRY,2026-08-16,2026-08-17T09:33:01+00:00
Merkez,2+1,20.000 TL,19731397,https://www.emlakjet.com/ilan/arstu-gm-haliseden-eski-has-19731397,Adıyaman,,Konut,110,TRY,2026-08-16,2026-08-17T09:33:01+00:00
Merkez,1+1,16.000 TL,19715938,https://www.emlakjet.com/ilan/arstu-gm-altinsehirde-kiralik-sifir-11-esyali-daire-19715938,Adıyaman,,Konut,55,TRY,2026-08-11,2026-08-17T09:33:01+00:00
Merkez,3+1,24.000 TL,19701391,https://www.emlakjet.com/ilan/arstu-gayrimenkul-furkan-dan-altinsehirde-31-kiralik-daire-19701391,Adıyaman,,Konut,145,TRY,2026-08-07,2026-08-17T09:33:01+00:00
Merkez,1+1,15.000 TL,19701382,https://www.emlakjet.com/ilan/arstu-gayrimenkul-furkan-dan-hastane-civari-11-daire-19701382,Adıyaman,,Konut,60,TRY,2026-08-07,2026-08-17T09:33:01+00:00
Merkez,3+1,17.000 TL,19701381,https://www.emlakjet.com/ilan/arstu-gayrimenkul-furkan-dan-sumerevlerde-31-kiralik-19701381,Adıyaman,,Konut,145,TRY,2026-08-07,2026-08-17T09:33:01+00:00
Merkez,1+1,17.000 TL,19701380,https://www.emlakjet.com/ilan/arstu-gm-den-altinsehir-in-kalbinde-kiralik-11-daire-19701380,Adıyaman,,Konut,60,TRY,2026-08-07,2026-08-17T09:33:01+00:00
Merkez,1+1,16.000 TL,19690258,https://www.emlakjet.com/ilan/arstu-gayrimenkul-furkan-dan-400-yatakli-hastane-civari-19690258,Adıyaman,,Konut,60,TRY,2026-08-05,2026-08-17T09:33:01+00:00
Merkez,4+1,20.000 TL,19690255,https://www.emlakjet.com/ilan/arstu-gm-veyselden-aryon-avm-arkasi-kiralik-41-daire-19690255,Adıyaman,,Konut,200,TRY,2026-08-05,2026-08-17T09:33:01+00:00
Merkez,4+1,20.000 TL,19677395,https://www.emlakjet.com/ilan/arstu-gm-haliseden-alitasinda-kiralik-41-genis-daire-19677395,Adıyaman,,Konut,220,TRY,2026-08-02,2026-08-17T09:33:01+00:00
Merkez,3+1,30.000 TL,19677392,https://www.emlakjet.com/ilan/arstu-gm-zahide-den-kiralik-31-luks-daire-19677392,Adıyaman,,Konut,165,TRY,2026-08-02,2026-08-17T09:33:01+00:00
Merkez,5+1,35.000 TL,19647321,https://www.emlakjet.com/ilan/arstu-gm-haliseden-altinsehirde-kiralik-sifir-41-19647321,Adıyaman,,Konut,200,TRY,2026-07-25,2026-08-17T09:33:01+00:00
Merkez,2+1,12.000 TL,19638394,https://www.emlakjet.com/ilan/arstu-gm-haliseden-musalla-tokide-kiralik-21-daire-19638394,Adıyaman,,Konut,100,TRY,2026-07-23,2026-08-17T09:33:01+00:00
