product-name;product-price;product-id
Armut Santa Maria - 500 Gr.;59.95;4141
Avokado Adet;109.9;7961
Bamya - 500 Gr.;132.45;11700
Barbunya - 500 Gr.;69.95;4674
Biber Dolmalık - 500 Gr.;37.45;5029
Biber Kırmızı - 500 Gr.;34.95;8087
Biber Köy - 500 Gr.;64.95;7769
Biber Sivri - 500 Gr.;84.95;9774
Biber Tatlı - 500 Gr.;51.95;4120
Böğürtlen Paket;129.9;7493
Börülce - 500 Gr.;89.95;7970
Dereotu Demet;11.9;1498
Domates - 500 Gr.;22.45;9778
Domates Cherry - 500 Gr.;39.95;8735
Domates Pembe - 500 Gr.;29.95;619
Domates Salkım - 500 Gr.;57.45;4455
Elma Gala - 500 Gr.;39.95;1225
Elma Golden - 500 Gr.;42.95;4138
Fasulye Ayşe Kadın - 500 Gr.;67.45;9703
Fasulye Çalı - 500 Gr.;79.95;4355
Havuç - 500 Gr.;10.95;9740
İncir Siyah - 500 Gr.;72.95;7528
Kabak - 500 Gr.;19.95;9759
Kabak Girit - 500 Gr.;67.45;766
Kabak Top - 500 Gr.;33.95;767
Karpuz - 10 Kg.;139.0;6764
Kavun Kırkağaç - 5 Kg.;149.5;8322
Limon - 500 Gr.;54.95;7494
Manav Çekirdeksiz Karpuz - 5 Kg.;149.5;13444
Manav Verita Çarkıfelek 3'lü Paket;184.9;12024
Manav Verita Doğranmış Hindistan Cevizi 200 Gr;189.9;12051
Manav Verita Karambola Tekli Paket;289.9;12026
Manav Verita Nar Taneleri 200 Gr Paket;384.9;6690
Muz İthal - 500 Gr.;77.45;4139
Muz Yerli - 500 Gr.;61.45;10488
Nektar Beyaz - 500 Gr.;124.95;7550
Nektar Kırmızı - 500 Gr.;37.45;8067
Portakal - 500 Gr.;36.45;4442
Şeftali - 500 Gr.;39.95;6767
Üzüm Sultani - 500 Gr.;29.95;5058
Verita Yaban Mersini 125 Gr;189.9;4617
Lahana Kırmızı - 1,5 Kg.;62.85;9736
Manav Erüst Kekik 25 Gr;149.9;12003
Manav Erüst Mini Havuç 250 Gr;234.9;12002
Manav Verita Zencefil 250 Gr;114.9;12403
Manav Verita Zerdeçal Paket 100 Gr;69.9;12028
Manav Zerdeçal 100 Gr (Paket);74.9;5748
Mısır Adet;24.9;4049
Mantar Izgara Paket 500 Gr;119.9;904
Mantar Paket 400 Gr;92.9;7962
Verita Altın Çilek 100 GR;99.9;12022
Verita Lime 3' lü Paket;134.9;12019
Patlıcan - 500 Gr.;37.95;9710
Patlıcan Topan - 500 Gr.;37.95;1851
Salatalık Silör - 500 Gr.;14.45;8583
Marul Adet;32.9;9749
Marul Iceberg Adet;52.9;9775
Marul Kıvırcık Adet;32.9;7011
Maydanoz Demet;11.9;1499
Nane Demet;11.9;1500
Roka Demet;11.9;1501
Semizotu Demet;19.9;4221
Patates - 500 Gr.;24.95;4150
Patates Şeker ( Kırmızı ) - 500 Gr.;87.45;6252
Sarımsak Paket 250 Gr;67.9;8610
Soğan Beyaz - 500 Gr.;49.95;1570
Soğan Kuru - 500 Gr.;19.95;4155
Soğan Taze - 500 Gr.;62.45;9724
Soğan Yahnilik - 500 Gr.;94.95;4459
Aysukar Karakılçıklı Çavdar Ekmeği 600 Gr;120.0;13047
Aytad Ayçekirdekli Galeta 150 Gr.;79.9;6124
Aytad Beze 80 Gr.;79.9;6125
Aytad Galeta  Ay Çekirdekli Lokma 120 GR;59.9;13125
Aytad Galeta Sade 120 Gr;59.9;13232
