product-name;product-price;product-id
Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır);429.9;9367
Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg.;329.9;2907
Akdeniz Toros Piliç But (Donuk Olarak Satılır) - 1 Kg.;269.9;7394
Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg.;559.9;9359
Akdeniz Toros Piliç Kangal Sucuk 250 Gr;199.9;11069
Akdeniz Toros Piliç Nuggut 500 Gr;289.9;11064
Akdeniz Toros Tavuk Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır);199.9;9368
Apikoğlu Dana Antrikot Pastırma 70 Gr;319.9;12620
Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR;539.0;12301
Apikoğlu Dana Kangal Sucuk - 500 Gr.;1199.5;12298
Apikoğlu Dana Kangal Sucuk 280 Gr;749.9;12297
Apikoğlu Dana Parmak Sucuk - 500 Gr.;1199.5;12299
Apikoğlu Kurutulmuş Dana Füme Et 100 GR;579.0;12303
Bolca Hindi Bonfile - 1 Kg.;439.9;1968
Bolca Tabaklı Alt But Kemiksiz Hindi - 1 Kg.;459.9;1969
Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr;399.9;6603
Çapanoğlu Dana Füme Et 60 Gr;169.9;12890
Çapanoğlu Dana Kurutulmuş Füme Et 60 Gr;299.9;6519
Çapanoğlu Fümechef Dana Füme Antrikot 100 Gr;499.9;6522
Çapanoğlu Fümechef Karabiberli Dana Rosatbeef 100 Gr;499.9;12406
Çemeni Sıyrılmış Dana Pastı - 500 Gr.;2099.95;6523
Erpiliç Baget - 1 Kg.;129.9;673
Erpiliç Bonfile - 1 Kg.;219.9;678
Erpiliç But - 1 Kg.;139.9;672
Erpiliç But Izgara - 1 Kg.;399.9;674
Erpiliç Pirzola - 1 Kg.;279.9;675
Erpiliç Üst Kanat - 1 Kg.;259.9;680
Gedik Izgara - kanat Pi - 1 Kg.;399.9;3559
Gedik Pirzola Pi - 1 Kg.;239.9;1433
Lezita Baget - 1 Kg.;119.9;7833
Lezita But - 1 Kg.;129.9;7829
Lezita But Izgara Derisiz - 1 Kg.;319.9;7865
Lezita Fileto - 1 Kg.;219.9;7835
Lezita Sosis Piliç Kokteyl 500 GR;79.9;13153
Lezita Üst But Kanat - 1 Kg.;199.9;1202
Lezita Yaprak Kanat - 1 Kg.;659.9;1201
Yayla Köri Soslu Tavuk 200 Gr;120.95;12728
Cumhuriyet Acılı Parmak Sucuk - 500 Gr.;899.95;4632
Cumhuriyet Kangal Fermente Sucuk - 500 Gr.;899.95;719
Cumhuriyet Küvet Sucuk 300 Gr;659.9;9134
Fümechef Cotto Dana;499.9;6521
Fümechef Sade Roastbeef Dana;499.9;6520
Gürmar Dana Kangal Sucuk - 500 Gr.;899.95;1575
Lezita Piliç Baton Sucuk 450 Gr;119.9;7926
Maret Afiyetle Dana Kokteyl Sosis 200 gr;249.9;10931
Maret Afiyetle Dana Sucuk 200 Gr;265.0;9176
Maret Boncuk Sucuk 220 Gr;299.9;9535
Pınar Aç Bitir Hindi Füme 60 Gr;39.37;1653
Pınar Gurme Hindi Füme 110Gr But Etli;129.0;6695
Pınar Gurme Hindi Füme 110Gr Karabiberli;105.0;6697
Pınar Gurme Hindi Füme 150Gr;149.0;6696
Namet 7/24 Dana Jambon 50 Gr;79.95;9293
Namet Dilimli Hindi Jambon 130 Gr;119.9;111
Pınar İllaki Misket Köfte 390 Gr;559.95;3590
Maret Pratik Hindi Salam 8 Dilim 60 gr;29.95;8104
Namet 7/24 Dana Macar Salam 50 Gr;64.9;810
Namet 7/24 Hindi Salam 60 Gr;29.95;603
Namet Fıstıklı Hindi Salam 50 GR;32.9;13237
Pınar Aç Bitir Büyük Dilim Hindi Salam 60 Gr;35.17;10033
