name,price,url,id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Tavla 78x45 cm Natural,29450.0,https://www.chakra.com.tr/tavla-78x45-cm-natural-8699137984653/,8699137984653.0,05,0.0,0.0,,
Graphic Koltuk Natural,14450.0,https://www.chakra.com.tr/graphic-koltuk-natural-8682313282391/,8682313282391.0,05,0.0,0.0,,
Stilo Sandalye Çelik Mavi Mavi-Bej,9950.0,https://www.chakra.com.tr/stilo-sandalye-celik-mavi-mavi-bej-8682313383807/,8682313383807.0,05,0.0,0.0,,
Pisa Berjer Natural/Ekru,32450.0,https://www.chakra.com.tr/pisa-berjer-naturalekru-8682313195363/,8682313195363.0,05,0.0,0.0,,
Candu Orta Sehpa Natural,17450.0,https://www.chakra.com.tr/candu-orta-sehpa-natural-8682313382374/,8682313382374.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Poloko Sarkıt Naturel-Prinç,7950.0,https://www.chakra.com.tr/poloko-sarkit-naturel-princ-8682313370364/,8682313370364.0,05,0.0,0.0,,
Satya Yuvarlak Balkon Masası Natural,10450.0,https://www.chakra.com.tr/satya-yuvarlak-balkon-masasi-natural-8682313382176/,8682313382176.0,05,0.0,0.0,,
Palmodo Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palmodo-masa-lambasi-govde-xl-natural-8682313394704/,8682313394704.0,05,0.0,0.0,,
