District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Bünyan / Gölova (Palas),3+1,15000.0,04,0.0,0.0,0.0,
Bünyan / Çiftlik,3+1,12000.0,04,0.0,-9.433962264150944,,
Develi,1+1,16000.0,04,0.0,-5.88235294117647,,
Develi,2+1,14250.0,04,0.0,5.555555555555555,3.6363636363636362,21.27659574468085
Develi,3+1,13375.0,04,0.0,7.000000000000001,3.8834951456310676,4.901960784313726
Hacılar,2.5+1,350000.0,04,0.0,0.0,,
Hacılar,3+1,27000.0,04,0.0,,-30.76923076923077,68.75
Kocasinan / Argıncık,2+1,8000.0,04,0.0,0.0,0.0,-3.0303030303030303
Kocasinan / Argıncık,3+1,16000.0,04,8.47457627118644,6.666666666666667,20.754716981132077,8.47457627118644
Kocasinan / Argıncık,4+1,31000.0,04,0.0,-4.247104247104247,-5.343511450381679,-1.1952191235059761
Kocasinan / Argıncık,4.5+1,42000.0,04,0.0,-2.3255813953488373,-2.3255813953488373,
Kocasinan / Erkilet,2+1,14500.0,04,0.0,-1.694915254237288,3.571428571428571,7.4074074074074066
Kocasinan / Erkilet,2.5+1,17500.0,04,0.0,0.0,0.0,0.0
Kocasinan / Erkilet,3+0,19000.0,04,0.0,0.0,,
Kocasinan / Erkilet,3+1,17750.0,04,-5.333333333333334,-6.578947368421052,-7.792207792207792,-2.73972602739726
Kocasinan / Erkilet,4+0,23000.0,04,0.0,0.0,,
Kocasinan / Erkilet,4+1,18000.0,04,0.0,-5.263157894736842,-10.0,-10.0
Kocasinan / Erkilet,5+1,64000.0,04,0.0,0.0,0.0,-0.7751937984496124
Kocasinan / Fevziçakmak,1+1,21500.0,04,0.0,1.7751479289940828,2.9940119760479043,1.7751479289940828
Kocasinan / Fevziçakmak,2+1,13000.0,04,4.0,13.043478260869565,1.9607843137254901,8.333333333333332
Kocasinan / Fevziçakmak,2.5+1,39000.0,04,,,,100.0
Kocasinan / Fevziçakmak,3+1,16000.0,04,0.0,0.0,8.47457627118644,12.280701754385964
Kocasinan / Fevziçakmak,4+1,26750.0,04,0.0,0.9433962264150944,0.9433962264150944,-0.9259259259259258
Kocasinan / Fevziçakmak,4.5+1,26000.0,04,0.0,0.0,,
Kocasinan / Güneşli,Stüdyo (1+0),9000.0,04,,,,
Kocasinan / Merkez,1+1,17032.5,04,0.0,1.507792246491254,6.453125,0.1911764705882353
Kocasinan / Merkez,1.5+1,20000.0,04,0.0,0.0,,
Kocasinan / Merkez,2+1,16750.0,04,2.2900763358778624,1.5151515151515151,2.2900763358778624,-7.586206896551724
Kocasinan / Merkez,2.5+1,20000.0,04,0.0,33.33333333333333,-16.666666666666664,23.076923076923077
Kocasinan / Merkez,3+0,20000.0,04,0.0,8.108108108108109,17.647058823529413,25.0
Kocasinan / Merkez,3+1,19375.0,04,5.442176870748299,4.72972972972973,-11.931818181818182,-3.125
Kocasinan / Merkez,3.5+1,25500.0,04,0.0,-2.857142857142857,2.0,-35.03184713375796
Kocasinan / Merkez,4+0,15500.0,04,0.0,0.0,0.0,0.0
Kocasinan / Merkez,4+1,35250.0,04,0.0,8.461538461538462,6.8181818181818175,8.461538461538462
Kocasinan / Merkez,4.5+1,42500.0,04,0.0,,,
Kocasinan / Sanayi,1+1,21995.0,04,0.0,2.3261223540358222,0.0,1.1496895838123706
Kocasinan / Sanayi,2+1,17000.0,04,0.0,13.333333333333334,-9.333333333333334,-8.108108108108109
Kocasinan / Sanayi,2.5+1,26000.0,04,0.0,30.0,30.0,
Kocasinan / Sanayi,3+1,13750.0,04,3.7735849056603774,10.0,10.0,3.7735849056603774
Kocasinan / Sanayi,4+1,20500.0,04,-2.380952380952381,0.0,-19.607843137254903,6.493506493506493
Kocasinan / Sanayi,4+2,19500.0,04,0.0,0.0,,
Kocasinan / Sanayi,5+1,75000.0,04,0.0,0.0,3.4482758620689653,3.4482758620689653
Kocasinan / Sanayi,Stüdyo (1+0),19995.0,04,0.0,0.0,0.0,
Kocasinan / Yenimahalle,1+1,1500.0,04,0.0,,-75.0,
Kocasinan / Yenimahalle,2+1,11000.0,04,0.0,-4.3478260869565215,12.82051282051282,10.0
Kocasinan / Yenimahalle,2.5+1,23500.0,04,0.0,0.0,4.444444444444445,100.0
Kocasinan / Yenimahalle,3+1,16999.0,04,-0.002941262978322892,-0.002941262978322892,3.024242424242424,13.326666666666668
Kocasinan / Yenimahalle,4+1,23500.0,04,0.0,0.0,-12.962962962962962,-16.071428571428573
Kocasinan / Yenimahalle,5+1,22000.0,04,0.0,0.0,0.0,0.0
Kocasinan / Yenişehir,2+1,12750.0,04,6.25,2.0,6.25,6.25
Kocasinan / Yenişehir,2.5+1,19000.0,04,5.555555555555555,18.75,13.432835820895523,5.555555555555555
Kocasinan / Yenişehir,3+0,11000.0,04,0.0,0.0,0.0,
Kocasinan / Yenişehir,3+1,16750.0,04,0.0,0.0,3.076923076923077,3.076923076923077
Kocasinan / Yenişehir,4+1,30500.0,04,0.0,-4.6875,-10.294117647058822,15.09433962264151
Kocasinan / Yenişehir,8+1,35000.0,04,0.0,,,
Kocasinan / İldem/Beyazşehir,2+1,10250.0,04,2.5,0.0,-8.88888888888889,-2.380952380952381
Kocasinan / İldem/Beyazşehir,2.5+1,17000.0,04,0.0,1.4925373134328357,-2.857142857142857,-1.4492753623188406
Kocasinan / İldem/Beyazşehir,3+0,17500.0,04,0.0,0.0,1.4492753623188406,
Kocasinan / İldem/Beyazşehir,3+1,13825.0,04,0.0,0.5454545454545455,2.4074074074074074,4.339622641509433
Kocasinan / İldem/Beyazşehir,3.5+1,12000.0,04,0.0,0.0,,0.0
Kocasinan / İldem/Beyazşehir,4+1,28000.0,04,0.0,7.6923076923076925,,
Melikgazi / Becen,1+1,29000.0,04,0.0,,45.0,45.0
Melikgazi / Becen,10 Üzeri,155000.0,04,0.0,0.0,0.0,0.0
Melikgazi / Becen,2+1,11750.0,04,0.0,-4.8582995951417,-2.0425177157148813,2.8446389496717726
Melikgazi / Becen,3+1,15250.0,04,1.6666666666666667,0.0,1.6666666666666667,-1.6129032258064515
Melikgazi / Becen,3.5+1,45000.0,04,0.0,-22.413793103448278,-16.666666666666664,-16.666666666666664
Melikgazi / Becen,4+0,37000.0,04,0.0,0.0,0.0,
Melikgazi / Becen,4+1,60000.0,04,6.666666666666667,26.31578947368421,62.16216216216216,62.16216216216216
Melikgazi / Becen,4.5+1,105000.0,04,-4.545454545454546,-4.545454545454546,-12.5,0.0
Melikgazi / Becen,5+1,69000.0,04,0.0,-10.38961038961039,-5.47945205479452,-6.122448979591836
Melikgazi / Becen,5+2,85000.0,04,0.0,0.0,0.0,0.0
Melikgazi / Becen,6+2,65000.0,04,-21.21212121212121,-21.21212121212121,-35.0,-25.71428571428571
Melikgazi / Becen,7+1,100000.0,04,0.0,,-33.33333333333333,-33.33333333333333
Melikgazi / Becen,8+1,130000.0,04,0.0,1.9607843137254901,0.0,0.0
Melikgazi / Becen,8+3,120000.0,04,0.0,,,26.31578947368421
Melikgazi / Gesi,2+1,14750.0,04,0.0,7.2727272727272725,5.357142857142857,1.7241379310344827
Melikgazi / Gesi,2.5+1,14000.0,04,0.0,-6.666666666666667,-6.666666666666667,-6.666666666666667
Melikgazi / Gesi,3+0,10000.0,04,0.0,,,
