District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Develi,2+1,13500.0,04,0.0,,,-1.8181818181818181
Develi,3+1,15000.0,04,0.0,9.090909090909092,,14.285714285714285
Hacılar,2.5+1,350000.0,04,0.0,,,
Hacılar,3+1,39000.0,04,0.0,0.0,,100.0
Kocasinan / Argıncık,2+1,8000.0,04,0.0,0.0,,-23.809523809523807
Kocasinan / Argıncık,3+1,13250.0,04,0.0,-28.37837837837838,,-5.357142857142857
Kocasinan / Argıncık,4+1,32000.0,04,0.0,-1.1583011583011582,,1.5873015873015872
Kocasinan / Argıncık,4.5+1,43000.0,04,0.0,,,
Kocasinan / Erkilet,2+1,14000.0,04,0.0,-22.22222222222222,,1.8181818181818181
Kocasinan / Erkilet,2.5+1,15750.0,04,0.0,-31.521739130434785,,-2.3255813953488373
Kocasinan / Erkilet,3+0,19000.0,04,,,,26.708902967655884
Kocasinan / Erkilet,3+1,20000.0,04,1.2658227848101267,-3.614457831325301,,17.647058823529413
Kocasinan / Erkilet,3.5+1,22000.0,04,0.0,0.0,,18.91891891891892
Kocasinan / Erkilet,4+1,20000.0,04,0.0,-0.4975124378109453,,0.0
Kocasinan / Erkilet,5+1,64000.0,04,0.0,,,-0.7751937984496124
Kocasinan / Erkilet,6+1,57500.0,04,-2.127659574468085,,,
Kocasinan / Fevziçakmak,1+1,21250.0,04,0.591715976331361,1.7964071856287425,,0.591715976331361
Kocasinan / Fevziçakmak,2+1,12000.0,04,0.0,-4.0,,9.090909090909092
Kocasinan / Fevziçakmak,3+1,14250.0,04,-1.7241379310344827,-8.064516129032258,,7.547169811320755
Kocasinan / Fevziçakmak,4+1,26500.0,04,0.0,-1.8518518518518516,,-5.357142857142857
Kocasinan / Fevziçakmak,4.5+1,26000.0,04,0.0,,,
Kocasinan / Fevziçakmak,5+1,47500.0,04,0.0,,,0.0
Kocasinan / Merkez,1+1,15500.0,04,0.0,0.0,,-8.256880733944955
Kocasinan / Merkez,1.5+1,20000.0,04,0.0,,,
Kocasinan / Merkez,2+1,15750.0,04,0.0,0.0,,0.0
Kocasinan / Merkez,2.5+1,24000.0,04,0.0,-12.727272727272727,,50.0
Kocasinan / Merkez,3+0,18500.0,04,0.0,12.121212121212121,,15.625
Kocasinan / Merkez,3+1,18625.0,04,-1.9736842105263157,-22.395833333333336,,-2.6143790849673203
Kocasinan / Merkez,3.5+1,25000.0,04,0.0,,,-18.69918699186992
Kocasinan / Merkez,4+0,15000.0,04,0.0,11.11111111111111,,-6.25
Kocasinan / Merkez,4+1,32000.0,04,0.0,-1.5384615384615385,,0.0
