District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Bünyan / Gölova (Palas),3+1,15000.0,04,0.0,,,
Develi,2+1,13000.0,04,-3.7037037037037033,6.122448979591836,,
Develi,3+1,13000.0,04,0.0,1.9607843137254901,,
Hacılar,3+1,27500.0,04,0.0,89.65517241379311,,
Kocasinan / Argıncık,2+1,7375.0,04,0.0,0.0,,
Kocasinan / Argıncık,3+0,6000.0,04,0.0,0.0,,
Kocasinan / Argıncık,3+1,13500.0,04,0.0,-3.571428571428571,,
Kocasinan / Argıncık,4+1,31375.0,04,0.0,,,
Kocasinan / Argıncık,8+2,240000.0,04,,,,
Kocasinan / Erkilet,2+1,13375.0,04,0.9433962264150944,-2.727272727272727,,
Kocasinan / Erkilet,2.5+1,17500.0,04,0.0,0.0,,
Kocasinan / Erkilet,3+1,18000.0,04,0.0,5.88235294117647,,
Kocasinan / Erkilet,3.5+1,22000.0,04,0.0,,,
Kocasinan / Erkilet,4+0,16000.0,04,0.0,,,
Kocasinan / Erkilet,4+1,20000.0,04,0.0,25.0,,
Kocasinan / Erkilet,5+1,64500.0,04,0.0,,,
Kocasinan / Fevziçakmak,1+1,20625.0,04,0.0,47.32142857142857,,
Kocasinan / Fevziçakmak,2+1,9500.0,04,-22.448979591836736,-11.627906976744185,,
Kocasinan / Fevziçakmak,3+1,15400.0,04,-0.6451612903225806,20.784313725490197,,
Kocasinan / Fevziçakmak,4+1,29000.0,04,0.0,,,
Kocasinan / Fevziçakmak,5+1,47500.0,04,0.0,,,
Kocasinan / Merkez,1+1,16998.0,04,0.9982174688057042,3.018181818181818,,
Kocasinan / Merkez,2+1,18683.0,04,0.0,16.768749999999997,,
Kocasinan / Merkez,2.5+1,16000.0,04,0.0,12.280701754385964,,
Kocasinan / Merkez,3+1,21500.0,04,0.0,21.468926553672315,,
Kocasinan / Merkez,3.5+1,38500.0,04,0.0,,,
Kocasinan / Merkez,4+0,15250.0,04,0.0,5.172413793103448,,
Kocasinan / Merkez,4+1,32000.0,04,-3.0303030303030303,,,
Kocasinan / Sanayi,1+1,21745.0,04,0.0,,,
Kocasinan / Sanayi,2+1,18000.0,04,-1.36986301369863,1.4084507042253522,,
Kocasinan / Sanayi,2.5+1,20000.0,04,0.0,,,
Kocasinan / Sanayi,3+1,12000.0,04,4.8034934497816595,-4.0,,
Kocasinan / Sanayi,4+1,28000.0,04,0.0,64.70588235294117,,
Kocasinan / Sanayi,5+1,72500.0,04,0.0,,,
Kocasinan / Sanayi,Stüdyo (1+0),19995.0,04,0.0,,,
Kocasinan / Yenimahalle,2+1,10500.0,04,0.0,10.526315789473683,,
Kocasinan / Yenimahalle,2.5+1,18500.0,04,0.0,68.18181818181817,,
Kocasinan / Yenimahalle,3+0,23500.0,04,0.0,,,
Kocasinan / Yenimahalle,3+1,16500.0,04,0.0,34.69387755102041,,
Kocasinan / Yenimahalle,3.5+1,27500.0,04,0.0,,,
Kocasinan / Yenimahalle,4+1,26000.0,04,1.9647829326640263,,,
Kocasinan / Yenimahalle,5+1,22000.0,04,0.0,,,
Kocasinan / Yenişehir,1+1,8500.0,04,,,,
Kocasinan / Yenişehir,2+1,11750.0,04,1.0752688172043012,-2.083333333333333,,
Kocasinan / Yenişehir,2.5+1,18000.0,04,0.0,,,
Kocasinan / Yenişehir,3+1,16500.0,04,1.5384615384615385,11.864406779661017,,
Kocasinan / Yenişehir,4+1,29500.0,04,0.0,100.0,,
Kocasinan / Yenişehir,6+1,10000.0,04,0.0,,,
Kocasinan / İldem/Beyazşehir,2+1,11250.0,04,0.0,7.142857142857142,,
Kocasinan / İldem/Beyazşehir,2.5+1,17500.0,04,0.0,4.477611940298507,,
Kocasinan / İldem/Beyazşehir,3+1,13500.0,04,-3.225806451612903,1.8867924528301887,,
