District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Bünyan / Çiftlik,3+1,12000.0,04,0.0,0.0,,
Develi,1+1,16000.0,04,0.0,-5.88235294117647,,
Develi,2+1,14250.0,04,0.0,5.555555555555555,0.0,9.615384615384617
Develi,3+1,14000.0,04,3.7037037037037033,12.0,5.660377358490567,7.6923076923076925
Hacılar,3+1,15000.0,04,-44.44444444444444,-61.53846153846154,-54.54545454545454,-6.25
Kocasinan / Argıncık,2+1,10000.0,04,25.0,25.0,25.0,35.59322033898305
Kocasinan / Argıncık,3+1,14250.0,04,-5.0,0.0,7.547169811320755,-3.389830508474576
Kocasinan / Erkilet,2+1,14000.0,04,-3.4482758620689653,-5.084745762711865,0.0,1.8181818181818181
Kocasinan / Erkilet,2.5+1,17500.0,04,0.0,0.0,11.11111111111111,0.0
Kocasinan / Erkilet,3+0,19000.0,04,0.0,0.0,,
Kocasinan / Erkilet,3+1,16250.0,04,-11.564625850340136,-13.90728476821192,-16.666666666666664,-10.95890410958904
Kocasinan / Erkilet,4+1,17000.0,04,-5.555555555555555,-5.555555555555555,-15.211970074812967,-15.0
Kocasinan / Fevziçakmak,1+1,8500.0,04,-60.46511627906976,-59.76331360946746,-59.523809523809526,-61.31087847064178
Kocasinan / Fevziçakmak,2+0,9000.0,04,,,,
Kocasinan / Fevziçakmak,2+1,12000.0,04,-4.0,4.3478260869565215,9.090909090909092,11.627906976744185
Kocasinan / Fevziçakmak,2.5+1,10000.0,04,,,,0.0
Kocasinan / Fevziçakmak,3+1,12500.0,04,-21.875,-19.35483870967742,-16.666666666666664,-16.666666666666664
Kocasinan / Fevziçakmak,4+1,12750.0,04,-52.336448598130836,-52.336448598130836,-51.886792452830186,-52.77777777777778
Kocasinan / Güneşli,Stüdyo (1+0),9000.0,04,0.0,,,
Kocasinan / Merkez,1+1,17686.0,04,4.035294117647059,3.8367826214589758,14.103225806451613,4.681858538029003
Kocasinan / Merkez,2+1,15125.0,04,-9.701492537313433,-11.029411764705882,-6.923076923076923,-16.551724137931036
Kocasinan / Merkez,2.5+1,14500.0,04,-27.500000000000004,-14.705882352941178,-47.27272727272727,-27.500000000000004
Kocasinan / Merkez,3+0,16250.0,04,-18.75,-12.162162162162163,-4.411764705882353,3.6682615629984054
Kocasinan / Merkez,3+1,17000.0,04,-9.333333333333334,-8.108108108108109,-22.727272727272727,-15.0
Kocasinan / Merkez,3.5+1,12500.0,04,-50.98039215686274,-67.53246753246754,-50.0,-68.15286624203821
Kocasinan / Merkez,4+0,15750.0,04,1.6129032258064515,1.6129032258064515,1.6129032258064515,5.0
Kocasinan / Sanayi,2+1,12750.0,04,-29.166666666666668,-22.727272727272727,-32.89473684210527,-30.136986301369863
Kocasinan / Sanayi,3+1,12250.0,04,-10.909090909090908,-7.547169811320755,-4.669260700389105,0.0
Kocasinan / Sanayi,4+1,17000.0,04,-17.073170731707318,-19.047619047619047,-26.881720430107524,-19.047619047619047
Kocasinan / Sanayi,4+2,19500.0,04,0.0,0.0,13.043478260869565,
Kocasinan / Sanayi,Stüdyo (1+0),19995.0,04,0.0,0.0,0.0,
Kocasinan / Yenimahalle,1+1,1500.0,04,0.0,,-75.0,
Kocasinan / Yenimahalle,2+1,11000.0,04,0.0,-4.3478260869565215,12.82051282051282,12.82051282051282
Kocasinan / Yenimahalle,2.5+1,11000.0,04,-53.191489361702125,-53.191489361702125,-56.00000000000001,0.0
Kocasinan / Yenimahalle,3+1,14500.0,04,-13.430251649302965,-14.703373628636138,-18.30985915492958,-6.451612903225806
Kocasinan / Yenişehir,2+1,12500.0,04,-1.9607843137254901,2.0408163265306123,2.0408163265306123,5.263157894736842
Kocasinan / Yenişehir,2.5+1,16000.0,04,-7.246376811594203,0.0,-11.11111111111111,-11.11111111111111
Kocasinan / Yenişehir,3+0,10000.0,04,-9.090909090909092,-9.090909090909092,-9.090909090909092,
Kocasinan / Yenişehir,3+1,14000.0,04,-16.417910447761194,-17.647058823529413,-13.178294573643413,-16.417910447761194
Kocasinan / Yenişehir,4+1,18000.0,04,-40.98360655737705,-43.75,-45.45454545454545,-30.76923076923077
Kocasinan / İldem/Beyazşehir,2+1,10500.0,04,0.0,2.4390243902439024,-8.695652173913043,0.0
Kocasinan / İldem/Beyazşehir,2.5+1,17000.0,04,0.0,-2.857142857142857,6.25,1.4925373134328357
Kocasinan / İldem/Beyazşehir,3+1,13875.0,04,-0.5376344086021506,0.3616636528028933,4.716981132075472,4.716981132075472
Melikgazi / Becen,2+1,12000.0,04,2.127659574468085,-2.834008097165992,2.127659574468085,5.032822757111598
Melikgazi / Becen,3+1,15250.0,04,0.0,-3.1746031746031744,-1.6129032258064515,0.0
Melikgazi / Gesi,2+1,13250.0,04,-8.620689655172415,-3.6363636363636362,-1.8518518518518516,-7.017543859649122
Melikgazi / Gesi,2.5+1,14000.0,04,0.0,-6.666666666666667,-6.666666666666667,-6.666666666666667
Melikgazi / Gesi,3+0,10000.0,04,0.0,0.0,,
Melikgazi / Gesi,3+1,15250.0,04,-4.984423676012461,-4.984423676012461,-3.1746031746031744,-4.6875
Melikgazi / Gesi,4+1,16500.0,04,-5.714285714285714,-4.3478260869565215,-8.333333333333332,-7.042253521126761
Melikgazi / Hürriyet,1+1,15000.0,04,-16.666666666666664,-16.655090984859008,-9.090909090909092,-21.031850486970256
Melikgazi / Hürriyet,2+1,12000.0,04,-14.285714285714285,2.127659574468085,4.3478260869565215,11.627906976744185
Melikgazi / Hürriyet,2.5+1,12000.0,04,0.0,0.0,26.31578947368421,-20.0
Melikgazi / Hürriyet,3+1,14000.0,04,-9.67741935483871,-9.67741935483871,-16.417910447761194,-15.151515151515152
Melikgazi / Hürriyet,3+2,13500.0,04,-75.0,-75.0,-63.758389261744966,-75.0
Melikgazi / Hürriyet,Stüdyo (1+0),15497.5,04,-13.902777777777779,3.3166666666666664,3.3166666666666664,-11.303476892259265
Melikgazi / Kazımkarabekir,2+1,15000.0,04,-4.761904761904762,-4.761904761904762,0.0,7.142857142857142
Melikgazi / Kazımkarabekir,3+1,13400.0,04,-14.920634920634921,-24.507042253521128,-24.507042253521128,-17.53846153846154
Melikgazi / Kılıçaslan,1+1,13500.0,04,-8.47457627118644,-10.0,-10.0,-3.571428571428571
Melikgazi / Kılıçaslan,2+1,13750.0,04,-5.172413793103448,-23.61111111111111,-34.523809523809526,-9.836065573770492
Melikgazi / Kılıçaslan,2.5+1,8250.0,04,-70.0,-64.13043478260869,-64.13043478260869,-65.625
Melikgazi / Kılıçaslan,3+0,13000.0,04,0.0,-7.142857142857142,-7.142857142857142,
Melikgazi / Kılıçaslan,3+1,14250.0,04,-30.484413873847505,-27.848101265822784,-30.061349693251532,-26.923076923076923
Melikgazi / Kılıçaslan,4+1,16250.0,04,-52.55474452554745,-53.57142857142857,-51.49253731343284,-50.0
Melikgazi / Merkez,1+1,16497.5,04,-21.421767087401765,-21.421767087401765,-17.491872968242063,-21.421767087401765
Melikgazi / Merkez,2+1,10000.0,04,0.0,0.0,0.0,
Melikgazi / Merkez,3+0,9500.0,04,0.0,,,
Melikgazi / Merkez,3+1,14250.0,04,-7.317073170731707,-14.925373134328357,-21.379310344827587,-25.0
Melikgazi / Mimarsinan,2+1,10500.0,04,0.9615384615384616,0.0,-3.4482758620689653,-26.31578947368421
Melikgazi / Mimarsinan,2.5+1,18000.0,04,20.0,20.0,19.00826446280992,24.137931034482758
Melikgazi / Mimarsinan,3+1,13750.0,04,-5.172413793103448,-6.779661016949152,-1.7857142857142856,-14.0625
Melikgazi / Mimarsinan,4+1,19500.0,04,-4.878048780487805,0.0,-11.363636363636363,-1.2658227848101267
Melikgazi / Çiftlik,2+1,11750.0,04,0.0,0.0,-2.083333333333333,-2.083333333333333
Melikgazi / Çiftlik,3+1,12250.0,04,-18.333333333333332,-15.517241379310345,-31.944444444444443,-16.94915254237288
Melikgazi / Şeker/Keykubat,1+1,15250.0,04,0.0,12.962962962962962,0.0,-10.294117647058822
Melikgazi / Şeker/Keykubat,2+1,14000.0,04,-1.7543859649122806,-1.7543859649122806,8.527131782945736,-6.666666666666667
Melikgazi / Şeker/Keykubat,3+1,13750.0,04,-5.982905982905983,-6.779661016949152,-3.508771929824561,0.0
Pınarbaşı,2+1,11111.0,04,0.0,-14.89410593236567,0.0,-25.926666666666666
Pınarbaşı,3+1,16500.0,04,0.0,0.0,,10.0
Talas,1+1,18000.0,04,-2.6895526422489526,-2.6895526422489526,5.88235294117647,6.0382916053019144
Talas,2+1,15625.0,04,-22.839506172839506,-26.47058823529412,-27.99539170506912,-30.939226519337016
Talas,2.5+1,17500.0,04,-18.22429906542056,-18.6046511627907,-17.647058823529413,-22.22222222222222
Talas,3+1,15125.0,04,-17.123287671232877,-15.972222222222221,-16.551724137931036,-20.915032679738562
Talas,Stüdyo (1+0),14000.0,04,0.0,0.0,5.660377358490567,12.0
Yahyalı,1+1,15000.0,04,-6.25,0.0,,-1.639344262295082
Yahyalı,2+1,15000.0,04,0.0,0.0,0.0,0.0
Yahyalı,2.5+1,15000.0,04,0.0,0.0,,0.0
Yahyalı,3+1,11500.0,04,-23.333333333333332,-23.333333333333332,-23.333333333333332,-42.5
Yeşilhisar,2+1,9000.0,04,-5.263157894736842,-18.181818181818183,,-18.181818181818183
Yeşilhisar,3+1,10000.0,04,0.0,0.0,0.0,
İncesu,1+1,12000.0,04,0.0,0.0,,
İncesu,2+1,10000.0,04,-33.33333333333333,0.0,0.0,-4.761904761904762
İncesu / Köyler,2+1,9000.0,04,0.0,5.88235294117647,-10.0,-10.0
İncesu / Köyler,2.5+1,10000.0,04,0.0,0.0,0.0,
