date,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
2026-03-06,,,,,,,,
2026-03-08,,,,,,,,
2026-03-09,0.0,0.0,,,,,,
2026-03-10,0.0067458049525451,0.0043018240040077,,,,,,
2026-03-11,-0.0014095883015447,-0.0008988992110414,,,,,,
2026-03-12,0.0,0.0,,,,,,
2026-03-13,-0.5969535261824542,-0.3806793878528142,-0.6044954069956123,-0.3854900587742083,,,,
2026-03-14,-0.0022040328299401,-0.0014055467386223,,,,,,
2026-03-15,0.0,0.0,-0.6295853585892134,-0.4014999029798287,,,,
2026-03-16,0.0,0.0,-0.6131426358823007,-0.3910143357268335,,,,
2026-03-17,-0.0035157431674498,-0.0022420906392619,-0.22218966359033,-0.1416985002853276,,,,
2026-03-18,0.0323500755591885,0.0206306086772075,-0.1858342062731727,-0.1185131813024862,,,,
2026-03-19,0.0094319157164011,0.0060150087411782,-0.17196811062544,-0.1096702758136681,,,,
2026-03-20,0.0,0.0,0.0381587039413215,0.0243351091054658,,,,
2026-03-21,0.0,0.0,0.0384957629309763,0.0245499226696299,-0.1650809380264408,-0.1052786222656249,,
2026-03-22,0.0,0.0,0.0385174222124454,0.0245637380453584,,,,
2026-03-23,0.1094760881712218,0.0698161881952151,0.1331289322777241,0.0849010248846268,-0.0828713023502977,-0.0528507364897379,,
2026-03-24,0.0,0.0,0.1313336856607852,0.0837554753132099,-0.0717870162939599,-0.0457814439512372,,
2026-03-25,0.0,0.0,0.1036264831092395,0.0660868235729133,-0.0457134337556707,-0.0291537847231984,,
2026-03-26,0.0507616932516575,0.0323723766266108,0.1641301155838991,0.1046717517500927,-0.0112039647696464,-0.0071453115203795,,
2026-03-27,-0.0860256165169183,-0.0548613650989124,0.0760961020642405,0.0485293159133655,-0.0981250518023491,-0.0625791965597418,,
2026-03-28,-0.0973130050277458,-0.0620596588072635,-0.0252097772454482,-0.0160772333253087,-0.0293642484171817,-0.0187269849143297,,
2026-03-29,0.0,0.0,-0.025922384631739,-0.0165317832533752,-0.0056086394785468,-0.0035768943889529,,
2026-03-30,0.0,0.0,-0.145727214363691,-0.0929367755119883,-0.0056206494131904,-0.0035845553321719,,
2026-03-31,0.0672768088134432,0.0429049160322818,-0.0717236440407868,-0.0457410457929704,0.076254431064772,0.0486311748364551,,
2026-04-01,0.0,0.0,-0.0633947227291966,-0.0404292975622429,0.0718604029295185,0.0458288713906739,,
2026-04-02,-0.1452503847096662,-0.0926313423114646,-0.2735147354703175,-0.1744309747315848,-0.1204417433904656,-0.0768115604325384,,
2026-04-03,0.0,0.0,-0.1824751419026698,-0.1163713858914476,-0.1163600277639224,-0.0742078619771116,,
2026-04-04,0.0,0.0,-0.0729949474336929,-0.04655170871937,-0.116870378762887,-0.0745334030469924,,
2026-04-05,0.0,0.0,-0.0730242156564009,-0.0465703779428387,-0.1231347528956659,-0.0785284711473778,-0.2882762733335083,-0.1838517035810093
2026-04-06,0.0,0.0,-0.0809291960622048,-0.0516117075328852,-0.1231862091233699,-0.0785612939148375,,
2026-04-07,0.0,0.0,-0.1474109913842448,-0.0940095114591257,-0.2467291177862473,-0.1573507368575448,-0.2825299600568717,-0.1801867709048288
2026-04-09,,,-0.0061137443616956,-0.0038989559147392,-0.2333604823661683,-0.1488234107450981,-0.3026457886829651,-0.193015628300639
2026-04-10,-4.156679616774126,-2.6508417069491683,-4.205097491861945,-2.681734928965662,-4.614011437509463,-2.9425384308388214,-4.727208189814688,-3.0148144881872
2026-04-11,0.0,0.0,-4.205531665785366,-2.682009022690218,-4.522490423048491,-2.884170201715924,-4.706065925345639,-3.001331799066293
2026-04-12,0.0,0.0,-4.183924341784887,-2.668230195425229,-4.386622097815267,-2.7975207154586337,-4.51269494736256,-2.877996143461373
2026-04-13,0.0,0.0,-4.178804966009951,-2.66496618904958,-4.386906860840749,-2.79770390727734,-4.499236662981328,-2.869392349573998
2026-04-14,0.0,0.0,-4.173423808716084,-2.661528852720622,-4.401658779299718,-2.8071119028833884,-4.514384516620399,-2.879053184728761
2026-04-15,0.0,0.0,,,-4.4371515644379,-2.8297428306360963,-4.502904533679303,-2.871731399220865
2026-04-16,0.0184569952011812,0.0117705552260296,-4.1035023482860815,-2.616932927594483,-4.402752147750441,-2.807801640818151,-4.487856214272699,-2.862132533789337
2026-04-17,0.0,0.0,0.0188075982697009,0.0119941869186235,-4.202283777663093,-2.6799513752223705,-4.497514604162915,-2.8682917650939066
2026-04-18,0.0,0.0,0.018758206715438,0.0119626824876928,-4.15587370207624,-2.6503467230227304,-4.481079255067721,-2.8577877204659456
2026-04-19,0.0,0.0,0.0187863986473793,0.0119806647236758,-4.150768267595578,-2.647088012902419,-4.454625607447193,-2.840917533615804
2026-04-20,0.0,0.0,0.0188536953242835,0.0120235899791443,-4.155596613777349,-2.650167812801083,-4.457446776292948,-2.84271710131024
2026-04-21,-0.4111405557821498,-0.2621937705821316,-0.4109729539452412,-0.2620895729995231,-4.584014900862031,-2.923385424766299,-4.905212517320735,-3.128278293980851
2026-04-22,-0.3654080389768575,-0.2330287244774552,-0.7808206902346019,-0.4979526059984365,-4.955887651520499,-3.1605372147722925,-5.4037707059308655,-3.446251076985324
2026-04-23,-0.0146985806588399,-0.0093735966962935,-0.7899812348765416,-0.503792271959017,,,-5.287937031515897,-3.3723453369160445
2026-04-24,0.0,0.0,-0.8074343122173978,-0.514920832084474,-4.904633995876395,-3.127844933604836,-5.328298075571683,-3.398080820986346
2026-04-25,0.0,0.0,-0.7988840018162252,-0.5094671251250622,-0.7882565435787469,-0.5026963585913671,-5.356125966052752,-3.4158232403355107
2026-04-26,0.0,0.0,-0.7994483847210759,-0.5098271089619285,-0.7867644812210358,-0.5017446426531024,-5.265281063443023,-3.3578854455524483
2026-04-27,0.0,0.0,-0.8008628369233426,-0.5107292981478458,-0.7873606278254844,-0.5021248962663295,-5.184527880140775,-3.306385694840584
2026-04-28,-0.1632956604604225,-0.1041369892748002,-0.5486182505200191,-0.3498662267185838,-0.9584784248294288,-0.6112524397827032,-5.374615340243369,-3.427612393144455
2026-04-29,-0.2110471120901975,-0.1345890487696181,-0.3941354129821013,-0.2513487860177129,-1.168604319125632,-0.7452543452746823,-5.569861472715632,-3.5521295896041334
2026-04-30,-0.0507614213197969,-0.0323715168350327,-0.4273648923553335,-0.2725394954715127,-1.2041198263068222,-0.7679035786005861,-5.648526711466516,-3.602293469388833
2026-05-01,0.0,0.0,-0.4280285024366306,-0.2729627664739706,-1.241242359882141,-0.7915744387868087,-5.597997971818631,-3.5700653059428604
2026-05-02,0.0,0.0,-0.4274613875038863,-0.2726010729275784,-1.2505400678835497,-0.7975011748279139,-5.430488018297482,-3.4632333602571537
2026-05-03,0.0,0.0,-0.4297468796221744,-0.2740586770645771,-1.2495778423616717,-0.7968865199858669,-5.358908908110015,-3.417576292426494
2026-05-04,0.0,0.0,-0.4307888706707907,-0.2747232919058908,-1.2520314939621675,-0.7984515533227434,-5.387392467334131,-3.435737431618309
2026-05-05,-0.0022418818655296,-0.0014296886080616,-0.2667353497907077,-0.1701027859019126,-1.2544142438063952,-0.7999710920272232,-5.3892193256614,-3.43690155343348
2026-05-06,-0.3901740686355356,-0.2488206150086775,-0.4551762800882533,-0.2902750375930913,-1.242510276218466,-0.792378162059546,-5.880347202106957,-3.750113443731052
2026-05-07,0.0,0.0,-0.4026284244971895,-0.2567640819902803,-0.8660386059400652,-0.5522926657751182,-5.862527067249653,-3.738742974654578
2026-05-08,0.0,0.0,-0.3983494786902862,-0.254034853516282,-0.8444021544451474,-0.5384937334179439,,
2026-05-09,-0.1180209243740681,-0.075264254330684,-0.2886473493978049,-0.1840765324667134,-0.7447378537731634,-0.4749378405795216,-5.885040007826467,-3.75311254911736
2026-05-10,0.0,0.0,-0.2840188577018386,-0.1811249102830882,-0.7390830599579492,-0.4713316079537712,-1.712010801059328,-1.091813336641312
2026-05-11,0.0,0.0,-0.2815143587319477,-0.1795277807809146,-0.736625618071173,-0.4697644962098941,-1.6984262120504274,-1.0831495534572395
2026-05-12,0.0,0.0,-0.2758505188178627,-0.1759154618540157,-0.7375478823041364,-0.4703527522874378,-1.702005464326247,-1.0854318785063837
2026-05-13,0.0055927942438961,0.0035666244242667,-0.1050271023519334,-0.0669779139154865,-0.5570086377564759,-0.3552182419950532,-1.6941654117825506,-1.0804325793612537
