date,product_id,product_name,category,tuik_category,price,relative_1d,relative_7d,relative_15d,relative_30d
2026-09-06,886701,gigaset a690a trio,,08,7739.1,0.0,0.0,14.66862248299774,10.969157310620714
2026-09-06,889858,swissvoice ih250,,08,1979.91,0.0,0.0005050760139457822,0.0005050760139457822,0.0
2026-09-06,890087,profilo bd2086idan,,05,45003.42,0.0,-1.4863054480500182,-1.4863054480500182,-1.5981003316985376
2026-09-06,890778,atalay aeo 870,,05,37846.0,0.0,-2.4989694971145893,-1.012214579028592,0.8823137411702042
2026-09-06,890838,philips hd9875 90 airfryer,,05,16989.0,-15.008254539997,-22.423382302174833,-13.813920454545459,-11.483768377056535
2026-09-06,891654,zcwatch v0922,,08,5832.0,0.0,0.0,0.0,0.0
2026-09-06,891757,joyroom jr ft3,,08,2977.88,0.0,0.0,0.0,20.323245383651866
2026-09-06,892353,i xtech ix hc3,,08,1733.0,0.0,0.0,0.0,0.0
2026-09-06,894660,audio technica ath gdl3,,08,43794.7,0.0,0.0,0.0,0.0
2026-09-06,894748,dyson airwrap multi styler complete long,,13,28999.0,0.0,-6.451821026484728,-6.451821026484728,-6.451821026484728
2026-09-06,895219,soffio 6 beden 60 adet,,13,16.65,0.0,0.0,53.739612188365626,53.739612188365626
2026-09-06,895527,bebem natural 6 beden 256 adet,,13,8.28,0.0,0.0,4.020100502512558,1.098901098901095
2026-09-06,89555,rowenta sf4532 lisscurl keratin shine,,13,1666.66,0.0,-10.000270000269996,-10.000270000269996,2.272294938114783
2026-09-06,895853,apple iphone 15 pro max 512gb,,08,102923.05,0.0,0.0,0.0,-15.294237224248409
2026-09-06,896421,sunix mg 50,,08,2049.17,0.0,0.0,0.0,0.0
2026-09-06,896715,homend alex laser pro 1286h,,05,19000.0,0.0,0.0,0.0,0.0
2026-09-06,89719,delonghi icm 14011,,05,4449.0,0.0,0.0,11.252813203300827,11.252813203300827
2026-09-06,898161,altus al 2983 ecofryer xl air fryer,,05,1760.0,8.041080165253733,8.64197530864197,-1.267811062492985,10.072234904155852
2026-09-06,898181,ariete party time,,05,4769.1,0.0,0.0,6.122203753029054,0.0
2026-09-06,898791,lg rh10v9pv2w bptpltk,,05,40079.37,0.0,-4.7183465235200455,-12.448403163091438,-12.984433347807201
2026-09-06,899399,freely ktr 2610,,06,1121.12,0.0,-1.1235955056179803,0.0,-11.022222222222233
2026-09-06,899629,mesilife hl100k,,06,711.01,0.0,-3.2639455782312976,-3.2639455782312976,-3.2639455782312976
2026-09-06,899818,zore z 26,,08,357.4,0.0,0.0,0.0,0.0
2026-09-06,900215,grundig hd 8381,,13,2880.0,-0.6553984132459445,-2.3728813559321993,2.857142857142847,3.2258064516129004
2026-09-06,900690,twisted minds tm32dui,,08,20999.0,0.0,0.0,0.0,0.0
2026-09-06,901305,vestel sefa 2100 b,,05,5421.6,0.0,,,
2026-09-06,901895,dreame r10 pro,,05,13999.0,0.0,6.382897879561389,0.0,7.709471416480729
2026-09-06,902252,ally ads 301a,,08,752.9,0.0,0.0,4.165801961842308,4.165801961842308
2026-09-06,902404,samsonite proxis spinner orta boy valiz,,03,25285.0,0.0,0.0,0.0,0.0
2026-09-06,902822,rock z6 2 m,,08,599.0,0.0,0.0,0.0,0.0
2026-09-06,903201,syrox mc256,,08,2766.3,0.0,0.0,0.0,6.43709118891882
2026-09-06,904173,dji mini 4 pro dji rc 2,,09,66700.0,0.0,0.0,0.0,-6.055014859364216
2026-09-06,904255,colorful battle ax b760m k d5 v20,,08,4639.0,0.0,25.41227358745608,25.41227358745608,25.41227358745608
2026-09-06,904292,pure baby organik bambulu kulot bez 6 beden 128 adet,,13,6.27,0.0,0.0,0.0,4.499999999999993
2026-09-06,904648,baby turco dogadan 4 beden 52 adet,,13,9.56,0.0,0.0,0.0,0.0
2026-09-06,905263,sportplus hava direncli kurek makinesi,,09,50551.99,0.7489005748141153,0.7489005748141153,0.7489005748141153,1.8946005848580194
2026-09-06,905288,delkin devices black cfexpress type a,,08,4999.0,0.0,0.0,0.0,0.0
2026-09-06,905695,apple macbook pro 14 2 m3 8cpu 10gpu mr7j3tu a,,08,75199.0,0.0,0.0,0.0,
2026-09-06,906293,rado rd 3835,,13,1557.9,0.0,-34.605762450048694,34.87143970219031,34.87143970219031
2026-09-06,906462,redmi pad se 8 gb 256 gb,,08,25000.0,0.0,0.0,0.0,
2026-09-06,907096,tcl onetouch 4022s,,08,3090.0,-0.2904162633107443,-0.2904162633107443,1.6765107517151767,10.475509474436894
2026-09-06,908569,thull vortex thl pcvtx25600d4 32g,,08,25500.0,0.0,,,0.0
2026-09-06,908772,xiaomi smart tower heater lite,,05,8999.0,0.0,0.0,0.0,1.1112234693992251
2026-09-06,909007,haier hd90 a2939e tr,,05,17324.01,0.0,-1.000000000000012,-0.9801949072618776,-0.4550884578189973
2026-09-06,911127,hp laserjet m111a,,08,5684.0,0.0,-0.04554574885827778,-0.04554574885827778,-0.6119951040391647
2026-09-06,911219,s link swapp sw c501 0 2 m,,08,189.0,0.0,0.0,0.0,5.586592178770955
2026-09-06,911778,alpin picco b 182r,,09,6152.28,0.0,-16.24993193574735,-16.24993193574735,-16.24993193574735
2026-09-06,911796,alpin actuel b 160,,09,2430.14,0.0,-2.6218459109542236,-30.547585024292655,-30.547585024292655
2026-09-06,91371,raks perge 2300 w,,05,4830.0,0.0,-2.127659574468088,38.039439839954284,38.039439839954284
2026-09-06,913931,miele g 5110 brws,,05,73990.0,0.0,0.0,,
2026-09-06,914167,ideal ap15,,05,41376.47,0.0,-4.395612266872206,-4.395612266872206,-4.395612266872206
2026-09-06,914388,amazfit cheetah square,,08,7199.1,0.0,0.0,-0.2763521515988909,-0.2763521515988909
2026-09-06,915092,marshall middleton,,09,10327.0,0.0,-4.626452837333018,-5.630376656060321,-13.07239057239057
2026-09-06,91527,voit at 1000,,09,31185.0,5.995717344753748,2.0618556701030855,2.0618556701030855,2.0618556701030855
2026-09-06,915376,gigabyte x670e aorus xtreme,,08,43999.0,0.0,0.0,0.0,16.092348284960423
2026-09-06,91591,cybex mios,,13,44990.0,0.0,13.879907954457149,12.741097174606363,-0.5611366664397432
2026-09-06,91778,frisby fs 334,,09,434.1,0.0,0.0,5.108958837772404,26.981805417422343
2026-09-06,918068,hometech alfa 10yc pro,,08,7500.0,0.0,0.0,0.01333511134817833,0.01333511134817833
2026-09-06,919042,oclean kids,,13,1895.44,0.0,-14.000000000000002,-14.000000000000002,-2.2727272727272707
2026-09-06,919059,philips sonicare 9000 power ozel surum pempe,,13,45171.1,0.0,0.0,0.0,0.0
2026-09-06,919294,fakir aroma gourmet,,05,3499.0,10.559908998988865,12.907389480477583,12.907389480477583,12.907389480477583
2026-09-06,920196,asus tuf gaming m3 gen ii,,08,699.0,0.0,-11.406844106463875,-9.992274014936909,0.0
2026-09-06,921820,vzn bm1000c,,06,1725.63,0.0,-3.0544943820224657,-3.315217391304337,-5.9602179836512175
2026-09-06,921918,teknonet tn chc10,,08,469.9,0.0,0.0,0.0,0.0
2026-09-06,92196,eca proteus premix 30 hm,,05,44466.57,0.0,-1.1363636363636354,-1.8831200353044975,4.504277320799055
2026-09-06,922850,pulsemed rj 206d,,06,995.0,0.0,0.0,0.0,0.0
2026-09-06,925066,phixi force cb631 1 m,,08,338.02,0.020713123243076836,0.32946484224272155,0.7691390412592369,1.5776662559725985
2026-09-06,925507,itimat 10552 2000w,,05,2729.1,0.0,0.0,0.0,11.300978792822193
2026-09-06,925720,phixi force cb464l 1 m,,08,446.48,0.0,19.27443699409612,19.27443699409612,19.27443699409612
2026-09-06,925773,linktech k609 safe 2 m,,08,265.5,0.0,0.5681818181818121,0.0,0.0
2026-09-06,926171,sunny snczv012,,05,744.0,0.0,-1.0638297872340385,1.0869565217391353,0.0
2026-09-06,926752,hp laserjet mfp m141ca,,08,7150.0,0.0,0.35087719298245723,0.35087719298245723,14.870509607351723
2026-09-06,929479,pierre cardin pc e12001,,13,999.0,0.0,,,
2026-09-06,929684,usams jelly us sj595 1 m,,08,189.05,0.0,0.0,0.0,0.0
2026-09-06,930022,wiwu wi w012,,08,1112.0,0.0,-0.0808697996226182,-0.0808697996226182,-0.0808697996226182
2026-09-06,930085,sk hynix hma84gr7afr4n uh,,08,15650.0,0.0,0.0,0.0,0.0
2026-09-06,931141,vestel cds301,,05,13350.0,0.0,-4.829798609873459,2.1735802847083985,7.487922705314021
2026-09-06,931575,pierre cardin pc b20001,,13,719.1,,,,
2026-09-06,932952,frisby fc 2910b 500w,,08,3199.0,0.0,0.0,0.0,0.0
2026-09-06,933363,beko 3104 g,,05,18499.0,0.0,0.0,19.28397375094868,11.566245586864143
2026-09-06,933600,jbl tune 310c,,08,809.1,0.0,-9.999999999999998,-9.999999999999998,-9.999999999999998
2026-09-06,93467,benq zowie xl2411,,08,46048.75,0.0,0.0,0.0,0.0
2026-09-06,935606,philips 5500 serisi lattego ep5547 90,,05,22589.0,0.4000177785679293,-0.48460284594035175,-3.6675337967503996,-4.308794237431446
2026-09-06,935948,braun ipl skin i expert pl7253,,13,23219.1,0.0,29.00145007250363,7.252528985172524,16.101305065253246
2026-09-06,936001,braun ipl skin expert pl3136,,13,18920.0,0.0,-14.000000000000002,-14.000000000000002,-14.000000000000002
2026-09-06,936067,braun ipl silk expert pro pl5152,,13,19779.14,0.0,22.093456790123444,-10.543321438424623,-10.543321438424623
2026-09-06,937179,vzn lt n200,,06,782.1,0.0,0.0,0.0,0.0
2026-09-06,937180,nimomed nbm 5b,,06,1170.0,0.0,0.0,0.0,0.0
2026-09-06,937330,msi b650m project zero,,08,10230.0,0.0,0.0,4.301014972242467,11.111111111111116
2026-09-06,937728,orico gqz60 pd60w 1 5 m,,08,408.27,0.0,0.4576659038901587,34.29934210526315,34.29934210526315
2026-09-06,938339,apple ipad pro 13 2024 1024,,08,83659.06,0.0,0.0,-1.0526315789473717,-1.0526315789473717
2026-09-06,938951,welio wkey t100,,08,2425.0,0.0,0.0,0.0,0.0
2026-09-06,939282,lenovo tab m11 tb330xu,,08,14836.96,0.0,0.0,0.0,-1.0526315789473717
2026-09-06,939393,maxi cosi plaza ekstra,,13,40158.06,0.0,0.0,0.0,0.0
2026-09-06,939585,maxi taxi milano puset,,13,5034.05,0.0,0.0,0.0,0.0
2026-09-06,940471,akel as1012 1500w,,05,490.5,0.0,0.0,0.0,1.4393845390246796
2026-09-06,940922,decathlon gps 900 by coros,,08,33757.7,0.0,0.0,0.0,0.0
2026-09-06,941019,inteya hiwatch pro,,08,2771.1,0.0,0.0,0.0,-0.9649404953361196
2026-09-06,941141,wiwu wi c012 1 2 m,,08,1522.27,0.0,0.0,0.0,0.0
2026-09-06,941339,hama 106618 1 m,,08,315.56,0.0,0.0,0.0,0.0
2026-09-06,942119,samsung rt58k704rww,,05,53727.08,0.0,1.7943918150814753,-1.0186440677966035,5.038279569892468
2026-09-06,942313,vestel sp 202 a,,05,18810.0,0.0,33.41314952911756,1.1235955056179803,1.1235955056179803
2026-09-06,942910,blackview tab 70,,08,7500.0,0.0,0.0,16.550116550116556,16.550116550116556
2026-09-06,943656,karaca inox quick mix hiz ayarli 9616b,,05,6383.7,0.0,-3.2258064516129004,0.0,1.7517294143899909
2026-09-06,943794,nort prestige,,08,670.0,0.0,0.0,0.0,0.0
2026-09-06,944521,sunday e103,,05,6248.0,0.0,0.12820512820512775,0.0,-0.4223444099131446
2026-09-06,944912,inova bora,,05,1700.0,9.819121447028433,0.05885815185402432,0.05885815185402432,6.382978723404253
2026-09-06,945247,rubenis rbt425 blk,,05,3949.0,0.0,0.0,0.0,0.0
2026-09-06,945458,e c a spylos pro 24,,05,48548.03,0.0,-0.7197750511247492,0.0,-0.9203657217494277
2026-09-06,945939,msi modern am242 12m 636xtr,,08,48723.02,0.0,0.45933793317312066,-0.32380480879192763,12.006942528735621
2026-09-06,94788,dewalt d25481k,,05,21719.22,0.08142275551747957,-2.836628148863918,-3.9114998440496485,-27.61466422262956
2026-09-06,948309,susler sv 2017,,05,3730.1,0.0,0.8162382767101795,-0.18757810179523826,19.24872122762149
2026-09-06,949506,arzum ar1114 technoart maxi neo,,05,3155.6,0.0,-1.3026819923371624,-1.3026819923371624,-8.775013442647595
2026-09-06,95037,makita hm1203c,,05,26899.0,0.0,-3.2375265297312827,11.016186679213202,11.006657345612481
2026-09-06,950600,nespresso vertuo next premium,,05,8708.71,0.0,-3.225802866985228,0.0,0.0
2026-09-06,951043,taks 5dk34s 1 m,,08,143.9,0.0,0.2787456445993097,0.6997900629811094,1.4809590973201558
2026-09-06,951551,sunday swd b403,,05,7656.0,0.0,-3.0886075949367098,-9.375,-11.989883894700537
2026-09-06,951687,asrock b650m pg lightning,,08,7559.0,0.0,0.0,18.430432500607118,19.384362685871782
2026-09-06,952122,fsp cmt218 750w,,08,5599.0,0.0,5.661445555765243,5.661445555765243,0.0
2026-09-06,952547,ninja creami 7 in 1,,05,9999.0,11.112345816201795,0.0,-4.765079576733678,-9.091735612328389
2026-09-06,955881,torima tk 05,,08,1190.0,0.0,0.0,0.0,0.0
