month,prev_month,n_matched,avg_inflation,basic_index,median_inflation_nonzero,pct_increased,pct_decreased,pct_unchanged,tuik_weighted,covered_weight,groups,n_03,avg_03,basic_03,n_05,avg_05,basic_05,n_06,avg_06,basic_06,n_07,avg_07,basic_07,n_08,avg_08,basic_08,n_09,avg_09,basic_09,n_13,avg_13,basic_13
2023-10,2023-09,642,0.873704174578371,0.5899179548947586,0.5639055558287143,50.77881619937694,41.1214953271028,8.09968847352025,1.1214900989823684,30.551,"03,05,06,08,09,13",22,1.9942446403707657,1.8217649747001685,265,1.290615307987383,1.0341764245565654,74,-0.07048023717799978,-1.8264461496718676,7,3.5390874946401967,4.70618642364824,166,0.6225572947370407,0.41501803000854043,35,1.5272043307176444,-0.48938107227105565,73,-0.018124603264038038,-1.9315154559145342
2023-11,2023-10,667,-0.44626570088052564,-0.3311585391157834,-0.3160745463111736,44.527736131934034,49.02548725637181,6.446776611694154,0.7395607971531014,30.551,"03,05,06,08,09,13",24,3.072594173356086,1.264993974786166,279,-1.1664471929303186,-0.8244986551428135,74,-0.631865979840659,-0.5789441600100531,8,3.078388432685565,2.1532408690017046,168,-1.1648718948704873,-0.2961286235911076,36,1.3365410901695247,0.29051100915136185,78,1.586554593827761,6.446868964341612
2023-12,2023-11,698,4.42882262048004,3.8451720256251543,3.376740313191684,67.3352435530086,24.068767908309454,8.595988538681947,3.5332603921694985,30.551,"03,05,06,08,09,13",28,0.8662555609445223,0.34724388733058387,289,5.065706481477223,4.28226262279674,77,6.476329137961762,4.89342545070659,8,8.188370706311115,9.096343445129085,175,2.9577030956671204,3.0131002196446044,38,2.408391751404407,3.084484731764081,83,5.177983405699349,5.629071079605175
2024-01,2023-12,731,6.252227623328459,4.337226260208782,4.581949387387652,72.2298221614227,21.751025991792066,6.019151846785226,5.7223477056141885,30.551,"03,05,06,08,09,13",31,2.4058115640403837,2.637826326429993,300,5.851893056394147,4.390129471856241,81,10.1070713451273,4.278592086619359,9,1.9323709656704873,1.668704377127006,172,4.777168809762322,4.025611428980014,48,6.370148593161926,4.6657657869258795,90,8.630289242804112,6.206138542685724
2024-02,2024-01,765,3.625127173250142,2.7936748519178822,2.0513129366417804,63.66013071895424,29.80392156862745,6.535947712418301,3.5214167334720976,30.551,"03,05,06,08,09,13",29,2.611728140753259,1.7161892127178113,302,2.7817813436845165,3.0092102130561127,90,6.827505219854689,7.8998327170101135,5,5.565881835386587,3.648229583266538,183,3.3562228150497657,1.5464666545999206,50,4.487694942759208,2.6402985171624094,106,3.551941550998754,4.850876977720819
2024-03,2024-02,803,2.4730443113068876,2.5808187299484198,1.7396306928519012,57.16064757160647,34.49564134495641,8.34371108343711,2.4966171569179574,30.551,"03,05,06,08,09,13",29,1.8539836739930737,2.904635457591742,326,2.54904220544774,2.3064343081208083,90,1.9557037017899828,2.788163471032923,1,67.94870983554766,67.94870983554766,190,1.2978834562810417,1.3052310354625396,51,3.5103080676453975,3.2681831087857383,116,3.719962804463009,10.647522477020788
2024-04,2024-03,821,1.9574144577072015,1.9038516940167227,0.8499734362087952,53.593179049939096,37.51522533495737,8.891595615103533,2.7506665170246234,30.551,"03,05,06,08,09,13",35,4.78886201811565,2.3783188281770062,328,1.99543375641794,2.0852880362195236,91,1.7484652040261206,-0.9601258760317477,1,-1.1784597176430878,-1.1784597176430878,199,0.9282040550160392,-0.690783628233449,49,2.3368500296552237,4.16658331023132,118,2.777751650749567,8.685646397895486
2024-05,2024-04,830,0.9742761903194807,-0.0818838339476935,0.16560105250853496,46.74698795180723,42.89156626506024,10.361445783132531,1.3960141994579345,30.551,"03,05,06,08,09,13",33,1.8671172919045236,2.256911228996694,330,1.1234553819451252,1.3432621068765416,95,0.3686641914826668,0.8070590569789315,1,2.2741935483870934,2.2741935483870934,202,-0.07633905611132134,-2.5455092665824686,48,1.972377495103089,-0.1449226792321845,121,2.1466377613283174,-4.877866098524963
2024-06,2024-05,843,1.241832426428651,-0.8353650115367706,0.23197411192144024,47.09371293001186,42.58600237247924,10.320284697508896,2.515592799575715,30.551,"03,05,06,08,09,13",30,6.466531545067402,1.257431358464478,332,0.6424007127883727,0.48655489382574135,94,1.84027046285554,2.1848575765401668,4,-15.274172339033914,-20.18632288252412,207,1.5706868434222874,-2.856874557469302,50,1.338281089240893,-0.954862581098237,126,1.0766411688797446,-5.929656697537156
2024-07,2024-06,852,0.8515361175063859,0.7974691461594574,0.34526341253171555,49.06103286384976,41.78403755868544,9.15492957746479,0.33877592326959827,30.551,"03,05,06,08,09,13",29,-1.288245140000778,-0.5713598377917517,333,1.7729119846336054,1.331418310971877,99,-1.590166027530217,0.17369902662114356,9,2.5082239218390097,1.8088387776219017,206,0.7124198275281498,0.15375189533606282,49,1.1664471895344843,0.06274446494833885,127,0.8143796453812955,0.6321266476931209
2024-08,2024-07,855,1.9079072508414308,0.9973616771019822,0.8768971332208997,57.30994152046783,33.567251461988306,9.12280701754386,2.0159839924361638,30.551,"03,05,06,08,09,13",28,2.554140788528998,1.7537960425562105,338,2.0263595740155114,1.3796493263537046,102,2.7229563538805563,-2.0305150760493107,9,4.026044620766061,3.5228071738429234,202,2.1936370857429104,1.975564745154701,49,2.602222391393409,-0.5088310398106088,127,-0.07688438431249967,-1.1467827673503073
2024-09,2024-08,848,1.620654481430789,1.1826303250682901,0.8792199642870813,53.77358490566038,38.325471698113205,7.900943396226415,1.4801316596552319,30.551,"03,05,06,08,09,13",28,1.245241672904631,3.4783058336395944,334,1.1578408550012587,1.2456305288662373,105,2.717571553269761,-0.08501158572443712,6,3.0743625970584407,4.178322124088107,205,2.0405120941188666,1.3420494306581876,49,1.4777953447363164,1.5673047257857675,121,1.3076136196647627,-1.2935317048280548
2024-10,2024-09,859,1.3811887767625337,1.1400852913339588,0.8150372101991654,53.20139697322468,37.60186263096624,9.19674039580908,1.4609842053677742,30.551,"03,05,06,08,09,13",31,2.1348749877876605,1.0391470421848403,335,1.214448304024484,1.1484281670332441,107,0.4234384381469281,0.42113531688561245,7,4.558036346104221,3.7760574617911935,211,1.8772249435056654,1.9337638252247658,47,0.8553499135771954,0.6953843606574805,121,1.6521469127861375,-1.1801813143652917
2024-11,2024-10,878,-0.7506722316035207,-0.5320139182933836,-0.9423255245489259,37.81321184510251,54.32801822323462,7.858769931662871,-1.2552475447821159,30.551,"03,05,06,08,09,13",30,-2.5032665734728443,-0.8586902837187993,347,-0.947300872689129,-0.05358113411262355,105,-0.9368288491437269,-1.725757686833762,7,1.1430730000283096,0.08142690518191387,214,-0.1588623155552492,-0.6075157202007353,51,-1.2884988485019582,-0.7305862137065189,124,-0.5258332609537238,-3.5473277844742523
2024-12,2024-11,898,3.456605996812998,3.726779885227538,2.260001327892658,64.47661469933185,29.398663697104677,6.124721603563475,3.3049986648628447,30.551,"03,05,06,08,09,13",29,2.703240860273663,2.2666728955271997,355,4.221314687339982,3.7556021725735134,106,1.6077936441409928,2.018840359517493,9,1.959828159810949,3.976904925106517,222,3.3356601161649406,3.366135131707293,51,3.964345719337862,3.8684963751979495,126,3.1453073729551693,6.070250266121069
2025-01,2024-12,897,3.213171613179897,1.9150488266146404,1.91942782075607,61.42697881828316,31.438127090301005,7.1348940914158305,2.8560175460437582,30.551,"03,05,06,08,09,13",35,1.9795557221732574,3.555043176637196,351,2.74185118522889,1.7921109999575968,104,5.549244295346243,4.321939760008764,11,8.016501239134868,5.898158197719372,211,2.5736021679523033,1.0227687773162408,48,1.9347435424112234,2.8787309132725314,137,4.009781408107996,1.301877866375789
2025-02,2025-01,912,1.9965418454740236,1.6630574760867267,0.521202824036493,52.52192982456141,40.57017543859649,6.907894736842106,2.461705633775321,30.551,"03,05,06,08,09,13",35,3.9599971167068895,2.0591227743038454,359,1.3310569678511757,1.8608320289554392,114,3.283155309843534,1.1249804330382585,10,0.7421822063335103,0.11171208676299393,208,1.804567843749986,1.6234714679124629,48,1.4532494686144293,0.22261861589250032,138,2.73615361702905,3.5038647501654863
