name,price,url,id
Nina Yan Sehpa Syh Siyah,1679999,https://www.chakra.com.tr/nina-yan-sehpa-syh-siyah-8682313390690/,8682313390690
Banana Sandalye Natural,2499999,https://www.chakra.com.tr/banana-sandalye-natural-8682313384057/,8682313384057
Shuka Masa Natural,3989999,https://www.chakra.com.tr/shuka-masa-natural-8682313327559/,8682313327559
Modena Masa Natural,3149999,https://www.chakra.com.tr/modena-masa-natural-8682313323797/,8682313323797
Manado Tekli Koltuk Natural/Beyaz,2799999,https://www.chakra.com.tr/manado-tekli-koltuk-naturalbeyaz-8682313283046/,8682313283046
Grado Yemek Masası Natural Natural,6999999,https://www.chakra.com.tr/grado-yemek-masasi-natural-natural-8682313254428/,8682313254428
Maldives Cibinlik 8 li Set Natural,12575,https://www.chakra.com.tr/maldives-cibinlik-8-li-set-natural-8682313114678/,8682313114678
Belissa Montessori Yatak Natural,4549999,https://www.chakra.com.tr/belissa-montessori-yatak-natural-8699137984806/,8699137984806
Cape Town Tekli Koltuk 104x80x76 cm Bej,4899999,https://www.chakra.com.tr/cape-town-tekli-koltuk-104x80x76-cm-bej-8682313223691/,8682313223691
Bled İkili Kanepe 88x187x69 cm Bej,7699999,https://www.chakra.com.tr/bled-ıkili-kanepe-88x187x69-cm-bej-8682313223424/,8682313223424
Bled Orta Sehpa Natural,3999999,https://www.chakra.com.tr/bled-orta-sehpa-natural-8682313171268/,8682313171268
Lunha Bambu Çift Kişilik Nevresim Seti 200X220 Cm Beyaz,4500,https://www.chakra.com.tr/lunha-bambu-cift-kisilik-nevresim-seti-200x220-cm-beyaz-8682313378315/,8682313378315
Lunha Bambu King Size Nevresim Seti 230X220 Cm Beyaz,5000,https://www.chakra.com.tr/lunha-bambu-king-size-nevresim-seti-230x220-cm-beyaz-8682313381476/,8682313381476
Lunha Bambu Extra King Size Nevresim Seti 260X220 Cm Beyaz,5500,https://www.chakra.com.tr/lunha-bambu-extra-king-size-nevresim-seti-260x220-cm-beyaz-8682313381483/,8682313381483
Marta Bambu Nevresim Takımı 200x220 Cm Beyaz,4000,https://www.chakra.com.tr/marta-bambu-nevresim-takimi-200x220-cm-beyaz-8682313415072/,8682313415072
Lillia Çift Kişilik Pike 210x240 cm Marın Mavı,399999,https://www.chakra.com.tr/lillia-cift-kisilik-pike-210x240-cm-marin-mavi-8682313164741/,8682313164741
Bianca Premium Kaz Tüyü Yorgan 195x215cm Beyaz,1899999,https://www.chakra.com.tr/bianca-premium-kaz-tuyu-yorgan-195x215cm-beyaz-8682313468726/,8682313468726
Lillia Çift Kişilik Pike 210x240 cm Beyaz,399999,https://www.chakra.com.tr/lillia-cift-kisilik-pike-210x240-cm-beyaz-8682313164703/,8682313164703
Calvın Yatak Örtüsü Seti Ekstra Çift Kişilik,4305,https://www.chakra.com.tr/calvin-yatak-ortusu-seti-ekstra-cift-kisilik-8682313384729/,8682313384729
Classıc Bambu King Size Lastikli Çarşaf 200X200 Cm Somon,2995,https://www.chakra.com.tr/classic-bambu-king-size-lastikli-carsaf-200x200-cm-somon-8682313209688/,8682313209688
Bianca Pamuk Yorgan 195x215cm Beyaz,899999,https://www.chakra.com.tr/bianca-pamuk-yorgan-195x215cm-beyaz-8682313468535/,8682313468535
Marfa Çift Kişilik Pike 200x220 cm Beyaz,4000,https://www.chakra.com.tr/marfa-cift-kisilik-pike-200x220-cm-beyaz-8682313212190/,8682313212190
Classıc Bambu Çift Kişilik Lastikli Çarşaf 160X200 Cm Somon,2435,https://www.chakra.com.tr/classic-bambu-cift-kisilik-lastikli-carsaf-160x200-cm-somon-8682313209626/,8682313209626
Marta Bambu Nevresim Takımı 200x220 Cm Ekru,4000,https://www.chakra.com.tr/marta-bambu-nevresim-takimi-200x220-cm-ekru-8682313415089/,8682313415089
Dahlıa Bambu King Size Nevresim Seti 230X220 Cm Pudra/Ekru,3500,https://www.chakra.com.tr/dahlia-bambu-king-size-nevresim-seti-230x220-cm-pudraekru-8682313381513/,8682313381513
Marfa Çift Kişilik Pike 200x220 cm Natural,4000,https://www.chakra.com.tr/marfa-cift-kisilik-pike-200x220-cm-natural-8682313430822/,8682313430822
Bianca Bambu Yastık 50x70cm Beyaz,4785,https://www.chakra.com.tr/bianca-bambu-yastik-50x70cm-beyaz-8682313468610/,8682313468610
Marfa Çift Kişilik Pike 200x220 cm Pudra,4000,https://www.chakra.com.tr/marfa-cift-kisilik-pike-200x220-cm-pudra-8682313381469/,8682313381469
Bambu Nevresim Takımı Double Ekru,10715,https://www.chakra.com.tr/bambu-nevresim-takimi-double-ekru-8682313374492/,8682313374492
Bianca Pamuk Yastık 50x70cm Beyaz,4785,https://www.chakra.com.tr/bianca-pamuk-yastik-50x70cm-beyaz-8682313468511/,8682313468511
Bambu Nevresim Takımı Double Marın Mavı,11000,https://www.chakra.com.tr/bambu-nevresim-takimi-double-marin-mavi-8682313374522/,8682313374522
Bambu Nevresim Takımı King Beyaz,11400,https://www.chakra.com.tr/bambu-nevresim-takimi-king-beyaz-8682313046429/,8682313046429
Marfa Çift Kişilik Pike 200x220 cm Marın Mavı,349999,https://www.chakra.com.tr/marfa-cift-kisilik-pike-200x220-cm-marin-mavi-8682313212237/,8682313212237
Lillia Tek Kişilik Pike 160x220 cm Marın Mavı,479999,https://www.chakra.com.tr/lillia-tek-kisilik-pike-160x220-cm-marin-mavi-8682313164826/,8682313164826
Palmita Pike Çift Kişilik 200x220 cm Beyaz,4000,https://www.chakra.com.tr/palmita-pike-cift-kisilik-200x220-cm-beyaz-8682313320673/,8682313320673
Fıorella Bambu King Size Nevresim Seti 230X220 Cm Bej,6500,https://www.chakra.com.tr/fiorella-bambu-king-size-nevresim-seti-230x220-cm-bej-8682313409040/,8682313409040
Bianca Microjel Yastık 50x70cm Beyaz,3520,https://www.chakra.com.tr/bianca-microjel-yastik-50x70cm-beyaz-8682313468986/,8682313468986
Classıc Bambu Çift Kişilik Düz Çarşaf 240X260 Cm Somon,2435,https://www.chakra.com.tr/classic-bambu-cift-kisilik-duz-carsaf-240x260-cm-somon-8682313209268/,8682313209268
Aventura Battaniye Çift Kişilik 200x220 cm Bej,3190,https://www.chakra.com.tr/aventura-battaniye-cift-kisilik-200x220-cm-bej-8682313349643/,8682313349643
Bambu Nevresim Takımı Double Bej,10715,https://www.chakra.com.tr/bambu-nevresim-takimi-double-bej-8682313409422/,8682313409422
Ludas Yatak Örtüsü Seti 240x260 Cm Marin Mavi,499999,https://www.chakra.com.tr/ludas-yatak-ortusu-seti-240x260-cm-marin-mavi-8682313427587/,8682313427587
Aquarıs Bambu Tek Kişilik Nevresim Seti 160X220 Cm Ekru,4500,https://www.chakra.com.tr/aquaris-bambu-tek-kisilik-nevresim-seti-160x220-cm-ekru-8682313483071/,8682313483071
Anıel Bambu Tek Kişilik Nevresim Seti 160X220 Cm Beyaz,4000,https://www.chakra.com.tr/aniel-bambu-tek-kisilik-nevresim-seti-160x220-cm-beyaz-8682313482715/,8682313482715
Etape %100 Pamuk Çift Kişilik Nevresim Seti 200X220 Cm Beyaz,4500,https://www.chakra.com.tr/etape-100-pamuk-cift-kisilik-nevresim-seti-200x220-cm-beyaz-8682313279568/,8682313279568
