date,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
2026-03-06,,,,,,,,
2026-03-08,,,,,,,,
2026-03-09,0.0,0.0,,,,,,
2026-03-10,0.0067458049525451,0.0043018240040077,,,,,,
2026-03-11,-0.0014095883015447,-0.0008988992110414,,,,,,
2026-03-12,0.0,0.0,,,,,,
2026-03-13,-0.5969535261824542,-0.3806793878528142,-0.6044954069956123,-0.3854900587742083,,,,
2026-03-14,-0.0022040328299401,-0.0014055467386223,,,,,,
2026-03-15,0.0,0.0,-0.6295853585892134,-0.4014999029798287,,,,
2026-03-16,0.0,0.0,-0.6131426358823007,-0.3910143357268335,,,,
2026-03-17,-0.0035157431674498,-0.0022420906392619,-0.22218966359033,-0.1416985002853276,,,,
2026-03-18,0.0323500755591885,0.0206306086772075,-0.1858342062731727,-0.1185131813024862,,,,
2026-03-19,0.0094319157164011,0.0060150087411782,-0.17196811062544,-0.1096702758136681,,,,
2026-03-20,0.0,0.0,0.0381587039413215,0.0243351091054658,,,,
2026-03-21,0.0,0.0,0.0384957629309763,0.0245499226696299,-0.1650809380264408,-0.1052786222656249,,
2026-03-22,0.0,0.0,0.0385174222124454,0.0245637380453584,,,,
2026-03-23,0.1094760881712218,0.0698161881952151,0.1331289322777241,0.0849010248846268,-0.0828713023502977,-0.0528507364897379,,
2026-03-24,0.0,0.0,0.1313336856607852,0.0837554753132099,-0.0717870162939599,-0.0457814439512372,,
2026-03-25,0.0,0.0,0.1036264831092395,0.0660868235729133,-0.0457134337556707,-0.0291537847231984,,
2026-03-26,0.0507616932516575,0.0323723766266108,0.1641301155838991,0.1046717517500927,-0.0112039647696464,-0.0071453115203795,,
2026-03-27,-0.0860256165169183,-0.0548613650989124,0.0760961020642405,0.0485293159133655,-0.0981250518023491,-0.0625791965597418,,
2026-03-28,-0.0973130050277458,-0.0620596588072635,-0.0252097772454482,-0.0160772333253087,-0.0293642484171817,-0.0187269849143297,,
2026-03-29,0.0,0.0,-0.025922384631739,-0.0165317832533752,-0.0056086394785468,-0.0035768943889529,,
2026-03-30,0.0,0.0,-0.145727214363691,-0.0929367755119883,-0.0056206494131904,-0.0035845553321719,,
2026-03-31,0.0672768088134432,0.04290491603228186,-0.07172364404078685,-0.045741045792970496,0.076254431064772,0.048631174836455154,,
