Ana Kategori,Kategori ID,Stok Kodu,Ürün Adı,Fiyat,tuik_category,basic_inflation_1d
Kadin,301,M404577010-0027,EKRU BOL PAÇA PANTOLON,40950.0,03,0.0
Kadin,301,M404577011-0027,EKRU CEKET,70950.0,03,0.0
Kadin,301,M404577005-0025,EKRU POLO YAKA UZUN KOLLU T-SHİRT,30950.0,03,0.0
Kadin,301,M404577007-0027,EKRU KAPUŞONLU SWEATSHİRT,69950.0,03,0.0
Kadin,301,M404577020-0025,PUDRA MİDİ ETEK,30950.0,03,0.0
Kadin,301,M404577004-0025,KREM UZUN KOLLU GÖMLEK,55950.0,03,0.0
Kadin,301,M404577021-0025,PUDRA O YAKA KISA KOLLU BLUZ,35950.0,03,0.0
Kadin,301,M404577012-0027,EKRU BOL PAÇA PANTOLON,35950.0,03,0.0
Kadin,301,M404576975-0027,EKRU CEKET,60950.0,03,0.0
Kadin,301,M405091804-0027,EKRU ÇİZGİLİ TRİKO,35950.0,03,0.0
Kadin,301,M404577003-0027,EKRU ŞORT,34950.0,03,0.0
Kadin,301,M404577002-0027,EKRU CEKET,57950.0,03,0.0
Kadin,301,M404577001-0027,EKRU O YAKA TRİKO,27950.0,03,0.0
Kadin,301,M404576544-0027,EKRU YELEK,79950.0,03,0.0
Kadin,301,M301544040-0027,EKRU KIRLANGIÇ YAKA CEKET,35950.0,03,0.0
Kadin,301,M301542006-0027,EKRU DOKULU BORU PAÇA PANTOLON,18950.0,03,0.0
Kadin,301,M404507281-0012-0004,BEYAZ KETEN CEKET,35950.0,03,0.0
Kadin,301,M404480391-0021-0012,BEJ KOLSUZ ELBİSE,40950.0,03,0.0
Kadin,301,M404507278-0012-0004,BEYAZ KETEN KISA KOLLU GÖMLEK,20950.0,03,0.0
Kadin,301,M404507282-0012-0004,PANTOLON,20950.0,03,0.0
Kadin,301,M404509394-0012-0004,T-SHIRT,12950.0,03,0.0
Kadin,301,M404346049-0012,BERMUDA,23950.0,03,0.0
Kadin,301,M404346050-0012,BEYAZ KETEN CEKET,35950.0,03,0.0
Kadin,301,M404298602-0012,BEJ O YAKA KISA KOLLU T-SHİRT,8950.0,03,0.0
Kadin,301,M404507283-0012-0004,BEYAZ-GRİ V YAKA ELBİSE,30950.0,03,0.0
Kadin,301,M404507280-0021-0004,BEYAZ-GRİ ELBİSE,30950.0,03,0.0
Kadin,301,M404507277-0004,GRİ KETEN KISA TULUM,30950.0,03,0.0
Kadin,301,M404573194-0004,GRİ MONT,52950.0,03,0.0
Kadin,301,M404690238-0010,AÇIK GRİ POLO YAKA TRİKO,8950.0,03,0.0
