id,category,product_id,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Avokado İthal Adet,Meyve ve Sebze,6487,84.9,01,0.0,0.0,,
Bezelye - 500 Gr.,Meyve ve Sebze,704,37.95,01,-10.600706713780918,,,
Biber Dolmalık - 500 Gr.,Meyve ve Sebze,5029,24.95,01,0.0,,,-73.7230121116377
Biber Kırmızı - 500 Gr.,Meyve ve Sebze,8087,129.95,01,0.0,15.56247220987104,,20.939972080037215
Biber Kırmızı Şili Acı - 500 Gr.,Meyve ve Sebze,9815,92.45,01,-7.503751875937968,-7.503751875937968,,-42.200687714910906
Biber Köy - 500 Gr.,Meyve ve Sebze,7769,22.45,01,0.0,-10.02004008016032,,-74.3281875357347
Biber Sivri - 500 Gr.,Meyve ve Sebze,9774,19.95,01,0.0,0.0,,-76.51559741024133
Biber Tatlı - 500 Gr.,Meyve ve Sebze,4120,12.45,01,-28.65329512893983,-13.84083044982699,,-83.38892595063375
Börülce - 500 Gr.,Meyve ve Sebze,7970,137.45,01,0.0,-17.915795759928336,,
Çilek - 500 Gr.,Meyve ve Sebze,3233,79.95,01,-5.885815185403178,-28.90173410404624,,-3.0321406913280775
Deniz Börülcesi Adet,Meyve ve Sebze,8096,19.9,01,-13.100436681222707,,,
Dereotu Demet,Meyve ve Sebze,1498,11.9,01,0.0,0.0,,0.0
Domates - 500 Gr.,Meyve ve Sebze,9778,49.95,01,-4.7664442326024785,-43.844856661045526,,-39.41782898726501
Domates Cherry - 500 Gr.,Meyve ve Sebze,8735,52.45,01,0.0,-16.01281024819856,,-60.4001510003775
Domates Pembe - 500 Gr.,Meyve ve Sebze,619,39.45,01,-21.02102102102102,-36.82946357085669,,-57.32828555976203
Domates Salkım - 500 Gr.,Meyve ve Sebze,4455,37.45,01,-19.3756727664155,-36.4715860899067,,-46.461758398856325
Elma Granny Smith - 500 Gr.,Meyve ve Sebze,8576,79.95,01,0.0,10.351966873706003,,-5.885815185403178
Elma Starking - 500 Gr.,Meyve ve Sebze,4125,62.45,01,0.0,0.0,,4.170141784820683
Enginar Adet,Meyve ve Sebze,6805,27.9,01,7.722007722007722,7.722007722007722,,-50.08944543828265
Erik - 500 Gr.,Meyve ve Sebze,1247,124.95,01,0.0,-6.718924972004469,,
Fasulye Ayşe Kadın - 500 Gr.,Meyve ve Sebze,9703,72.45,01,7.412898443291327,-21.633315305570576,,-34.106412005457024
Fasulye Çalı - 500 Gr.,Meyve ve Sebze,4355,59.95,01,0.0,-11.11934766493699,,-18.931710615280593
Havuç - 500 Gr.,Meyve ve Sebze,9740,32.45,01,0.0,62.65664160401004,,30.060120240480977
Hindistan Cevizi,Meyve ve Sebze,8547,122.9,01,0.0,0.0,,0.0
Kabak - 500 Gr.,Meyve ve Sebze,9759,17.95,01,,-20.0445434298441,,-28.0561122244489
Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) - 2 Kg.,Et ve Tavuk,8066,539.8,01,0.0,0.0,,0.0
Akdeniz Toros Dana Burger 360 Gr,Et ve Tavuk,11066,569.9,01,0.0,0.0,,0.0
Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr,Et ve Tavuk,11067,349.9,01,0.0,0.0,,0.0
Akdeniz Toros Dana Sosis 5'li 250 Gr,Et ve Tavuk,11068,329.9,01,0.0,0.0,,0.0
Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Satılır) - 2 Kg.,Et ve Tavuk,7303,599.8,01,0.0,0.0,,0.0
Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),Et ve Tavuk,9367,429.9,01,0.0,0.0,,0.0
Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,2907,299.9,01,0.0,0.0,,0.0
Akdeniz Toros Piliç But (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,7394,259.9,01,0.0,0.0,,0.0
Akdeniz Toros Piliç Izgara Tava (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,9360,359.9,01,0.0,0.0,,0.0
Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,9359,529.9,01,0.0,0.0,,0.0
Akdeniz Toros Piliç Kangal Sucuk 250 Gr,Et ve Tavuk,11069,189.9,01,0.0,0.0,,0.0
Akdeniz Toros Piliç Nuggut 500 Gr,Et ve Tavuk,11064,279.9,01,0.0,0.0,,0.0
Akdeniz Toros Tavuk Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),Et ve Tavuk,9368,189.9,01,0.0,0.0,,0.0
Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR,Et ve Tavuk,12301,519.0,01,0.0,0.0,,0.0
Apikoğlu Dana Kangal Sucuk 280 Gr,Et ve Tavuk,12297,749.9,01,0.0,0.0,,0.0
Apikoğlu Dana Parmak Sucuk - 500 Gr.,Et ve Tavuk,12299,1199.5,01,0.0,0.0,,0.0
Apikoğlu Dana Yarım Kangal Sucuk 180 Gr,Et ve Tavuk,12904,299.9,01,0.0,0.0,,
Apikoğlu Kurutulmuş Dana Füme Et 100 GR,Et ve Tavuk,12303,569.0,01,0.0,0.0,,0.0
Bolca Hindi Bonfile - 1 Kg.,Et ve Tavuk,1968,539.9,01,0.0,22.732439190725167,,3.8468936333910366
Bolca Tabaklı Alt But Kemiksiz Hindi - 1 Kg.,Et ve Tavuk,1969,559.9,01,0.0,27.278927028870196,,3.7043897017966296
Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr,Et ve Tavuk,6603,359.9,01,0.0,0.0,,0.0
Çapanoğlu Dana Füme Et 60 Gr,Et ve Tavuk,12890,159.9,01,0.0,-20.01000500250125,,-5.885815185403178
Çapanoğlu Dana Kurutulmuş Füme Et 60 Gr,Et ve Tavuk,6519,259.9,01,0.0,-13.337779259753251,,0.0
Çapanoğlu Fümechef Dana Füme Antrikot 100 Gr,Et ve Tavuk,6522,399.9,01,0.0,,,0.0
Çapanoğlu Fümechef Karabiberli Dana Rosatbeef 100 Gr,Et ve Tavuk,12406,399.9,01,0.0,,,0.0
Activia Ananas&Yulaf&Hindistan Cevizli Probiyotikli Blow,"Süt, Kahvaltılık, Sark.",12602,65.0,01,0.0,,,13.043478260869565
Activia Doğal Probiyotikli Ananaslı Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",1797,114.9,01,0.0,15.477386934673373,,15.477386934673373
Activia Doğal Probiyotikli Çilekli Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",7647,114.9,01,,15.477386934673373,,15.477386934673373
Activia Doğal Probiyotikli İncir&Cevizli Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",7558,114.9,01,0.0,15.477386934673373,,15.477386934673373
Activia Doğal Probiyotikli Kuru Kayısılı Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",7646,114.9,01,0.0,15.477386934673373,,15.477386934673373
Activia Doğal Probiyotikli Orman Meyveli Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",7968,114.9,01,0.0,15.477386934673373,,15.477386934673373
Activia Doğal Probiyotikli Sade Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",7333,114.9,01,0.0,,,
Activia Laktozsuz Probiyotik Sade Yoğurt 4'lü 100 Gr,"Süt, Kahvaltılık, Sark.",9583,114.9,01,0.0,,,
Activia Probiyotikli Bowl Ahududu&Yulaf&Ceviz,"Süt, Kahvaltılık, Sark.",12089,65.0,01,0.0,31.313131313131315,,13.043478260869565
Activia Probiyotikli Bowl Muz&Yulaf&Fındık,"Süt, Kahvaltılık, Sark.",12090,65.0,01,0.0,31.313131313131315,,13.043478260869565
Activia Probiyotikli Bowl Yaban Mersini&Chia,"Süt, Kahvaltılık, Sark.",12088,65.0,01,,,,
Activia Shot Sade 80 Ml,"Süt, Kahvaltılık, Sark.",8940,38.9,01,,,,
Activia x2 Probiyotik Ahududu&Hibisküs Shot 80 Ml,"Süt, Kahvaltılık, Sark.",8941,38.9,01,0.0,,,19.692307692307686
Akdeniz Toros Mantı 500 Gr,"Süt, Kahvaltılık, Sark.",11070,179.9,01,0.0,0.0,,0.0
Alan Kuru Sele Zeytin - 500 Gr.,"Süt, Kahvaltılık, Sark.",9002,199.95,01,0.0,0.0,,0.0
