id,category,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Pazı Demet,Meyve ve Sebze,34.9,01,0.0,34.74903474903475,34.74903474903475,6.079027355623101
Pırasa - 500 Gr.,Meyve ve Sebze,24.95,01,0.0,25.062656641604008,28.277634961439592,28.277634961439592
Portakal - 500 Gr.,Meyve ve Sebze,29.95,01,0.0,25.052192066805844,0.0,0.0
Roka Demet,Meyve ve Sebze,11.9,01,0.0,0.0,0.0,0.0
Salatalık - 500 Gr.,Meyve ve Sebze,42.45,01,-5.561735261401557,-11.470281543274243,,-27.37382378100941
Salatalık Silör - 500 Gr.,Meyve ve Sebze,42.45,01,-15.015015015015015,-15.015015015015015,-15.015015015015015,-43.36224149432955
Sarımsak Paket 250 Gr,Meyve ve Sebze,114.9,01,0.0,0.0,0.0,0.0
Soğan Kırmızı - 500 Gr.,Meyve ve Sebze,42.45,01,13.351134846461948,13.351134846461948,28.831562974203333,28.831562974203333
Soğan Kuru - 500 Gr.,Meyve ve Sebze,9.45,01,0.0,11.834319526627219,0.0,11.834319526627219
Soğan Taze - 500 Gr.,Meyve ve Sebze,59.95,01,0.0,-7.698229407236336,-7.698229407236336,9.099181073703367
Soğan Yahnilik - 500 Gr.,Meyve ve Sebze,74.95,01,11.11934766493699,11.11934766493699,11.11934766493699,11.11934766493699
Tere Demet,Meyve ve Sebze,11.9,01,0.0,0.0,0.0,0.0
Verita Altın Çilek 100 GR,Meyve ve Sebze,99.9,01,0.0,-9.099181073703367,,
Verita Yaban Mersini 125 Gr,Meyve ve Sebze,259.9,01,0.0,0.0,0.0,
Zencefil - 500 Gr.,Meyve ve Sebze,122.45,01,0.0,-9.262689885142636,-9.262689885142636,-14.040014040014032
Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) - 2 Kg.,Et ve Tavuk,539.8,01,0.0,12.505210504376812,,
Akdeniz Toros Dana Burger 360 Gr,Et ve Tavuk,569.9,01,0.0,0.0,0.0,0.0
Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr,Et ve Tavuk,349.9,01,0.0,0.0,0.0,0.0
Akdeniz Toros Dana Sosis 5'li 250 Gr,Et ve Tavuk,329.9,01,0.0,,,
Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Satılır) - 2 Kg.,Et ve Tavuk,599.8,01,0.0,0.0,,
Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),Et ve Tavuk,429.9,01,0.0,0.0,0.0,0.0
Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,299.9,01,0.0,7.145409074669526,7.145409074669526,7.145409074669526
