id,category,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Ananas Adet,Meyve ve Sebze,149.9,01,-6.2539086929330825,-3.227888960619755,-1.962066710268149,
Armut Deveci - 500 Gr.,Meyve ve Sebze,62.95,01,0.0,0.0,0.0,
Armut Santa Maria - 500 Gr.,Meyve ve Sebze,79.95,01,0.0,0.0,0.0,
Avokado Adet,Meyve ve Sebze,99.9,01,-11.514614703277235,-13.054830287206265,-5.665722379603399,
Ayva - 500 Gr.,Meyve ve Sebze,144.95,01,0.0,0.0,7.410151908114117,
Bakla Taze - 500 Gr.,Meyve ve Sebze,69.95,01,-6.671114076050701,-22.234574763757642,-26.32964718272775,
Biber California - 500 Gr.,Meyve ve Sebze,94.95,01,,8.576329331046312,8.576329331046312,
Biber Dolmalık - 500 Gr.,Meyve ve Sebze,112.45,01,4.653327128897161,14.803471158754466,60.757684060042884,
Biber Kırmızı - 500 Gr.,Meyve ve Sebze,81.45,01,0.0,5.1646223369916076,35.86321934945788,
Biber Kırmızı Şili Acı - 500 Gr.,Meyve ve Sebze,87.45,01,0.0,2.942907592701589,12.187299550994227,
Biber Köy - 500 Gr.,Meyve ve Sebze,114.95,01,4.547521600727603,4.547521600727603,35.31489111241907,
Biber Sivri - 500 Gr.,Meyve ve Sebze,79.95,01,0.0,11.118832522585128,,
Biber Tatlı - 500 Gr.,Meyve ve Sebze,82.95,01,0.0,7.10135571336346,58.15061963775023,
Çağla Badem - 500 Gr.,Meyve ve Sebze,204.95,01,-18.003600720144032,,,
Çilek - 500 Gr.,Meyve ve Sebze,94.95,01,-2.565418163160595,-13.642564802182811,-36.678892964321435,
Dereotu Demet,Meyve ve Sebze,11.9,01,0.0,,20.2020202020202,
Domates - 500 Gr.,Meyve ve Sebze,59.95,01,22.47191011235955,14.299332697807435,81.94233687405159,
Domates Cherry - 500 Gr.,Meyve ve Sebze,87.45,01,12.91155584247902,6.064281382656155,84.29926238145416,
Domates Pembe - 500 Gr.,Meyve ve Sebze,72.45,01,3.5739814152966405,7.412898443291327,38.13155386081983,
Domates Salkım - 500 Gr.,Meyve ve Sebze,57.45,01,11.661807580174926,9.532888465204957,64.37768240343347,
Elma Golden - 500 Gr.,Meyve ve Sebze,69.95,01,0.0,-6.671114076050701,-6.671114076050701,
Elma Starking - 500 Gr.,Meyve ve Sebze,69.95,01,0.0,0.0,0.0,
Enginar Adet,Meyve ve Sebze,69.9,01,0.0,11.128775834658198,,
Fasulye Çalı - 500 Gr.,Meyve ve Sebze,132.45,01,0.0,,,
Greyfurt - 500 Gr.,Meyve ve Sebze,31.45,01,0.0,0.0,-3.081664098613262,
Havuç - 500 Gr.,Meyve ve Sebze,18.45,01,12.158054711246201,12.158054711246201,12.158054711246201,
Hindistan Cevizi,Meyve ve Sebze,122.9,01,0.0,0.0,0.0,
Ispanak - 500 Gr.,Meyve ve Sebze,32.95,01,0.0,0.0,0.0,
Kabak - 500 Gr.,Meyve ve Sebze,42.45,01,-10.53740779768177,-13.278855975485188,-41.40786749482401,
Karnabahar - 2 Kg.,Meyve ve Sebze,95.8,01,9.111617312072893,-12.750455373406194,20.05012531328321,
Kereviz - 750 Gr.,Meyve ve Sebze,29.18,01,11.45912910618793,0.0,-18.786529362649595,
Kivi - 500 Gr.,Meyve ve Sebze,94.95,01,0.0,0.0,5.558643690939411,
"Lahana - 2,5 Kg.",Meyve ve Sebze,39.75,01,0.0,-20.100502512562816,-20.100502512562816,
Lahana Brüksel Paket,Meyve ve Sebze,109.9,01,0.0,0.0,,
"Lahana Kırmızı - 1,5 Kg.",Meyve ve Sebze,43.35,01,3.584229390681003,-3.3444816053511706,-14.749262536873156,
Limon - 500 Gr.,Meyve ve Sebze,64.95,01,0.0,0.0,0.0,
Manav Alabaş Turp (Kohlrabi) - 1 Kg.,Meyve ve Sebze,89.9,01,0.0,-30.792917628945343,,
Manav Erüst Kekik 25 Gr,Meyve ve Sebze,149.9,01,0.0,0.0,,
Manav Erüst Mini Havuç 250 Gr,Meyve ve Sebze,199.9,01,0.0,,0.0,
Manav Erüst Rozmarin Biberiye 25 Gr,Meyve ve Sebze,149.9,01,0.0,,0.0,
Manav Erüst Taze Fesleğen 25 Gr,Meyve ve Sebze,149.9,01,0.0,0.0,,
Manav Verita Avokado Adet,Meyve ve Sebze,114.9,01,0.0,,0.0,
Manav Verita Zencefil 250 Gr,Meyve ve Sebze,94.9,01,0.0,0.0,0.0,
Manav Zerdeçal 100 Gr (Paket),Meyve ve Sebze,64.9,01,0.0,0.0,0.0,
Mango Adet,Meyve ve Sebze,99.9,01,0.0,0.0,0.0,
Mantar Paket 400 Gr,Meyve ve Sebze,92.9,01,0.0,0.0,9.422850412249705,
Marul Adet,Meyve ve Sebze,89.9,01,12.515644555694616,12.515644555694616,12.515644555694616,
Marul Iceberg Adet,Meyve ve Sebze,109.9,01,15.806111696522654,15.806111696522654,15.806111696522654,
Marul Kıvırcık Adet,Meyve ve Sebze,89.9,01,12.515644555694616,12.515644555694616,12.515644555694616,
Maydanoz Demet,Meyve ve Sebze,11.9,01,0.0,0.0,20.2020202020202,
Muz İthal - 500 Gr.,Meyve ve Sebze,82.45,01,10.00667111407605,10.00667111407605,13.802622498274673,
Muz Yerli - 500 Gr.,Meyve ve Sebze,54.95,01,0.0,0.0,0.0,
Nar - 500 Gr.,Meyve ve Sebze,89.95,01,0.0,0.0,12.507817385866165,
Pancar - 500 Gr.,Meyve ve Sebze,21.45,01,-6.535947712418301,-32.863849765258216,-34.90136570561457,
Patates - 500 Gr.,Meyve ve Sebze,14.95,01,0.0,0.0,0.0,
Patlıcan - 500 Gr.,Meyve ve Sebze,104.95,01,0.0,-6.669630947087595,50.03573981415297,
Patlıcan Topan - 500 Gr.,Meyve ve Sebze,104.95,01,0.0,-6.669630947087595,,
Pazı Demet,Meyve ve Sebze,25.9,01,0.0,-13.377926421404682,-13.377926421404682,
Pırasa - 500 Gr.,Meyve ve Sebze,17.45,01,0.0,-10.282776349614396,-18.64801864801865,
Pomelo Adet,Meyve ve Sebze,189.9,01,0.0,0.0,,
Portakal - 500 Gr.,Meyve ve Sebze,29.95,01,0.0,0.0,0.0,
Portakal Sıkmalık - 500 Gr.,Meyve ve Sebze,22.45,01,0.0,0.0,0.0,
Roka Demet,Meyve ve Sebze,11.9,01,0.0,0.0,20.2020202020202,
Salatalık - 500 Gr.,Meyve ve Sebze,39.95,01,0.0,-5.889281507656065,-40.7709414381023,
Salatalık Silör - 500 Gr.,Meyve ve Sebze,49.95,01,0.0,-23.094688221709006,-42.881646655231556,
Sarımsak Paket 250 Gr,Meyve ve Sebze,114.9,01,0.0,0.0,0.0,
Soğan Beyaz - 500 Gr.,Meyve ve Sebze,32.95,01,0.0,0.0,0.0,
Soğan Kırmızı - 500 Gr.,Meyve ve Sebze,32.95,01,0.0,0.0,,
Soğan Kuru - 500 Gr.,Meyve ve Sebze,9.45,01,5.5865921787709505,11.834319526627219,11.834319526627219,
Soğan Taze - 500 Gr.,Meyve ve Sebze,54.95,01,0.0,-8.340283569641366,4.7664442326024785,
Soğan Yahnilik - 500 Gr.,Meyve ve Sebze,67.45,01,0.0,0.0,,
Tere Demet,Meyve ve Sebze,11.9,01,0.0,0.0,20.2020202020202,
Turp Beyaz - 500 Gr.,Meyve ve Sebze,17.45,01,0.0,0.0,0.0,
Turp Kırmızı - 500 Gr.,Meyve ve Sebze,17.45,01,0.0,0.0,0.0,
Verita Altın Çilek 100 GR,Meyve ve Sebze,109.9,01,0.0,,,
Verita Lime 3' lü Paket,Meyve ve Sebze,104.9,01,0.0,0.0,-4.549590536851683,
Yer Elması - 500 Gr.,Meyve ve Sebze,33.95,01,0.0,-20.02355712603062,-24.47163515016685,
Zencefil - 500 Gr.,Meyve ve Sebze,134.95,01,-5.265005265005265,-5.265005265005265,-5.265005265005265,
Akdeniz Toros Dana Burger 360 Gr,Et ve Tavuk,569.9,01,0.0,0.0,0.0,
Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr,Et ve Tavuk,349.9,01,0.0,0.0,0.0,
Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),Et ve Tavuk,429.9,01,0.0,0.0,0.0,
Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg.,Et ve Tavuk,279.9,01,0.0,0.0,0.0,
Akdeniz Toros Piliç Kangal Sucuk 250 Gr,Et ve Tavuk,189.9,01,0.0,0.0,0.0,
Akdeniz Toros Piliç Nuggut 500 Gr,Et ve Tavuk,279.9,01,0.0,0.0,0.0,
Akdeniz Toros Tavuk Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),Et ve Tavuk,189.9,01,0.0,0.0,0.0,
Apikoğlu Dana Antrikot Pastırma 70 Gr,Et ve Tavuk,259.9,01,0.0,30.01500750375186,30.01500750375186,
Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR,Et ve Tavuk,485.0,01,0.0,0.0,-9.345794392523365,
Apikoğlu Dana Kangal Sucuk - 500 Gr.,Et ve Tavuk,999.5,01,0.0,-16.673614005835766,-16.673614005835766,
Apikoğlu Dana Kangal Sucuk 280 Gr,Et ve Tavuk,749.9,01,0.0,,,
Apikoğlu Dana Parça Pastırma 80 GR,Et ve Tavuk,329.9,01,0.0,,,
Apikoğlu Dana Parmak Sucuk - 500 Gr.,Et ve Tavuk,999.5,01,0.0,-16.673614005835766,-16.673614005835766,
Apikoğlu Kurutulmuş Dana Füme Et 100 GR,Et ve Tavuk,519.0,01,0.0,0.0,-8.787346221441124,
Bolca Hindi Bonfile - 1 Kg.,Et ve Tavuk,519.9,01,0.0,18.185951352580133,18.185951352580133,
Bolca Hindi Külbastı 500 gr,Et ve Tavuk,159.95,01,0.0,-30.441400304414007,,
Bolca Tabaklı Alt But Kemiksiz Hindi - 1 Kg.,Et ve Tavuk,539.9,01,0.0,22.732439190725167,22.732439190725167,
Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr,Et ve Tavuk,359.9,01,0.0,0.0,0.0,
