id,shown_price,category,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Sarımsak Paket 250 Gr,99.9,Meyve ve Sebze,01,,,,
Soğan Beyaz - 500 Gr._1kg,,Bilinmiyor,,,,,
Soğan Kırmızı - 500 Gr._1kg,,Bilinmiyor,,,,,
Soğan Kuru - 500 Gr._1kg,,Bilinmiyor,,,,,
Soğan Taze - 500 Gr._1kg,,Bilinmiyor,,,,,
Soğan Yahnilik - 500 Gr._1kg,,Bilinmiyor,,,,,
Tere Demet,9.9,Meyve ve Sebze,01,,,,
Turp Beyaz - 500 Gr._1kg,,Bilinmiyor,,,,,
Turp Kırmızı - 500 Gr._1kg,,Bilinmiyor,,,,,
Turp Küçük Demet Adet,42.9,Meyve ve Sebze,01,,,,
Verita Altın Çilek 100 GR,109.9,Meyve ve Sebze,01,,,,
Verita Demirhindi 225 Gr,229.9,Meyve ve Sebze,01,,,,
Verita Lime 3' lü Paket,109.9,Meyve ve Sebze,01,,,,
Zencefil - 500 Gr._1kg,,Bilinmiyor,,,,,
Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) - 2 Kg._1kg,,Bilinmiyor,,,,,
Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr,349.9,Et ve Tavuk,01,,,,
Akdeniz Toros Dana Sosis 5'li 250 Gr,329.9,Et ve Tavuk,01,,,,
Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Satılır) - 2 Kg._1kg,,Bilinmiyor,,,,,
Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),429.9,Et ve Tavuk,01,,,,
Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg._1kg,,Bilinmiyor,,,,,
Akdeniz Toros Piliç Bonfile (Donuk Olarak Satılır) - 1 Kg._1kg,,Bilinmiyor,,,,,
Akdeniz Toros Piliç But (Donuk Olarak Satılır) - 1 Kg._1kg,,Bilinmiyor,,,,,
Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg._1kg,,Bilinmiyor,,,,,
Akdeniz Toros Piliç Kangal Sucuk 250 Gr,189.9,Et ve Tavuk,01,,,,
Akdeniz Toros Piliç Nuggut 500 Gr,279.9,Et ve Tavuk,01,,,,
Akdeniz Toros Tavuk Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),189.9,Et ve Tavuk,01,,,,
Apikoğlu Dana Antrikot Pastırma 70 Gr,259.9,Et ve Tavuk,01,,,,
Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR,535.0,Et ve Tavuk,01,,,,
Apikoğlu Dana Kangal Sucuk - 500 Gr._1kg,,Bilinmiyor,,,,,
Apikoğlu Dana Parmak Sucuk - 500 Gr._1kg,,Bilinmiyor,,,,,
Apikoğlu Kurutulmuş Dana Füme Et 100 GR,569.0,Et ve Tavuk,01,,,,
Bolca Hindi Bonfile - 1 Kg._1kg,,Bilinmiyor,,,,,
Bolca Hindi Külbastı 500 gr,189.9,Et ve Tavuk,01,,,,
Bolca Tabaklı Alt But Kemiksiz Hindi - 1 Kg._1kg,,Bilinmiyor,,,,,
Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr,359.9,Et ve Tavuk,01,,,,
Çapanoğlu Dana Kurutulmuş Füme Et 60 Gr,299.9,Et ve Tavuk,01,,,,
Çapanoğlu Fümechat Dana Frankfurter So - 500 Gr._1kg,,Bilinmiyor,,,,,
Çapanoğlu Fümechef Dana Füme Antrikot 100 Gr,399.9,Et ve Tavuk,01,,,,
Cumhuriyet Acılı Parmak Sucuk - 500 Gr._1kg,,Bilinmiyor,,,,,
Cumhuriyet Kangal Fermente Sucuk - 500 Gr._1kg,,Bilinmiyor,,,,,
Dana Antrikot - 500 Gr._1kg,,Bilinmiyor,,,,,
Dana Bonfile - 500 Gr._1kg,,Bilinmiyor,,,,,
Dana Haşlamalık Et - 500 Gr._1kg,,Bilinmiyor,,,,,
Dana İşkembe - 500 Gr._1kg,,Bilinmiyor,,,,,
Dana Kol Kuşbaşı - 500 Gr._1kg,,Bilinmiyor,,,,,
Dana Kol Kuşbaşı Kıymalık - 500 Gr._1kg,,Bilinmiyor,,,,,
Dana Kontrfile - 500 Gr._1kg,,Bilinmiyor,,,,,
Dana Kuşbaşı Kıymalık - 500 Gr._1kg,,Bilinmiyor,,,,,
Dana Kuzu Kıymalık (%80 Dana+%20 Ku - 500 Gr._1kg,,Bilinmiyor,,,,,
Dana Nuar - 500 Gr._1kg,,Bilinmiyor,,,,,
Dana Rosto - 500 Gr._1kg,,Bilinmiyor,,,,,
Dana Rulo Kıymalık - 500 Gr._1kg,,Bilinmiyor,,,,,
Dana Sote - 500 Gr._1kg,,Bilinmiyor,,,,,
Erpiliç Baget - 1 Kg._1kg,,Bilinmiyor,,,,,
Erpiliç Bonfile - 1 Kg._1kg,,Bilinmiyor,,,,,
Erpiliç But - 1 Kg._1kg,,Bilinmiyor,,,,,
Erpiliç But Izgara - 1 Kg._1kg,,Bilinmiyor,,,,,
Erpiliç Göğüs - 1 Kg._1kg,,Bilinmiyor,,,,,
Erpiliç Izgara Kanat - 1 Kg._1kg,,Bilinmiyor,,,,,
Erpiliç Pirzola - 1 Kg._1kg,,Bilinmiyor,,,,,
Erpiliç Schnitzel 300 Gr,89.9,Et ve Tavuk,01,,,,
Erpiliç Tabaklı Cordon Blue 300 Gr,99.9,Et ve Tavuk,01,,,,
Erpiliç Üst Kanat - 1 Kg._1kg,,Bilinmiyor,,,,,
Fümechef Cotto Dana,399.9,Et ve Tavuk,01,,,,
Fümechef Sade Roastbeef Dana,399.9,Et ve Tavuk,01,,,,
Gürmar Dana Kangal Sucuk - 500 Gr._1kg,,Bilinmiyor,,,,,
Hastavuk Bütün Piliç - 2 Kg._1kg,,Bilinmiyor,,,,,
Hastavuk Piliç Ba - 1 Kg._1kg,,Bilinmiyor,,,,,
Hastavuk Piliç Bonfile(File - 1 Kg._1kg,,Bilinmiyor,,,,,
Hastavuk Piliç But Izgara(Izgara Ta - 1 Kg._1kg,,Bilinmiyor,,,,,
Hastavuk Piliç But Ka - 1 Kg._1kg,,Bilinmiyor,,,,,
Hastavuk Piliç Izgaralık Ka - 1 Kg._1kg,,Bilinmiyor,,,,,
Hastavuk Piliç Kalçalı - 1 Kg._1kg,,Bilinmiyor,,,,,
Hastavuk Piliç Parmak Bonf - 1 Kg._1kg,,Bilinmiyor,,,,,
HasTavuk Roaster Tavuk - 1 Kg._1kg,,Bilinmiyor,,,,,
Kuzu Ayak Adet,29.9,Et ve Tavuk,01,,,,
Kuzu Böbrek Yatağı - 500 Gr._1kg,,Bilinmiyor,,,,,
"Kuzu But - 2,5 Kg._1kg",,Bilinmiyor,,,,,
"Kuzu But İnciksiz - 2,5 Kg._1kg",,Bilinmiyor,,,,,
"Kuzu But Tandır - 1,5 Kg._1kg",,Bilinmiyor,,,,,
Kuzu Ciğeri - 1 Kg._1kg,,Bilinmiyor,,,,,
Kuzu Gerdan - 500 Gr._1kg,,Bilinmiyor,,,,,
Kuzu İncik - 500 Gr._1kg,,Bilinmiyor,,,,,
Kuzu Kaburga - 500 Gr._1kg,,Bilinmiyor,,,,,
Kuzu Kavurmalık - 500 Gr._1kg,,Bilinmiyor,,,,,
"Kuzu Kol - 1,5 Kg._1kg",,Bilinmiyor,,,,,
Kuzu Külbastı - 500 Gr._1kg,,Bilinmiyor,,,,,
Kuzu Kuşbaşı - 500 Gr._1kg,,Bilinmiyor,,,,,
Kuzu Pirzola - 500 Gr._1kg,,Bilinmiyor,,,,,
Kuzu Şiş - 500 Gr._1kg,,Bilinmiyor,,,,,
