id,category,product_id,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr,Et ve Tavuk,6603,359.9,01,0.0,0.0,80.04002001000498,0.0
Çapanoğlu Dana Füme Et 60 Gr,Et ve Tavuk,12890,199.9,01,0.0,0.0,17.657445556209534,0.0
Çapanoğlu Dana Kurutulmuş Füme Et 60 Gr,Et ve Tavuk,6519,299.9,01,0.0,0.0,15.390534821085033,0.0
Activia Doğal Probiyotikli Ananaslı Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",1797,99.5,01,0.0,0.0,0.0,0.0
Activia Doğal Probiyotikli Çilekli Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",7647,99.5,01,0.0,,0.0,0.0
Activia Doğal Probiyotikli İncir&Cevizli Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",7558,99.5,01,0.0,0.0,0.0,0.0
Activia Doğal Probiyotikli Kuru Kayısılı Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",7646,99.5,01,0.0,,,0.0
Activia Doğal Probiyotikli Orman Meyveli Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",7968,99.5,01,0.0,0.0,,0.0
Activia Doğal Probiyotikli Sade Yoğurt 4*100 Gr,"Süt, Kahvaltılık, Sark.",7333,99.5,01,0.0,,,0.0
Activia Laktozsuz Probiyotik Sade Yoğurt 4'lü 100 Gr,"Süt, Kahvaltılık, Sark.",9583,99.5,01,0.0,,,0.0
Activia Probiyotikli Bowl Ahududu&Yulaf&Ceviz,"Süt, Kahvaltılık, Sark.",12089,49.5,01,0.0,-13.91304347826087,-13.91304347826087,-13.91304347826087
Activia Probiyotikli Bowl Muz&Yulaf&Fındık,"Süt, Kahvaltılık, Sark.",12090,49.5,01,0.0,-13.91304347826087,-13.91304347826087,-13.91304347826087
Activia Probiyotikli Bowl Yaban Mersini&Chia,"Süt, Kahvaltılık, Sark.",12088,49.5,01,0.0,,-13.91304347826087,-13.91304347826087
Activia x2 Probiyotik Ahududu&Hibisküs Shot 80 Ml,"Süt, Kahvaltılık, Sark.",8941,32.5,01,0.0,,,0.0
Akdeniz Toros Mantı 500 Gr,"Süt, Kahvaltılık, Sark.",11070,179.9,01,0.0,0.0,0.0,0.0
Alan Kuru Sele Zeytin - 500 Gr.,"Süt, Kahvaltılık, Sark.",9002,199.95,01,0.0,0.0,0.0,0.0
Alan Yağlı Sele Zeytin - 500 Gr.,"Süt, Kahvaltılık, Sark.",8986,249.95,01,0.0,0.0,0.0,0.0
Alpella Çikolatalı Süt 200 Ml,"Süt, Kahvaltılık, Sark.",4465,21.9,01,0.0,0.0,0.0,
Alpro Şekersiz Badem Sütü 1 Lt,"Süt, Kahvaltılık, Sark.",6347,149.95,01,0.0,-33.35555555555556,,-33.35555555555556
Anavarza Çam Balı 325 Gr,"Süt, Kahvaltılık, Sark.",12614,349.9,01,0.0,0.0,16.672224074691567,0.0
Anavarza Çam Balı 450 Gr,"Süt, Kahvaltılık, Sark.",7135,399.9,01,0.0,0.0,0.0,0.0
