id,category,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Armut Santa Maria - 500 Gr.,Meyve ve Sebze,82.45,01,0.0,0.6101281269066503,0.0,
Avokado Adet,Meyve ve Sebze,137.9,01,0.0,,20.01740644038294,
Bakla Taze - 500 Gr.,Meyve ve Sebze,54.95,01,0.0,0.0,15.806111696522654,
Biber Dolmalık - 500 Gr.,Meyve ve Sebze,112.45,01,0.0,-2.1748586341887775,0.0,
Biber Kırmızı - 500 Gr.,Meyve ve Sebze,119.95,01,11.633317822242903,9.095043201455207,41.20070629782225,
Biber Kırmızı Şili Acı - 500 Gr.,Meyve ve Sebze,144.95,01,0.0,16.006402561024398,62.956717256885874,
Biber Köy - 500 Gr.,Meyve ve Sebze,109.95,01,0.0,-12.004801920768307,-4.349717268377555,
Biber Sivri - 500 Gr.,Meyve ve Sebze,97.45,01,0.0,-11.368804001819008,21.88868042526579,
Biber Tatlı - 500 Gr.,Meyve ve Sebze,133.95,01,0.0,27.632205812291556,67.54221388367728,
Dereotu Demet,Meyve ve Sebze,11.9,01,0.0,0.0,0.0,
Domates - 500 Gr.,Meyve ve Sebze,79.95,01,0.0,23.094688221709006,23.094688221709006,
Domates Pembe - 500 Gr.,Meyve ve Sebze,87.45,01,0.0,18.255578093306287,29.65159377316531,
Domates Salkım - 500 Gr.,Meyve ve Sebze,69.95,01,9.382329945269742,-3.450655624568668,13.832384052074856,
Elma Golden - 500 Gr.,Meyve ve Sebze,72.45,01,0.0,3.5739814152966405,3.5739814152966405,
Elma Starking - 500 Gr.,Meyve ve Sebze,59.95,01,0.0,0.0,-14.295925661186562,
Fasulye Çalı - 500 Gr.,Meyve ve Sebze,127.45,01,0.0,,0.0,
Greyfurt - 500 Gr.,Meyve ve Sebze,31.45,01,0.0,0.0,0.0,
Havuç - 500 Gr.,Meyve ve Sebze,24.95,01,35.23035230352304,0.0,38.99721448467967,
Hindistan Cevizi,Meyve ve Sebze,122.9,01,0.0,0.0,0.0,
Kabak - 500 Gr.,Meyve ve Sebze,34.95,01,0.0,29.684601113172555,7.704160246533127,
Karnabahar - 2 Kg.,Meyve ve Sebze,151.8,01,0.0,15.174506828528072,43.47826086956523,
Karpuz - 10 Kg.,Meyve ve Sebze,699.0,01,0.0,-12.51564455569462,,
Kavun - 5 Kg.,Meyve ve Sebze,1499.5,01,0.0,,,
