date,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d,basket_inflation_1d,basket_inflation_7d,basket_inflation_15d,basket_inflation_30d
2026-04-30,,,,,,,,,,,,
2026-05-05,,,,,,,,,,,,
2026-02-21,,,,,,,,,,,,
2026-02-22,0.1670146137787056,1.094705246198327,,,,,,,0.1379893660215921,,,
2026-02-24,,,,,,,,,,,,
2026-02-26,,,,,,,,,,,,
2026-02-27,-0.316235462825822,-0.2952694013553606,,,,,,,-0.3159187483822211,,,
2026-02-28,0.032181482438907,0.0522081248336472,1.079082856105542,1.817983899505237,,,,,0.0364942501302414,0.8812789309435335,,
2026-03-01,1.7338633624087645,1.529606791744623,2.5665547512925926,2.146989832170142,,,,,0.6260016565512806,1.4295118254819354,,
2026-03-02,0.245945376964654,0.883280048800336,,,,,,,0.175002372611156,,,
2026-03-03,0.3868222562595945,0.330791915391075,2.222730420172019,2.4870102071602576,,,,,0.3266214847942115,1.754876876855287,,
2026-03-04,0.0584393759398039,0.06601763249813,,,,,,,-0.0060446955260714,,,
2026-03-05,0.1168434576185085,0.1154696428768235,2.420562406849489,2.8336636011396408,,,,,-0.0727064534039589,1.114229361162104,,
2026-03-06,-0.0476543332743517,-0.0444056909455469,2.809164415597086,3.20932749883378,,,,,-0.0076463535726952,1.4309690674523912,,
2026-03-08,,,0.1942292231534945,0.9842151351119552,3.050434459050273,4.400669027203351,,,,-0.9798498873066814,0.7610839501411482,
2026-03-09,0.9117529534496884,0.8904428069911896,0.9819399732621866,1.1100972377242986,3.905339863877273,4.250263674238431,,,0.1050282811811737,-1.0165753590976028,0.8037927861692538,
2026-03-10,0.2569121551172916,0.2506376873263358,0.963666180953844,1.410963684062109,,,,,0.1563603522583472,-1.2966863104768025,,
2026-03-11,0.509281014619221,0.2233829843582077,0.942459962880012,0.9379573285477636,3.790429872783431,4.011278879365968,,,1.1355290503116982,0.0512615010220363,1.9430128303733325,
2026-03-12,-0.0712321007509532,0.0032982428366139,0.6910710696893452,0.7688775304103612,,,,,-0.4806845644414852,-0.4444699825325594,,
2026-03-13,-0.1215721095311921,-0.1058644483381408,0.5681745103482441,0.6622214174865427,3.097345828734817,3.588297005708956,,,-0.1384443620186194,-0.572769365019009,0.7059078491321974,
2026-03-14,0.2074458664384207,0.1725947058525302,,,3.9153083458503497,4.283098457581159,,,0.2321127793875099,,1.158718081969935,
2026-03-15,-0.0080393559420362,-0.0077318121691349,1.853687416933308,1.5974803427983273,3.7161205754749647,4.040490982469146,,,-0.0159341901433745,1.0257221733634307,0.9812457458382888,
2026-03-16,0.2130671811110345,0.2416984865381444,1.0289681049526078,0.8298912381887181,2.07785535120016,2.68396524562907,,,-1.4432253337272585,-0.644958872957044,-1.3605545714691178,
2026-03-17,0.1846958299794627,0.1119603945459176,0.9849044447178292,0.8784299102281209,2.367281910578211,2.898787967382677,,,0.2132384328984513,-0.5224793386215387,-1.4009143132720383,
2026-03-18,-0.0522998883215807,-0.0399113710722052,0.3979420035755492,0.5098951076209874,2.127438205732356,2.7038176496301327,,,-0.0950658571490364,-1.6463613709695075,-1.6406026315435005,
2026-03-19,-0.087162463780562,-0.0668729467371845,0.3726440997963142,0.4025134401899906,1.5379598793119544,1.6843574293310328,,,-0.3157496826000526,-1.4484229461862124,-1.898252151372916,
2026-03-20,-0.0065124654631361,-0.006273707966082,0.6267195263878149,0.6151668504403517,1.3131309391372126,1.4074219095493186,,,0.0418218719244432,-1.1569328200473588,-1.7827460724456017,
2026-03-21,0.0,0.0,0.4310817036660386,0.457768719194509,1.3265284927638634,1.4080340438678465,,,0.0,-1.3301003914086535,-1.790737552637882,
2026-03-22,-0.0040773353080683,-0.0045968536908191,0.414821976355284,0.5643675688307312,,,,,-0.0072890759013077,-1.5349360114108472,,
2026-03-23,0.7053281405061276,0.3351501249532618,0.5763193137427195,0.313527573653274,2.6501093171429906,2.260320657185561,3.976429403155587,5.276012543414264,0.6813856843273749,0.3473333020763797,0.2879445858520791,1.1192041756208069
2026-03-24,0.5786032736177705,0.6065069509057196,0.7327514950443458,0.4344271462301283,2.0778119029736013,1.7764370938098628,4.287728798194855,4.538171581788901,0.4445531110107706,0.616775651597863,0.3598707976198731,1.2780098462476353
2026-03-25,0.1070553856514569,0.1299416335075547,1.121890353440723,0.9313844685684534,1.9559211542604,1.7004054711712755,,,0.2299223318012558,0.9642556775143124,0.4865237735620943,
2026-03-26,-0.0210232815701282,-0.0041297812014125,1.1635792634417643,0.9823331894905304,1.448224907783381,1.4637288833735198,4.17227457893822,4.497855611917608,-0.0754382723340972,1.1772113410132516,-0.6865168235243926,1.4866284898577833
2026-03-27,-0.3110983874254426,-0.315554792772025,0.8640504752540357,0.6631964731111983,1.0476917233085374,0.9988003531705628,,,-0.2804945959786943,0.8649142113297377,-0.5085978563102493,
2026-03-28,-0.0676137523039377,-0.0669223462200279,0.7890761734681723,0.5889597399783066,1.2617450097291838,1.199124649650117,3.243158270936245,3.7232855582388567,-0.0274003543463054,0.8420341181473038,-0.3459436282644921,0.3530449906947204
2026-03-29,0.0533137138610871,0.0513192253664804,0.5668729042864723,0.2141056968107229,1.0525985419395236,1.0196695004954208,3.717788490801927,4.109336952193991,0.0174636254643925,0.9775663468061204,-0.5392959292158116,0.711291913490211
2026-03-30,0.2556507804715689,0.1491021388199669,0.5836592823101757,0.5360560954974657,1.3862356957166264,1.2350475684444402,3.893910934368059,4.192705363312208,0.464116408830962,0.8381439366741246,0.009020464187775,1.168350720643269
2026-03-31,0.3977639461134143,0.406402137406839,0.2936839428244918,0.2251052351739371,1.4241861020257836,1.1153980651346165,3.5853899836632497,3.9808732162408886,0.3072812593010834,0.6931756632737845,1.5100139260810126,0.5849555503868236
2026-04-01,1.706867634706208,1.1359518662011825,1.8058544223678463,1.1507580259880317,2.757907071234501,1.4621079381717,3.4307295780565754,2.927129119513674,0.3710284360041885,0.870563025595095,1.7502851741384318,0.8716175992393369
2026-04-02,0.0603274527185224,0.058235491683909,1.7973323408343758,1.141699716632523,2.808832731054203,1.895674035614052,3.2776645730902283,3.0499548437819293,-0.0143624583833634,0.8750298513161374,1.8214851751542551,0.4218052847082946
2026-04-03,0.9040569620331887,0.7059612998943625,3.3015965578105155,2.088920972443104,4.0956775180538765,2.786012438473393,3.728299826454559,3.0283013819130025,0.8681300068784435,2.1875231102811425,3.268680945633552,1.3926251855493057
2026-04-04,-0.0203691634905897,-0.0057708789096809,3.344617837741056,2.4529642839986354,4.08616484882409,2.938272831011401,3.5673106596864272,2.917920685867227,-0.0403329540337274,2.14265904251484,3.1837855964610897,1.3937770524671746
2026-04-05,-0.0083484438035903,-0.0081823998510155,3.2366144022597303,2.3508879969638308,4.014143836466456,2.879536959328836,3.573372123106618,2.8739610140571217,-0.0041219936754377,2.1117928860577444,3.136953913972757,1.4380893594512931
2026-04-06,0.1626306243159334,0.1821763501471844,3.4057113418012905,2.1770937361420137,4.250744256609651,2.5262288092002887,,,0.0952575609531678,1.592281994457178,3.4187834662385965,
