District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Almus / Ormandibi,2+2,24000.0,04,0.0,9.090909090909092,,
Ankara / Gölbaşı,3+1,64000.0,04,,,,
Erbaa,1+1,18000.0,04,12.5,12.5,,2.857142857142857
Erbaa,2+0,19000.0,04,0.0,0.0,,0.0
Erbaa,2+1,17500.0,04,0.0,2.941176470588235,,20.689655172413794
Erbaa,2.5+1,19000.0,04,-5.0,-5.0,,
Erbaa,3+1,18000.0,04,2.857142857142857,2.857142857142857,,5.88235294117647
Erbaa,3+2,25000.0,04,0.0,,,
Erbaa,4.5+1,50000.0,04,0.0,0.0,,
Erbaa,Stüdyo (1+0),111111.0,04,0.0,0.0,,
Erbaa / Gökal,3+1,16000.0,04,0.0,0.0,,
Kayseri / Melikgazi,4+1,75000.0,04,,,,
Merkez,1+1,16300.0,04,-1.2121212121212122,-1.2121212121212122,,0.3076923076923077
Merkez,1.5+1,20000.0,04,0.0,0.0,,
Merkez,10 Üzeri,250000.0,04,0.0,0.0,,
Merkez,2+0,17000.0,04,4.615384615384616,-1.4492753623188406,,7.936507936507936
Merkez,2+1,16000.0,04,-0.7751937984496124,0.0,,8.47457627118644
Merkez,2.5+1,19000.0,04,5.555555555555555,7.042253521126761,,13.432835820895523
Merkez,3+1,21000.0,04,-1.1764705882352942,2.4390243902439024,,12.751677852348994
Merkez,3+2,22500.0,04,0.0,0.0,,
Merkez,3.5+1,36000.0,04,0.0,0.0,,
Merkez,4+0,42000.0,04,0.0,0.0,,
Merkez,4+1,34500.0,04,-0.7194244604316548,-4.827586206896552,,32.69230769230769
Merkez,5+1,28000.0,04,-30.0,-18.84057971014493,,75.0
Merkez,5+2,42500.0,04,0.0,0.0,,21.428571428571427
Merkez,6+1,45000.0,04,0.0,5.88235294117647,,
Merkez,Stüdyo (1+0),12500.0,04,1.6260162601626018,0.0,,0.0
Merkez / Karşıyaka,1+1,15600.0,04,-4.0,-4.0,,1.9607843137254901
Merkez / Karşıyaka,2+0,17125.0,04,5.384615384615385,5.384615384615385,,18.103448275862068
Merkez / Karşıyaka,2+1,20500.0,04,1.2345679012345678,1.2345679012345678,,41.37931034482759
Merkez / Karşıyaka,3+1,23500.0,04,2.1739130434782608,4.444444444444445,,3.296703296703297
Merkez / Karşıyaka,3.5+1,32000.0,04,0.0,0.0,,
Merkez / Karşıyaka,4+1,30300.0,04,0.0,7.256637168141593,,-13.675213675213676
Merkez / Karşıyaka,4.5+1,38000.0,04,0.0,0.0,,1.3333333333333335
Merkez / Karşıyaka,5+1,31000.0,04,-3.125,-3.125,,
Merkez / Karşıyaka,Stüdyo (1+0),13000.0,04,0.0,0.0,,
Merkez / Köyler,1+1,18000.0,04,-1.36986301369863,2.857142857142857,,12.5
Merkez / Köyler,2+0,17500.0,04,0.0,-7.894736842105263,,48.93617021276596
Merkez / Köyler,2+1,14750.0,04,0.0,-13.23529411764706,,-18.055555555555554
Merkez / Köyler,3+0,12500.0,04,0.0,0.0,,
Merkez / Köyler,3+1,25000.0,04,1.0101010101010102,-2.912621359223301,,25.0
Merkez / Köyler,3.5+1,20000.0,04,0.0,0.0,,
Merkez / Köyler,4+1,31000.0,04,0.0,-3.875968992248062,,-3.125
Merkez / Perakende,1+1,16500.0,04,0.0,22.22222222222222,,22.22222222222222
Merkez / Perakende,2+0,14000.0,04,0.0,0.0,,3.7037037037037033
Merkez / Perakende,2+1,15500.0,04,0.0,12.727272727272727,,10.714285714285714
Merkez / Perakende,2.5+1,25000.0,04,0.0,,,
Merkez / Perakende,3+1,21000.0,04,0.0,0.0,,50.0
Merkez / Perakende,4+1,30000.0,04,0.0,-6.25,,
Muğla / Bodrum,2+1,65000.0,04,,,,
Niksar,1+1,13750.0,04,0.0,0.0,,5.769230769230769
Niksar,2+0,16000.0,04,0.0,,,
Niksar,2+1,14000.0,04,0.0,0.0,,-1.7543859649122806
Niksar,3+1,16750.0,04,0.0,1.5151515151515151,,4.6875
Niksar,4+1,25000.0,04,0.0,21.951219512195124,,
Niksar / Merkez,2+1,10000.0,04,0.0,-16.666666666666664,,-3.614457831325301
Niksar / Merkez,3+1,12000.0,04,,,,
Pazar,1+1,11500.0,04,0.0,0.0,,0.0
Pazar,2.5+1,17000.0,04,0.0,,,
Pazar,3+1,19750.0,04,0.0,0.0,,-5.952380952380952
Reşadiye,1+1,16000.0,04,0.0,0.0,,
Reşadiye,2+1,10000.0,04,0.0,0.0,,
Reşadiye,3+1,13000.0,04,0.0,0.0,,-23.52941176470588
Sakarya / Serdivan,4+1,60000.0,04,,,,
Trabzon / Akçaabat,4+1,80000.0,04,,,,
Turhal,1+1,15000.0,04,0.0,-6.25,,11.11111111111111
Turhal,2+1,18250.0,04,5.797101449275362,7.352941176470589,,15.873015873015872
Turhal,2.5+1,15500.0,04,0.0,0.0,,3.3333333333333335
Turhal,3+1,18250.0,04,0.0,1.3888888888888888,,12.307692307692308
Turhal,3.5+1,12000.0,04,0.0,0.0,,
