District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Almus,3+1,20000.0,04,,0.0,0.0,
Almus / Ormandibi,1+1,12000.0,04,0.0,0.0,0.0,
Erbaa,1+1,18000.0,04,2.857142857142857,5.88235294117647,12.5,
Erbaa,2+0,21500.0,04,13.157894736842104,-6.521739130434782,7.5,
Erbaa,2+1,14500.0,04,0.0,-12.121212121212121,-17.142857142857142,
Erbaa,2.5+1,20000.0,04,,0.0,,
Erbaa,3+1,18000.0,04,5.88235294117647,-5.263157894736842,-1.36986301369863,
Erbaa,Stüdyo (1+0),111111.0,04,,,,
Merkez,1+1,16625.0,04,2.307692307692308,1.9938650306748467,0.7575757575757576,
Merkez,2+0,16500.0,04,4.761904761904762,4.761904761904762,-1.4925373134328357,
Merkez,2+1,15000.0,04,1.694915254237288,1.694915254237288,0.0033334444481482716,
Merkez,2.5+1,16750.0,04,0.0,0.0,0.0,
Merkez,3+1,20875.0,04,12.080536912751679,-1.7647058823529411,1.2121212121212122,
Merkez,3.5+1,42000.0,04,,6.329113924050633,20.0,
Merkez,4+0,42000.0,04,,0.0,0.0,
Merkez,4+1,31500.0,04,21.153846153846153,5.0,12.5,
Merkez,4+2,27000.0,04,0.0,0.0,0.0,
Merkez,5+1,26500.0,04,65.625,7.07070707070707,7.07070707070707,
Merkez,5+2,35000.0,04,0.0,0.0,0.0,
Merkez,6+1,42500.0,04,,0.0,0.0,
Merkez,Stüdyo (1+0),12300.0,04,-1.6,0.0,-7.169811320754717,
Merkez / Karşıyaka,1+1,16000.0,04,4.57516339869281,3.225806451612903,1.5873015873015872,
Merkez / Karşıyaka,2+0,16250.0,04,12.068965517241379,12.068965517241379,-2.9850746268656714,
Merkez / Karşıyaka,2+1,17500.0,04,20.689655172413794,-2.7777777777777777,-2.7777777777777777,
Merkez / Karşıyaka,3+1,23500.0,04,3.296703296703297,-5.05050505050505,-2.083333333333333,
Merkez / Karşıyaka,3.5+1,30000.0,04,,0.0,0.0,
Merkez / Karşıyaka,4+1,33050.0,04,-5.84045584045584,29.607843137254903,10.166666666666666,
Merkez / Karşıyaka,4+2,20000.0,04,,0.0,0.0,
Merkez / Karşıyaka,4.5+1,37500.0,04,0.0,1.3513513513513513,1.3513513513513513,
Merkez / Köyler,1+1,17000.0,04,6.25,0.0,1.4925373134328357,
Merkez / Köyler,2+0,11750.0,04,0.0,0.0,0.0,
Merkez / Köyler,2+1,18000.0,04,0.0,0.0,-1.36986301369863,
Merkez / Köyler,2.5+1,17000.0,04,0.0,0.0,0.0,
Merkez / Köyler,3+1,25000.0,04,25.0,2.0408163265306123,2.0408163265306123,
Merkez / Köyler,3.5+1,20000.0,04,,0.0,-6.976744186046512,
Merkez / Köyler,4+1,28000.0,04,-12.5,5.660377358490567,-12.5,
Merkez / Köyler,5+1,24500.0,04,,-2.0,-2.0,
Merkez / Köyler,Stüdyo (1+0),15000.0,04,0.0,0.0,0.0,
Merkez / Perakende,1+1,13500.0,04,0.0,0.0,12.5,
Merkez / Perakende,2+0,13500.0,04,0.0,-3.571428571428571,-8.47457627118644,
Merkez / Perakende,2+1,14000.0,04,0.0,-6.666666666666667,-15.151515151515152,
Merkez / Perakende,3+1,21000.0,04,50.0,-11.578947368421053,-4.545454545454546,
Merkez / Perakende,4+1,22000.0,04,,2.3255813953488373,,
Merkez / Perakende,Stüdyo (1+0),7000.0,04,0.0,0.0,,
Niksar,1+1,13000.0,04,0.0,-3.7037037037037033,-3.7037037037037033,
Niksar,2+1,18500.0,04,29.82456140350877,29.82456140350877,34.54545454545455,
Niksar,3+1,18000.0,04,12.5,0.0,0.0,
Niksar,4+1,25000.0,04,,21.951219512195124,16.27906976744186,
Niksar / Merkez,2+1,10375.0,04,0.0,-5.681818181818182,-5.681818181818182,
Pazar,1+1,11500.0,04,0.0,0.0,0.0,
Pazar,3+1,20000.0,04,-4.761904761904762,0.0,0.0,
Reşadiye,3+1,17000.0,04,0.0,0.0,0.0,
Turhal,1+1,15000.0,04,11.11111111111111,25.0,5.263157894736842,
Turhal,2+1,16250.0,04,3.1746031746031744,5.691056910569105,-7.142857142857142,
Turhal,2.5+1,15000.0,04,0.0,11.11111111111111,11.11111111111111,
Turhal,3+1,18500.0,04,13.846153846153847,1.36986301369863,4.225352112676056,
Turhal,4+1,26000.0,04,38.666666666666664,0.0,-1.8867924528301887,
Turhal,4.5+1,21000.0,04,,0.0,0.0,
Turhal,5+2,23500.0,04,,0.0,0.0,
Zile,1+1,18000.0,04,14.285714285714285,0.0,0.0,
Zile,2+0,11750.0,04,0.0,0.0,0.0,
Zile,2+1,15250.0,04,5.172413793103448,0.0,1.6666666666666667,
Zile,3+1,16500.0,04,3.125,0.0,0.0,
