District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Almus,3+1,20000.0,04,0.0,,,
Almus / Ormandibi,1+1,12000.0,04,0.0,,,
Erbaa,1+1,19000.0,04,5.555555555555555,,,
Erbaa,2+0,23000.0,04,0.0,,,
Erbaa,2+1,15000.0,04,-6.25,,,
Erbaa,2.5+1,20000.0,04,0.0,,,
Erbaa,3+1,18500.0,04,-1.3333333333333335,,,
Erbaa,4+1,55000.0,04,,,,
Erbaa,5+2,55000.0,04,0.0,,,
Merkez,1+1,16500.0,04,0.0,,,
Merkez,2+0,16250.0,04,1.5625,,,
Merkez,2+1,15000.0,04,0.0,,,
Merkez,2.5+1,16750.0,04,0.0,,,
Merkez,3+1,21250.0,04,1.1904761904761905,,,
Merkez,3.5+1,39500.0,04,0.0,,,
Merkez,4+0,42000.0,04,0.0,,,
Merkez,4+1,31500.0,04,5.0,,,
Merkez,4+2,27000.0,04,0.0,,,
Merkez,5+1,24750.0,04,0.0,,,
Merkez,5+2,35000.0,04,16.666666666666664,,,
Merkez,6+1,45000.0,04,0.0,,,
Merkez,Stüdyo (1+0),12300.0,04,0.0,,,
Merkez / Karşıyaka,1+1,15750.0,04,2.941176470588235,,,
Merkez / Karşıyaka,2+0,14500.0,04,0.0,,,
Merkez / Karşıyaka,2+1,17500.0,04,0.0,,,
Merkez / Karşıyaka,3+1,25000.0,04,2.0408163265306123,,,
Merkez / Karşıyaka,3.5+1,30000.0,04,0.0,,,
Merkez / Karşıyaka,4+1,31000.0,04,0.0,,,
Merkez / Karşıyaka,4+2,20000.0,04,0.0,,,
Merkez / Karşıyaka,4.5+1,37250.0,04,0.0,,,
Merkez / Karşıyaka,5+2,25500.0,04,,,,
Merkez / Köyler,1+1,17000.0,04,0.0,,,
Merkez / Köyler,2+0,11750.0,04,0.0,,,
Merkez / Köyler,2+1,18000.0,04,0.0,,,
Merkez / Köyler,2.5+1,17000.0,04,0.0,,,
Merkez / Köyler,3+1,24000.0,04,-2.0408163265306123,,,
Merkez / Köyler,3.5+1,20000.0,04,0.0,,,
Merkez / Köyler,4+1,30000.0,04,0.0,,,
Merkez / Köyler,5+1,25000.0,04,0.0,,,
Merkez / Köyler,Stüdyo (1+0),15000.0,04,0.0,,,
Merkez / Perakende,1+1,13500.0,04,0.0,,,
Merkez / Perakende,2+0,14000.0,04,0.0,,,
Merkez / Perakende,2+1,15000.0,04,0.0,,,
Merkez / Perakende,3+1,22000.0,04,-7.368421052631578,,,
Merkez / Perakende,4+1,21500.0,04,0.0,,,
Merkez / Perakende,Stüdyo (1+0),7000.0,04,0.0,,,
Niksar,1+1,13000.0,04,0.0,,,
Niksar,2+1,14250.0,04,0.0,,,
Niksar,3+1,18000.0,04,0.0,,,
Niksar,4+1,25000.0,04,0.0,,,
Niksar / Merkez,2+1,11000.0,04,0.0,,,
Pazar,1+1,11500.0,04,0.0,,,
Pazar,3+1,20000.0,04,0.0,,,
Reşadiye,2+1,15000.0,04,0.0,,,
Reşadiye,3+1,17000.0,04,0.0,,,
Turhal,1+1,12000.0,04,0.0,,,
Turhal,2+1,15500.0,04,0.0,,,
Turhal,2.5+1,15000.0,04,0.0,,,
Turhal,3+1,18500.0,04,1.36986301369863,,,
Turhal,4+1,26000.0,04,0.0,,,
Turhal,4.5+1,21000.0,04,0.0,,,
Turhal,5+2,23500.0,04,0.0,,,
Zile,1+1,18000.0,04,0.0,,,
Zile,2+0,11750.0,04,0.0,,,
Zile,2+1,15250.0,04,0.0,,,
Zile,3+1,16500.0,04,0.0,,,
