District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Almus,3+1,20000.0,04,,,,
Erbaa,1+1,15500.0,04,,,,
Erbaa,2+0,22500.0,04,,,,
Erbaa,2+1,17500.0,04,,,,
Erbaa,3+1,17750.0,04,,,,
Erbaa,5+2,55000.0,04,,,,
Erbaa,Stüdyo (1+0),111111.0,04,,,,
Erbaa / Köyler,3+1,21000.0,04,,,,
Merkez,1+1,16750.0,04,,,,
Merkez,2+0,16750.0,04,,,,
Merkez,2+1,15250.0,04,,,,
Merkez,2+2,47500.0,04,,,,
Merkez,2.5+1,17500.0,04,,,,
Merkez,3+1,20625.0,04,,,,
Merkez,3.5+1,33750.0,04,,,,
Merkez,4+1,28250.0,04,,,,
Merkez,5+1,24750.0,04,,,,
Merkez,5+2,42500.0,04,,,,
Merkez,6+1,42500.0,04,,,,
Merkez,Stüdyo (1+0),12500.0,04,,,,
Merkez / Karşıyaka,1+1,15500.0,04,,,,
Merkez / Karşıyaka,2+0,13750.0,04,,,,
Merkez / Karşıyaka,2+1,17750.0,04,,,,
Merkez / Karşıyaka,2.5+1,23000.0,04,,,,
Merkez / Karşıyaka,3+1,24000.0,04,,,,
Merkez / Karşıyaka,3.5+1,30000.0,04,,,,
Merkez / Karşıyaka,4+1,29000.0,04,,,,
Merkez / Karşıyaka,4+2,20000.0,04,,,,
Merkez / Karşıyaka,4.5+1,37000.0,04,,,,
Merkez / Karşıyaka,5+2,16000.0,04,,,,
Merkez / Köyler,1+1,16500.0,04,,,,
Merkez / Köyler,2+1,18000.0,04,,,,
Merkez / Köyler,2.5+1,17000.0,04,,,,
Merkez / Köyler,3+1,23000.0,04,,,,
Merkez / Köyler,3.5+1,21500.0,04,,,,
Merkez / Köyler,4+1,32000.0,04,,,,
Merkez / Köyler,5+1,25000.0,04,,,,
Merkez / Köyler,Stüdyo (1+0),15000.0,04,,,,
Merkez / Perakende,1+1,12000.0,04,,,,
Merkez / Perakende,2+0,15000.0,04,,,,
Merkez / Perakende,2+1,14500.0,04,,,,
Merkez / Perakende,3+1,23000.0,04,,,,
Merkez / Perakende,4+1,30000.0,04,,,,
Niksar,1+1,14250.0,04,,,,
Niksar,2+0,10000.0,04,,,,
Niksar,2+1,18000.0,04,,,,
Niksar,3+1,17000.0,04,,,,
Niksar,4+1,21500.0,04,,,,
Niksar / Merkez,2+1,11000.0,04,,,,
Pazar,1+1,11500.0,04,,,,
Pazar,2+1,15000.0,04,,,,
Pazar,3+1,20000.0,04,,,,
Reşadiye,2+1,15000.0,04,,,,
Reşadiye,3+1,17000.0,04,,,,
Turhal,1+1,13500.0,04,,,,
Turhal,2+0,8000.0,04,,,,
Turhal,2+1,16000.0,04,,,,
Turhal,2.5+1,16500.0,04,,,,
Turhal,3+1,17500.0,04,,,,
Turhal,3.5+1,23250.0,04,,,,
Turhal,4+1,25000.0,04,,,,
Turhal,4.5+1,23000.0,04,,,,
Turhal,7+1,20500.0,04,,,,
Zile,1+1,18000.0,04,,,,
Zile,2+0,12750.0,04,,,,
Zile,2+1,14500.0,04,,,,
Zile,2+2,15500.0,04,,,,
Zile,3+1,16250.0,04,,,,
Zile,4+1,25000.0,04,,,,
