District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Almus / Ormandibi,2+2,22000.0,04,0.0,,,
Erbaa,1+1,16000.0,04,0.0,-3.0303030303030303,-3.0303030303030303,-5.88235294117647
Erbaa,2+0,19000.0,04,0.0,-11.627906976744185,-11.627906976744185,-17.391304347826086
Erbaa,2+1,17000.0,04,0.0,1.4925373134328357,3.0303030303030303,3.0303030303030303
Erbaa,2.5+1,20000.0,04,0.0,0.0,0.0,0.0
Erbaa,3+1,17500.0,04,0.0,-2.7777777777777777,0.0,-7.894736842105263
Erbaa,4+1,20000.0,04,0.0,-13.043478260869565,-13.043478260869565,-31.03448275862069
Erbaa,4.5+1,50000.0,04,0.0,0.0,,
Erbaa,Stüdyo (1+0),111111.0,04,0.0,0.0,0.0,
Erbaa / Gökal,3+1,16000.0,04,0.0,0.0,0.0,
Merkez,1+1,16625.0,04,0.7575757575757576,-0.7462686567164178,-0.7462686567164178,1.9938650306748467
Merkez,1.5+1,20000.0,04,0.0,0.0,,
Merkez,10 Üzeri,250000.0,04,0.0,0.0,,
Merkez,2+0,17250.0,04,0.0,1.4705882352941175,1.4705882352941175,9.523809523809524
Merkez,2+1,15875.0,04,-0.78125,4.098360655737705,3.2520325203252036,7.627118644067797
Merkez,2.5+1,17750.0,04,0.0,-1.3888888888888888,1.4285714285714286,5.970149253731343
Merkez,3+1,20875.0,04,1.8292682926829267,-1.7647058823529411,-1.7647058823529411,-1.7647058823529411
Merkez,3+2,22500.0,04,0.0,,,
Merkez,3.5+1,36000.0,04,0.0,0.0,-10.0,-8.860759493670885
Merkez,4+0,42000.0,04,0.0,0.0,0.0,0.0
Merkez,4+1,35000.0,04,-3.4482758620689653,0.7194244604316548,0.7194244604316548,16.666666666666664
Merkez,5+1,34500.0,04,0.0,-13.750000000000002,13.114754098360656,39.39393939393939
Merkez,5+2,42500.0,04,0.0,0.0,0.0,21.428571428571427
Merkez,6+1,45000.0,04,5.88235294117647,5.88235294117647,5.88235294117647,5.88235294117647
Merkez,Stüdyo (1+0),12300.0,04,-1.6,0.0,-1.6,0.0
Merkez / Karşıyaka,1+1,16250.0,04,0.0,-1.5151515151515151,-2.9850746268656714,4.838709677419355
Merkez / Karşıyaka,2+0,16250.0,04,0.0,0.0,12.068965517241379,12.068965517241379
Merkez / Karşıyaka,2+1,20000.0,04,-1.2345679012345678,-3.614457831325301,5.263157894736842,11.11111111111111
Merkez / Karşıyaka,3+1,22500.0,04,0.0,2.272727272727273,-2.1739130434782608,-9.090909090909092
Merkez / Karşıyaka,3.5+1,31000.0,04,-3.125,-3.125,-3.125,3.3333333333333335
Merkez / Karşıyaka,4+1,31000.0,04,9.734513274336283,9.734513274336283,0.0,21.568627450980394
Merkez / Karşıyaka,4.5+1,38000.0,04,0.0,0.0,2.013422818791946,2.7027027027027026
Merkez / Karşıyaka,5+1,32000.0,04,0.0,,,
Merkez / Karşıyaka,Stüdyo (1+0),13000.0,04,0.0,0.0,,
Merkez / Köyler,1+1,17500.0,04,0.0,6.0606060606060606,4.477611940298507,2.941176470588235
Merkez / Köyler,2+0,19000.0,04,0.0,-18.71657754010695,,61.702127659574465
Merkez / Köyler,2+1,17000.0,04,0.0,0.0,3.0303030303030303,-5.555555555555555
Merkez / Köyler,3+0,12500.0,04,0.0,0.0,,
Merkez / Köyler,3+1,25750.0,04,0.0,4.040404040404041,3.0,5.1020408163265305
Merkez / Köyler,3.5+1,20000.0,04,0.0,0.0,0.0,0.0
Merkez / Köyler,4+1,32250.0,04,0.0,4.032258064516129,13.157894736842104,21.69811320754717
Merkez / Perakende,1+1,13500.0,04,0.0,-10.0,0.0,0.0
Merkez / Perakende,2+0,14000.0,04,0.0,3.7037037037037033,0.0,0.0
Merkez / Perakende,2+1,13750.0,04,0.0,-11.29032258064516,-11.29032258064516,-8.333333333333332
Merkez / Perakende,3+1,21750.0,04,3.571428571428571,-3.3333333333333335,-3.3333333333333335,-8.421052631578947
Merkez / Perakende,4+1,32000.0,04,0.0,0.0,18.51851851851852,48.837209302325576
Niksar,1+1,13750.0,04,0.0,0.0,-1.7857142857142856,1.8518518518518516
Niksar,2+0,16000.0,04,,,,60.0
Niksar,2+1,14250.0,04,1.7857142857142856,9.615384615384617,9.615384615384617,0.0
Niksar,3+1,16500.0,04,0.0,-10.81081081081081,-17.5,-8.333333333333332
Niksar,4+1,20500.0,04,0.0,-18.0,-18.0,0.0
Niksar / Merkez,2+1,10000.0,04,-16.666666666666664,0.0,,-9.090909090909092
Pazar,1+1,11500.0,04,0.0,0.0,0.0,0.0
Pazar,2.5+1,17000.0,04,,,,
Pazar,3+1,19750.0,04,0.0,0.0,0.0,-1.25
Reşadiye,1+1,15000.0,04,-6.25,-6.25,,
Reşadiye,2+1,10000.0,04,0.0,0.0,,-33.33333333333333
Reşadiye,3+1,13000.0,04,0.0,0.0,-23.52941176470588,-23.52941176470588
Turhal,1+1,15000.0,04,-6.25,0.0,0.0,25.0
Turhal,2+1,17000.0,04,0.0,-8.108108108108109,-5.555555555555555,10.569105691056912
Turhal,2.5+1,15500.0,04,0.0,0.0,0.0,14.814814814814813
Turhal,3+1,18000.0,04,0.0,-2.7027027027027026,-3.997439931731513,-1.36986301369863
Turhal,3.5+1,12000.0,04,0.0,0.0,0.0,
Turhal,4+1,25000.0,04,0.0,-3.8461538461538463,-3.8461538461538463,-3.8461538461538463
Turhal,4.5+1,23500.0,04,0.0,0.0,0.0,11.904761904761903
Zile,1+1,16250.0,04,0.0,0.0,3.1746031746031744,-9.722222222222223
Zile,2+0,15000.0,04,0.0,0.0,0.0,27.659574468085108
Zile,2+1,15500.0,04,0.0,3.3333333333333335,10.714285714285714,1.639344262295082
Zile,3+0,12000.0,04,0.0,0.0,,
Zile,3+1,18000.0,04,2.857142857142857,5.88235294117647,2.857142857142857,9.090909090909092
