url,name,brand,sku,original_price,member_price,discount,stock,image
https://www.watsons.com.tr/show-by-pastel-show-your-happiness-blush-allik-202-colorful/p/BP_1250515,Show By Pastel Show Your Happiness Blush Allık 202 Colorful,SHOW BY PASTEL,1250515,"349,90 ₺","139,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hb8/h40/8904623259678/prd-front-1250515_1200x1200/prd-front-1250515-1200x1200.png
https://www.watsons.com.tr/revolution-conceal-define-c10-kapatici/p/BP_160376,Revolution Conceal &amp; Define C10 Kapatıcı,REVOLUTION,160376,"599,90 ₺","199,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/had/h35/8905666789406/prd-front-160376_1200x1200/prd-front-160376-1200x1200.jpeg
https://www.watsons.com.tr/watsons-lavanta-kolonya-300-ml/p/BP_166179,Watsons Lavanta Kolonya 300 ml,WATSONS,166179,"139,90 ₺","79,95 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h4e/h56/8909120831518/prd-front-166179_1200x1200/prd-front-166179-1200x1200.png
https://www.watsons.com.tr/watsons-siyah-kulak-cubugu-200-adet/p/BP_1379301,Watsons Siyah Kulak Çubuğu 200 Adet,WATSONS,1379301,"189,90 ₺","74,95 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hc1/ha6/10211256139806/prd-front-1379301_1200x1200/prd-front-1379301-1200x1200.png
https://www.watsons.com.tr/pastel-oje-no-130/p/BP_116859,Pastel Oje No: 130,PASTEL,116859,"94,95 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hef/h7b/8900325605406/prd-front-116859_1200x1200/prd-front-116859-1200x1200.png
https://www.watsons.com.tr/aussie-bouncy-curls-nemlendiren-sac-kremi-1-lt/p/BP_1476020,Aussie Bouncy Curls Nemlendiren Saç Kremi 1 lt,AUSSIE,1476020,"1.219,90 ₺","487,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h4c/ha4/13254136922142/prd-front-1476020_1200x1200/prd-front-1476020-1200x1200.jpg
https://www.watsons.com.tr/orkid-yaprak-gunluk-ped-normal-ekonomik-paket-40-ped/p/BP_1409975,,,,N/A,N/A,N/A,,
https://www.watsons.com.tr/slipstop-24-26-numara-kiz-cocuk-kaydirmaz-ayakkabi-ivy/p/BP_1320347,Slipstop 24-26 Numara Kız Çocuk Kaydırmaz Ayakkabı Ivy,SLIPSTOP,1320347,"349,90 ₺","199,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h7a/h00/12736355205150/prd-front-1320347_1200x1200/prd-front-1320347-1200x1200.jpg
https://www.watsons.com.tr/rimmel-london-omg-dudak-balmi-003-mellow-mocha/p/BP_1447166,Rimmel London Omg Dudak Balmı 003 Mellow Mocha,RIMMEL LONDON,1447166,"1.064,90 ₺","339,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h20/h4d/12761432686622/prd-front-1447166_1200x1200/prd-front-1447166-1200x1200.jpg
https://www.watsons.com.tr/dove-beauty-cream-bar-go-fresh-fresh-touch-nemlendirici-krem-90-g/p/BP_104541,Dove Beauty Cream Bar Go Fresh Fresh Touch Nemlendirici Krem 90 g,DOVE,104541,"79,95 ₺","59,95 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h01/ha9/10344371159070/prd-front-104541_1200x1200/prd-front-104541-1200x1200.png
