url,name,price
https://www.watsons.com.tr/nivea-derma-skin-clear-sivilce-karsiti-tonik-200-ml/p/BP_1342278,Nivea Derma Skin Clear Sivilce Karşıtı Tonik 200 ml,"439,90 ₺"
https://www.watsons.com.tr/fa-pink-passion-kadin-roll-on-50-ml/p/BP_114536,N/A,N/A
https://www.watsons.com.tr/mul-adore-kadin-edp-50-ml/p/BP_1326801,Mul Adore Kadın EDP 50 ml,"199,00 ₺"
https://www.watsons.com.tr/solante-pigmenta-gunes-losyonu-spf50-150-ml/p/BP_1366911,N/A,N/A
https://www.watsons.com.tr/slipstop-belle-tisort-kiz-bebek-12-18-ay/p/BP_1438990,Slipstop Belle Tişört Kız Bebek 12-18 Ay,"149,00 ₺"
https://www.watsons.com.tr/mjeunesse-animal-yuz-maskesi-panda/p/BP_1366351,M.Jeunesse Animal Yüz Maskesi Panda,"274,90 ₺"
https://www.watsons.com.tr/dfeys-nemlendirici-yaslanma-karsiti-gunduz-gece-bakim-yuz-kremi-50-ml/p/BP_1453564,D'Feys Nemlendirici &amp; Yaşlanma Karşıtı Gündüz - Gece Bakım Yüz Kremi 50 ml,"831,90 ₺"
https://www.watsons.com.tr/slipstop-gru-kaydirmaz-ayakkabi-erkek-cocuk-21-23/p/BP_1439998,Slipstop Gru Kaydırmaz Ayakkabı Erkek Çocuk 21-23,"149,00 ₺"
https://www.watsons.com.tr/maybelline-new-york-fit-me-nude-cilt-bakimi-etkili-nemlendirici-spf50-bb-krem-40/p/BP_1437100,Maybelline New York Fit Me Nude Cilt Bakımı Etkili Nemlendirici SPF50 BB Krem 40,"649,90 ₺"
https://www.watsons.com.tr/dalan-botanica-dus-jeli-lotus-500-ml/p/BP_1292949,Dalan Botanica Duş Jeli Lotus 500 ml,"144,90 ₺"
https://www.watsons.com.tr/emotion-deodorant-spray-kadin-aqua-kiss-200-ml/p/BP_1386112,Emotion Deodorant Spray Kadın Aqua Kiss 200 ml,"265,90 ₺"
https://www.watsons.com.tr/wella-koleston-single-tup-boya-6-7-cikolata-kahve/p/BP_120496,Wella Koleston Single Tüp Boya 6/7 Çikolata Kahve,"129,90 ₺"
https://www.watsons.com.tr/golden-rose-city-color-oje-no-101/p/BP_167590,Golden Rose City Color Oje No: 101,"89,95 ₺"
https://www.watsons.com.tr/watsons-fresh-ultra-ince-lavanta-gunluk-ped-10lu/p/BP_1419593,Watsons Fresh+ Ultra İnce Lavanta Günlük Ped 10'lu,"54,95 ₺"
https://www.watsons.com.tr/max-factor-miracle-pure-fondoten-golden-75/p/BP_1333192,Max Factor Miracle Pure Fondöten Golden 75,"149,00 ₺"
https://www.watsons.com.tr/taft-ultimate-sprey-250-ml/p/BP_146456,Taft Ultimate Sprey 250 ml,"417,90 ₺"
