kategori,product_id,product_name,product_price
Et ve Tavuk,7303,Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Satılır) - 2 Kg.,599.8
Et ve Tavuk,9367,Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),429.9
Et ve Tavuk,2907,Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg.,299.9
Et ve Tavuk,7394,Akdeniz Toros Piliç But (Donuk Olarak Satılır) - 1 Kg.,259.9
Et ve Tavuk,9360,Akdeniz Toros Piliç Izgara Tava (Donuk Olarak Satılır) - 1 Kg.,359.9
Et ve Tavuk,9359,Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg.,529.9
Et ve Tavuk,11069,Akdeniz Toros Piliç Kangal Sucuk 250 Gr,189.9
Et ve Tavuk,11064,Akdeniz Toros Piliç Nuggut 500 Gr,279.9
Et ve Tavuk,9368,Akdeniz Toros Tavuk Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),189.9
Et ve Tavuk,12301,Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR,519.0
Et ve Tavuk,12297,Apikoğlu Dana Kangal Sucuk 280 Gr,749.9
Et ve Tavuk,12299,Apikoğlu Dana Parmak Sucuk - 500 Gr.,1199.5
Et ve Tavuk,12904,Apikoğlu Dana Yarım Kangal Sucuk 180 Gr,299.9
Et ve Tavuk,12303,Apikoğlu Kurutulmuş Dana Füme Et 100 GR,569.0
Et ve Tavuk,1968,Bolca Hindi Bonfile - 1 Kg.,539.9
Et ve Tavuk,1969,Bolca Tabaklı Alt But Kemiksiz Hindi - 1 Kg.,559.9
Et ve Tavuk,6603,Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr,199.9
Et ve Tavuk,12890,Çapanoğlu Dana Füme Et 60 Gr,159.9
Et ve Tavuk,6519,Çapanoğlu Dana Kurutulmuş Füme Et 60 Gr,259.9
Et ve Tavuk,6522,Çapanoğlu Fümechef Dana Füme Antrikot 100 Gr,399.9
Et ve Tavuk,12406,Çapanoğlu Fümechef Karabiberli Dana Rosatbeef 100 Gr,399.9
Et ve Tavuk,8066,Akdeniz Toros Bütün Piliç (Donuk Olarak Satılır) - 2 Kg.,539.8
Et ve Tavuk,11066,Akdeniz Toros Dana Burger 360 Gr,569.9
Et ve Tavuk,11067,Akdeniz Toros Dana kangal Sucuk (Acısız) 200 Gr,349.9
Et ve Tavuk,11068,Akdeniz Toros Dana Sosis 5'li 250 Gr,329.9
Et ve Tavuk,7303,Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak Satılır) - 2 Kg.,599.8
Et ve Tavuk,9367,Akdeniz Toros Kıyma Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),429.9
Et ve Tavuk,2907,Akdeniz Toros Piliç Baget (Donuk Olarak Satılır) - 1 Kg.,299.9
Et ve Tavuk,7394,Akdeniz Toros Piliç But (Donuk Olarak Satılır) - 1 Kg.,259.9
Et ve Tavuk,9360,Akdeniz Toros Piliç Izgara Tava (Donuk Olarak Satılır) - 1 Kg.,359.9
Et ve Tavuk,9359,Akdeniz Toros Piliç Kanat (Donuk Olarak Satılır) - 1 Kg.,529.9
Et ve Tavuk,11069,Akdeniz Toros Piliç Kangal Sucuk 250 Gr,189.9
Et ve Tavuk,11064,Akdeniz Toros Piliç Nuggut 500 Gr,279.9
Et ve Tavuk,9368,Akdeniz Toros Tavuk Döner (Pişmiş) 250 Gr (Donuk Olarak Satılır),189.9
Et ve Tavuk,12301,Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR,519.0
Et ve Tavuk,12297,Apikoğlu Dana Kangal Sucuk 280 Gr,749.9
Et ve Tavuk,12299,Apikoğlu Dana Parmak Sucuk - 500 Gr.,1199.5
Et ve Tavuk,12904,Apikoğlu Dana Yarım Kangal Sucuk 180 Gr,299.9
Et ve Tavuk,12303,Apikoğlu Kurutulmuş Dana Füme Et 100 GR,569.0
Et ve Tavuk,1968,Bolca Hindi Bonfile - 1 Kg.,539.9
Et ve Tavuk,1969,Bolca Tabaklı Alt But Kemiksiz Hindi - 1 Kg.,559.9
Et ve Tavuk,6603,Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr,199.9
Et ve Tavuk,12890,Çapanoğlu Dana Füme Et 60 Gr,159.9
Et ve Tavuk,6519,Çapanoğlu Dana Kurutulmuş Füme Et 60 Gr,259.9
Et ve Tavuk,6522,Çapanoğlu Fümechef Dana Füme Antrikot 100 Gr,399.9
Et ve Tavuk,12406,Çapanoğlu Fümechef Karabiberli Dana Rosatbeef 100 Gr,399.9
"Süt, Kahvaltılık, Sark.",12602,Activia Ananas&Yulaf&Hindistan Cevizli Probiyotikli Blow,49.5
"Süt, Kahvaltılık, Sark.",1797,Activia Doğal Probiyotikli Ananaslı Yoğurt 4*100 Gr,114.9
"Süt, Kahvaltılık, Sark.",7647,Activia Doğal Probiyotikli Çilekli Yoğurt 4*100 Gr,114.9
"Süt, Kahvaltılık, Sark.",7558,Activia Doğal Probiyotikli İncir&Cevizli Yoğurt 4*100 Gr,114.9
"Süt, Kahvaltılık, Sark.",7646,Activia Doğal Probiyotikli Kuru Kayısılı Yoğurt 4*100 Gr,114.9
"Süt, Kahvaltılık, Sark.",7968,Activia Doğal Probiyotikli Orman Meyveli Yoğurt 4*100 Gr,114.9
"Süt, Kahvaltılık, Sark.",7333,Activia Doğal Probiyotikli Sade Yoğurt 4*100 Gr,114.9
"Süt, Kahvaltılık, Sark.",9583,Activia Laktozsuz Probiyotik Sade Yoğurt 4'lü 100 Gr,114.9
"Süt, Kahvaltılık, Sark.",12089,Activia Probiyotikli Bowl Ahududu&Yulaf&Ceviz,49.5
"Süt, Kahvaltılık, Sark.",12090,Activia Probiyotikli Bowl Muz&Yulaf&Fındık,49.5
"Süt, Kahvaltılık, Sark.",12088,Activia Probiyotikli Bowl Yaban Mersini&Chia,49.5
"Süt, Kahvaltılık, Sark.",8941,Activia x2 Probiyotik Ahududu&Hibisküs Shot 80 Ml,32.5
"Süt, Kahvaltılık, Sark.",11070,Akdeniz Toros Mantı 500 Gr,179.9
"Süt, Kahvaltılık, Sark.",9002,Alan Kuru Sele Zeytin - 500 Gr.,199.95
"Süt, Kahvaltılık, Sark.",8986,Alan Yağlı Sele Zeytin - 500 Gr.,249.95
"Süt, Kahvaltılık, Sark.",4465,Alpella Çikolatalı Süt 200 Ml,21.9
"Süt, Kahvaltılık, Sark.",6347,Alpro Şekersiz Badem Sütü 1 Lt,149.95
"Süt, Kahvaltılık, Sark.",12614,Anavarza Çam Balı 325 Gr,349.9
"Süt, Kahvaltılık, Sark.",7135,Anavarza Çam Balı 450 Gr,399.9
"Süt, Kahvaltılık, Sark.",8406,Anavarza Çam Balı 850 Gr,699.9
"Süt, Kahvaltılık, Sark.",7129,Anavarza Çiçek Balı 450 Gr,299.95
"Süt, Kahvaltılık, Sark.",8410,Anavarza Çiçek Balı 850 Gr,499.9
"Süt, Kahvaltılık, Sark.",614,Anavarza Çiçek Balı Akıllı Kapak 325 Gr,317.5
"Süt, Kahvaltılık, Sark.",9848,Anavarza Keven Kekik Balı 450 Gr,499.9
"Süt, Kahvaltılık, Sark.",1757,Anavarza Keven Kekik Balı 850 Gr,845.9
"Süt, Kahvaltılık, Sark.",12602,Activia Ananas&Yulaf&Hindistan Cevizli Probiyotikli Blow,49.5
"Süt, Kahvaltılık, Sark.",1797,Activia Doğal Probiyotikli Ananaslı Yoğurt 4*100 Gr,114.9
"Süt, Kahvaltılık, Sark.",7647,Activia Doğal Probiyotikli Çilekli Yoğurt 4*100 Gr,114.9
"Süt, Kahvaltılık, Sark.",7558,Activia Doğal Probiyotikli İncir&Cevizli Yoğurt 4*100 Gr,114.9
"Süt, Kahvaltılık, Sark.",7646,Activia Doğal Probiyotikli Kuru Kayısılı Yoğurt 4*100 Gr,114.9
"Süt, Kahvaltılık, Sark.",7968,Activia Doğal Probiyotikli Orman Meyveli Yoğurt 4*100 Gr,114.9
"Süt, Kahvaltılık, Sark.",7333,Activia Doğal Probiyotikli Sade Yoğurt 4*100 Gr,114.9
"Süt, Kahvaltılık, Sark.",9583,Activia Laktozsuz Probiyotik Sade Yoğurt 4'lü 100 Gr,114.9
"Süt, Kahvaltılık, Sark.",12089,Activia Probiyotikli Bowl Ahududu&Yulaf&Ceviz,49.5
"Süt, Kahvaltılık, Sark.",12090,Activia Probiyotikli Bowl Muz&Yulaf&Fındık,49.5
"Süt, Kahvaltılık, Sark.",12088,Activia Probiyotikli Bowl Yaban Mersini&Chia,49.5
"Süt, Kahvaltılık, Sark.",8941,Activia x2 Probiyotik Ahududu&Hibisküs Shot 80 Ml,32.5
