brand,sku,original_price,member_price,discount,stock,image
GOLDEN ROSE,1365343,"9,99 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h67/h78/9404964438046/prd-front-1365343_1200x1200/prd-front-1365343-1200x1200.jpg
FLORMAR,142410,"499,90 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h48/h9c/9273817497630/prd-front-142410_1200x1200/prd-front-142410-1200x1200.png
EYÜP SABRİ TUNCER,1357881,"117,90 ₺","99,95 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hd8/hbf/10168574246942/prd-front-1357881_1200x1200/prd-front-1357881-1200x1200.jpg
NASCITA,1332058,"269,90 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/he3/hba/9021708206110/prd-front-1332058_1200x1200/prd-front-1332058-1200x1200.png
REBUL EXC.,1481221,"499,90 ₺","199,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hbe/ha9/13611081924638/prd-front-1481221_1200x1200/prd-front-1481221-1200x1200.jpg
NOTE,1481039,"599,90 ₺","239,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h44/hf7/13600295845918/prd-front-1481039_1200x1200/prd-front-1481039-1200x1200.jpg
UDV,1459864,"489,90 ₺","193,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h79/h4d/13121647312926/prd-front-1459864_1200x1200/prd-front-1459864-1200x1200.jpg
REVOLUTION,1417934,"1.299,90 ₺","519,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h36/h05/11739046477854/prd-front-1417934_1200x1200/prd-front-1417934-1200x1200.jpg
NATURALS BY WATSONS,1286362,"39,95 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hc1/hef/8905215442974/prd-front-1286362_1200x1200/prd-front-1286362-1200x1200.png
AUSSIE,1476027,"199,00 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h55/h25/13254139707422/prd-front-1476027_1200x1200/prd-front-1476027-1200x1200.jpg
NOTE,1398131,"1.099,90 ₺","439,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h36/hff/12505107726366/prd-front-1398131_1200x1200/prd-front-1398131-1200x1200.jpg
I HEART REVOLUTION,1444534,"199,00 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h26/hb3/12761425412126/prd-front-1444534_1200x1200/prd-front-1444534-1200x1200.jpg
GOLDEN ROSE,1287580,"99,95 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hf1/h90/8905232351262/prd-front-1287580_1200x1200/prd-front-1287580-1200x1200.png
SLIPSTOP,1398929,"149,00 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hbe/h76/12736398065694/prd-front-1398929_1200x1200/prd-front-1398929-1200x1200.jpg
JOHN FRIEDA,128134,"699,90 ₺","279,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h5c/hc0/12209159045150/prd-front-128134_1200x1200/prd-front-128134-1200x1200.jpg
,,N/A,N/A,N/A,,
NYX,155847,"899,90 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/he5/h32/11964827893790/prd-front-155847_1200x1200/prd-front-155847-1200x1200.jpg
FLORMAR,1241135,"399,90 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hc0/h8d/13588353253406/prd-front-1241135_1200x1200/prd-front-1241135-1200x1200.jpg
MORFOSE EXC.,1334291,"329,90 ₺","149,00 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h3b/h10/14189098369054/prd-front-1334291_1200x1200/prd-front-1334291-1200x1200.jpg
,,N/A,N/A,N/A,,
MAYBELLINE,1425067,"1.399,90 ₺","699,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h5f/hec/11907958669342/prd-front-1425067_1200x1200/prd-front-1425067-1200x1200.jpg
SHOW BY PASTEL,1250536,"349,90 ₺","139,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hd1/h19/8903912325150/prd-front-1250536_1200x1200/prd-front-1250536-1200x1200.png
MOLPED,163648,"307,90 ₺","154,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hf3/hb1/13944964349982/prd-front-163648_1200x1200/prd-front-163648-1200x1200.jpg
HERBAL ESSENCES,1395324,"589,90 ₺","234,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h4d/hfa/10344485290014/prd-front-1395324_1200x1200/prd-front-1395324-1200x1200.jpg
HEAD&amp;SHOULDERS,1481655,"2.499,90 ₺","999,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hf5/h09/13683274317854/prd-front-1481655_1200x1200/prd-front-1481655-1200x1200.jpg
NYX,1384075,"2.149,90 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h99/h5a/10525802758174/prd-front-1384075_1200x1200/prd-front-1384075-1200x1200.jpg
LOREAL PARIS,1480647,"2.119,90 ₺","949,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/ha5/h4d/13857038237726/prd-front-1480647_1200x1200/prd-front-1480647-1200x1200.jpg
DEBORAH,151748,"199,00 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hd5/hba/8902561824798/prd-front-151748_1200x1200/prd-front-151748-1200x1200.jpeg
,,N/A,N/A,N/A,,
ELSEVE,173911,"499,90 ₺","199,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hf3/h7e/8910765195294/prd-front-173911_1200x1200/prd-front-173911-1200x1200.png
GILLETTE,1390459,"499,90 ₺","381,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h6f/h1c/10095064514590/prd-front-1390459_1200x1200/prd-front-1390459-1200x1200.jpg
DURU,1477119,"349,90 ₺","149,00 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hf1/h87/13319647395870/prd-front-1477119_1200x1200/prd-front-1477119-1200x1200.jpg
COLLAGEN BY WATSONS,1455902,"1.199,90 ₺","399,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hb6/hfb/14104276598814/prd-front-1455902_1200x1200/prd-front-1455902-1200x1200.png
SHOW BY PASTEL,1353044,"429,90 ₺","169,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hab/h1a/9325089325086/prd-front-1353044_1200x1200/prd-front-1353044-1200x1200.png
D'FEYS,1453578,"663,90 ₺","264,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h80/h80/12865145110558/prd-front-1453578_1200x1200/prd-front-1453578-1200x1200.jpg
LADOR,1434146,"1.349,90 ₺","539,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h23/h2d/12150689988638/prd-front-1434146_1200x1200/prd-front-1434146-1200x1200.jpg
MICHEAL KORS,1427615,"6.869,90 ₺","3.999,00 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hb0/h66/11882334683166/prd-front-1427615_1200x1200/prd-front-1427615-1200x1200.jpg
Youpick,1442812,"149,00 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hc4/h03/12431003942942/prd-front-1442812_1200x1200/prd-front-1442812-1200x1200.jpg
,,N/A,N/A,N/A,,
PASTEL,1445962,"29,95 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h3e/ha3/12524965036062/prd-front-1445962_1200x1200/prd-front-1445962-1200x1200.jpg
,,N/A,N/A,N/A,,
SENSODYNE,1392279,"499,90 ₺","299,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h60/h50/13602231713822/prd-front-1392279_1200x1200/prd-front-1392279-1200x1200.jpg
LOREAL PARIS,1369151,"1.699,90 ₺","1.019,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h9a/ha2/9674415964190/prd-front-1369151_1200x1200/prd-front-1369151-1200x1200.jpg
WELLA,1443974,"289,90 ₺","129,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hbf/h01/12354168127518/prd-front-1443974_1200x1200/prd-front-1443974-1200x1200.jpg
CLEAR,1427020,"469,90 ₺","159,00 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h2f/h15/11862410395678/prd-front-1427020_1200x1200/prd-front-1427020-1200x1200.jpg
NIVEA VISAGE,1342278,"439,90 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/he8/h15/11480244027422/prd-front-1342278_1200x1200/prd-front-1342278-1200x1200.png
,,N/A,N/A,N/A,,
NOTE,1419110,"379,90 ₺","149,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h68/h5b/11401870868510/prd-front-1419110_1200x1200/prd-front-1419110-1200x1200.png
SHOW BY PASTEL,1353016,"429,90 ₺","169,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h7a/he0/9325095878686/prd-front-1353016_1200x1200/prd-front-1353016-1200x1200.png
BANILA CO,1378251,"1.024,90 ₺","409,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/haf/hed/12270295810078/prd-front-1378251_1200x1200/prd-front-1378251-1200x1200.jpg
LE PETIT MARSEILLAIS,1323245,"515,90 ₺","309,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h58/h18/11798840672286/prd-front-1323245_1200x1200/prd-front-1323245-1200x1200.jpg
CELENES,1328313,"149,00 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h56/h86/13121572077598/prd-front-1328313_1200x1200/prd-front-1328313-1200x1200.jpg
BIOBLAS,125989,"299,90 ₺","119,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h8f/hfa/12941387038750/prd-front-125989_1200x1200/prd-front-125989-1200x1200.jpg
MAX FACTOR,1322790,"464,90 ₺","139,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hc2/hdf/11682792013854/prd-front-1322790_1200x1200/prd-front-1322790-1200x1200.jpg
GOLDEN ROSE,1332366,"624,90 ₺","249,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h6d/h39/10207146999838/prd-front-1332366_1200x1200/prd-front-1332366-1200x1200.jpg
PASTEL,1480703,"439,90 ₺","174,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h87/ha6/13603486629918/prd-front-1480703_1200x1200/prd-front-1480703-1200x1200.jpg
WATSONS,171438,"29,95 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h6a/hb9/8909982695454/prd-front-171438_1200x1200/prd-front-171438-1200x1200.png
KOLESTON,123646,"549,90 ₺","349,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hd4/h1e/10595632545822/prd-front-123646_1200x1200/prd-front-123646-1200x1200.jpg
GOLDEN ROSE,1332373,"624,90 ₺","249,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/he5/h7a/10207148048414/prd-front-1332373_1200x1200/prd-front-1332373-1200x1200.jpg
THE PUREST SOLUTIONS,1313424,"819,90 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hd2/h7a/9751769382942/prd-front-1313424_1200x1200/prd-front-1313424-1200x1200.jpg
ESSENCE,1465191,"229,90 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h8a/h88/13217542635550/prd-front-1465191_1200x1200/prd-front-1465191-1200x1200.jpg
NYX,155833,"899,90 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h85/h21/11964827369502/prd-front-155833_1200x1200/prd-front-155833-1200x1200.jpg
N/A,1427069,"315,90 ₺","159,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h97/hac/11922206359582/prd-front-1427069_1200x1200/prd-front-1427069-1200x1200.png
ELİDOR,1409737,"444,90 ₺","149,00 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/haf/h00/13121594621982/prd-front-1409737_1200x1200/prd-front-1409737-1200x1200.jpg
,,N/A,N/A,N/A,,
REVOLUTION,1443456,"749,90 ₺","199,00 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h91/h50/12514084487198/prd-front-1443456_1200x1200/prd-front-1443456-1200x1200.jpg
DICORA URBAN FIT,1460053,"1.374,90 ₺","499,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h26/haf/13650661244958/prd-front-1460053_1200x1200/prd-front-1460053-1200x1200.jpg
KELEBEK,129778,"244,90 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h3b/h1e/12600111988766/prd-front-129778_1200x1200/prd-front-129778-1200x1200.jpg
WATSONS,1345141,"259,90 ₺","89,00 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h58/h51/9944228134942/prd-front-1345141_1200x1200/prd-front-1345141-1200x1200.jpg
KOLESTON,1355032,"249,90 ₺","159,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h63/hab/10595773317150/prd-front-1355032_1200x1200/prd-front-1355032-1200x1200.jpg
DOVE,161826,"292,90 ₺","199,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hc2/h9e/9346654634014/prd-front-161826_1200x1200/prd-front-161826-1200x1200.jpg
ROBERTO CAVALLI,1409905,"5.929,90 ₺","3.999,00 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h83/h58/11167466946590/prd-front-1409905_1200x1200/prd-front-1409905-1200x1200.jpg
KELEBEK,1387540,"214,90 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hca/h7a/12600115855390/prd-front-1387540_1200x1200/prd-front-1387540-1200x1200.jpg
,,N/A,N/A,N/A,,
PASTEL,1420398,"94,95 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h2d/h22/11475809599518/prd-front-1420398_1200x1200/prd-front-1420398-1200x1200.jpg
PASTEL,1377271,"984,90 ₺","393,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h3b/h38/9752918261790/prd-front-1377271_1200x1200/prd-front-1377271-1200x1200.png
MAYBELLINE,165863,"1.249,90 ₺","419,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h81/h08/9509710364702/prd-front-165863_1200x1200/prd-front-165863-1200x1200.jpg
GOLDEN ROSE,1332345,"624,90 ₺","249,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h68/h4b/10207146410014/prd-front-1332345_1200x1200/prd-front-1332345-1200x1200.jpg
NYX,1410339,"1.049,90 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hf1/hc8/11303216906270/prd-front-1410339_1200x1200/prd-front-1410339-1200x1200.jpg
SLIPSTOP,1399755,"299,90 ₺","149,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h63/h85/12736401473566/prd-front-1399755_1200x1200/prd-front-1399755-1200x1200.jpg
ESSENCE,1446536,"299,90 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h34/h3b/12430919532574/prd-front-1446536_1200x1200/prd-front-1446536-1200x1200.jpg
REVOLUTION,1460242,"999,90 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h88/h85/13319618461726/prd-front-1460242_1200x1200/prd-front-1460242-1200x1200.jpg
NOTE,1481046,"599,90 ₺","239,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h3a/h5e/13600304037918/prd-front-1481046_1200x1200/prd-front-1481046-1200x1200.jpg
PALETTE,114229,"449,90 ₺","314,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hda/h35/9264623583262/prd-front-114229_1200x1200/prd-front-114229-1200x1200.png
,,N/A,N/A,N/A,,
,,N/A,N/A,N/A,,
WATSONS,163052,"39,95 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/he7/h61/9674411245598/prd-front-163052_1200x1200/prd-front-163052-1200x1200.png
,,N/A,N/A,N/A,,
GARNIER,158072,"559,90 ₺","334,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h65/h23/10287209250846/prd-front-158072_1200x1200/prd-front-158072-1200x1200.png
PASTEL,1347500,"699,90 ₺","279,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h62/h08/10070971678750/prd-front-1347500_1200x1200/prd-front-1347500-1200x1200.png
WATSONS,1404515,"109,90 ₺","59,95 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h06/h45/11818865098782/prd-front-1404515_1200x1200/prd-front-1404515-1200x1200.png
ARİFOĞLU,1374737,"329,90 ₺","229,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h92/hb3/9595120123934/prd-front-1374737_1200x1200/prd-front-1374737-1200x1200.jpg
GOLDEN ROSE,168042,"809,90 ₺","323,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hce/hca/10207103352862/prd-front-168042_1200x1200/prd-front-168042-1200x1200.jpg
GOLDEN ROSE,1429771,"99,95 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hff/h5c/11949393772574/prd-front-1429771_1200x1200/prd-front-1429771-1200x1200.jpg
,,N/A,N/A,N/A,,
,,N/A,N/A,N/A,,
NASCITA EXC.,1447320,"79,95 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h05/hf0/12450673917982/prd-front-1447320_1200x1200/prd-front-1447320-1200x1200.jpg
MIA KLINIKA,1383235,"675,90 ₺","269,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/he2/h73/10566221627422/prd-front-1383235_1200x1200/prd-front-1383235-1200x1200.jpg
PASTEL,149404,"559,90 ₺","223,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h97/h94/8902271631390/prd-front-149404_1200x1200/prd-front-149404-1200x1200.jpeg
WATSONS,160060,"4,99 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hd3/h43/8905569599518/prd-front-160060_1200x1200/prd-front-160060-1200x1200.png
MIINE,1357930,"369,90 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h24/h9d/9571633397790/prd-front-1357930_1200x1200/prd-front-1357930-1200x1200.png
DOVE,1374702,"489,90 ₺","169,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h70/hf6/9587438256158/prd-front-1374702_1200x1200/prd-front-1374702-1200x1200.png
AXE,1434790,"299,90 ₺","174,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/he8/hca/12270403485726/prd-front-1434790_1200x1200/prd-front-1434790-1200x1200.jpg
N/A,168033,"315,90 ₺","159,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/he0/hba/9312526630942/prd-front-168033_1200x1200/prd-front-168033-1200x1200.png
WATSONS,1290723,"109,90 ₺","59,00 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h90/h71/8960637239326/prd-front-1290723_1200x1200/prd-front-1290723-1200x1200.jpg
