District,Rooms,Price
Talas,3+1,14750.0
Talas,2.5+1,18500.0
Talas,2.5+1,17000.0
Talas,3+1,19500.0
Kocasinan / Fevziçakmak,3+1,18000.0
Melikgazi / Şeker/Keykubat,3+1,18000.0
Talas,3+1,19250.0
Talas,3+1,16750.0
Melikgazi / Gesi,3+1,16500.0
Talas,3+1,17500.0
Melikgazi / Gesi,3+1,15500.0
Melikgazi / Gesi,2+1,14500.0
Melikgazi / Mimarsinan,2+1,10000.0
Melikgazi / Çiftlik,3+1,17500.0
Talas,1+1,16500.0
Kocasinan / Fevziçakmak,3+1,14000.0
Melikgazi / Becen,2+1,7500.0
Kocasinan / İldem/Beyazşehir,3+1,14500.0
Kocasinan / Merkez,3+1,15000.0
Melikgazi / Hürriyet,2+1,16000.0
Melikgazi / Mimarsinan,3+1,13500.0
Melikgazi / Merkez,2+1,10000.0
Melikgazi / Mimarsinan,3+1,11500.0
Kocasinan / Fevziçakmak,3+1,12500.0
Kocasinan / Merkez,2+1,15500.0
Melikgazi / Kazımkarabekir,3+1,13000.0
Kocasinan / Fevziçakmak,3+1,12000.0
Talas,3+1,15500.0
Melikgazi / Mimarsinan,3+1,12000.0
Kocasinan / Erkilet,2+1,12500.0
Talas,Stüdyo (1+0),14000.0
Develi,3+1,15000.0
Talas,1+1,19000.0
Kocasinan / Erkilet,3+1,16500.0
Kocasinan / Yenimahalle,3+1,16000.0
Talas,3+1,12000.0
Melikgazi / Mimarsinan,2+1,12000.0
Melikgazi / Şeker/Keykubat,2+1,11500.0
Yahyalı,3+1,15000.0
Melikgazi / Şeker/Keykubat,3+1,16000.0
Talas,3+1,14000.0
Melikgazi / Merkez,3+1,19750.0
Talas,2.5+1,18000.0
Develi,3+1,12500.0
Melikgazi / Hürriyet,3+1,7000.0
Kocasinan / Erkilet,2+1,18500.0
Melikgazi / Mimarsinan,3+1,16000.0
Kocasinan / Fevziçakmak,3+1,10000.0
Kocasinan / Erkilet,3+1,18000.0
Talas,2+1,17500.0
Kocasinan / İldem/Beyazşehir,2+1,12000.0
Melikgazi / Gesi,3+1,15500.0
Talas,3+1,19250.0
Kocasinan / Yenişehir,3+1,14500.0
Melikgazi / Mimarsinan,3+1,16500.0
Kocasinan / Merkez,2+1,14000.0
Talas,3+1,10000.0
Kocasinan / Argıncık,2+0,10000.0
Kocasinan / Fevziçakmak,3+1,14000.0
Talas,2.5+1,14500.0
Kocasinan / İldem/Beyazşehir,2+1,17000.0
Talas,3+1,16000.0
Kocasinan / Erkilet,2+1,18000.0
Melikgazi / Mimarsinan,3+1,10000.0
Melikgazi / Gesi,3+1,18000.0
Kocasinan / Fevziçakmak,3+1,13500.0
Kocasinan / Yenişehir,3+1,16000.0
Melikgazi / Hürriyet,2+1,10000.0
Talas,3+1,16000.0
Talas,3+1,18000.0
Melikgazi / Şeker/Keykubat,3+1,10000.0
Talas,2+1,16500.0
Melikgazi / Mimarsinan,2+1,9000.0
Melikgazi / Şeker/Keykubat,3+1,13750.0
Talas,2+1,10000.0
Kocasinan / Yenimahalle,1+1,10000.0
Melikgazi / Gesi,3+1,14000.0
Talas,2.5+1,18000.0
Melikgazi / Mimarsinan,3+1,17500.0
Kocasinan / İldem/Beyazşehir,3+1,14750.0
Talas,2+1,15000.0
Melikgazi / Mimarsinan,3+1,12000.0
Melikgazi / Kılıçaslan,2+1,14000.0
Talas,2+1,17500.0
Talas,3+1,16500.0
Talas,3+1,17000.0
Kocasinan / Fevziçakmak,3+1,15000.0
Kocasinan / Sanayi,2+1,7250.0
Kocasinan / Merkez,2+1,14500.0
Talas,2.5+1,19000.0
Kocasinan / Argıncık,2+1,8000.0
Talas,2.5+1,16500.0
Kocasinan / Yenimahalle,3+1,11000.0
Kocasinan / Merkez,2+1,12000.0
Kocasinan / Merkez,4+0,13500.0
Talas,2+1,18000.0
Kocasinan / Sanayi,3+1,17000.0
Melikgazi / Becen,3+1,12500.0
Talas,2.5+1,14500.0
Melikgazi / Hürriyet,3+1,10000.0
Melikgazi / Kılıçaslan,4+1,17000.0
Talas,1+1,16990.0
Melikgazi / Kılıçaslan,3+1,10000.0
Talas,3+1,16000.0
Melikgazi / Merkez,2+1,18000.0
Kocasinan / Yenişehir,3+1,17500.0
Talas,3+1,16500.0
Melikgazi / Hürriyet,2+1,7000.0
Talas,2.5+1,18000.0
Talas,3+1,19500.0
Kocasinan / Yenimahalle,2+1,9500.0
Talas,3+1,18250.0
Kocasinan / İldem/Beyazşehir,2+1,11500.0
Melikgazi / Mimarsinan,3+1,14000.0
Melikgazi / Mimarsinan,2+1,12000.0
Melikgazi / Gesi,3+1,16000.0
Talas,3+1,15000.0
Kocasinan / Yenimahalle,3+1,17500.0
Kocasinan / Yenimahalle,3+1,13000.0
Melikgazi / Şeker/Keykubat,3+1,15000.0
Melikgazi / Mimarsinan,2+1,10500.0
Kocasinan / Yenişehir,3+1,13750.0
Melikgazi / Mimarsinan,3+1,12500.0
Kocasinan / Sanayi,3+1,10000.0
Kocasinan / Yenişehir,3+1,12000.0
Melikgazi / Gesi,3+1,16000.0
Melikgazi / Mimarsinan,2+1,11000.0
Kocasinan / Merkez,2+1,15250.0
Melikgazi / Gesi,3+1,16500.0
Melikgazi / Kılıçaslan,3+1,12000.0
Melikgazi / Becen,3+1,12500.0
Melikgazi / Hürriyet,3+1,18500.0
Melikgazi / Şeker/Keykubat,3+1,16000.0
Kocasinan / Yenişehir,3+1,12000.0
Melikgazi / Merkez,3+1,19000.0
Kocasinan / Fevziçakmak,2+1,16000.0
Kocasinan / Sanayi,2+1,19000.0
Kocasinan / Yenişehir,3+1,15000.0
Talas,1+1,18000.0
Kocasinan / Merkez,2+1,16000.0
Kocasinan / Erkilet,3+1,16000.0
Melikgazi / Hürriyet,3+1,8000.0
Kocasinan / Sanayi,2+1,18750.0
Melikgazi / Gesi,3+1,12500.0
Talas,3+1,14500.0
Melikgazi / Çiftlik,3+1,18500.0
Talas,2.5+1,16800.0
Melikgazi / Mimarsinan,3+1,17500.0
Melikgazi / Mimarsinan,2+1,8499.0
Melikgazi / Hürriyet,3+1,14000.0
Melikgazi / Gesi,2+1,10500.0
Kocasinan / Merkez,2+1,12500.0
Melikgazi / Çiftlik,3+1,18000.0
Melikgazi / Mimarsinan,3+1,12250.0
Talas,3+1,18500.0
Kocasinan / Sanayi,3+1,9750.0
Kocasinan / Merkez,2+1,11000.0
Talas,1+1,17000.0
Kocasinan / Erkilet,3+1,18000.0
Kocasinan / Yenimahalle,3+1,17000.0
Melikgazi / Becen,3+1,16000.0
Melikgazi / Gesi,3+1,15000.0
Talas,1+1,12000.0
Talas,3+1,13000.0
Melikgazi / Gesi,3+1,16000.0
Kocasinan / Yenişehir,3+1,15500.0
Kocasinan / Sanayi,2+1,19000.0
Kocasinan / Yenişehir,3+1,19750.0
Kocasinan / Yenimahalle,1+1,10000.0
Talas,3+1,16750.0
Melikgazi / Şeker/Keykubat,3+1,14000.0
Melikgazi / Hürriyet,2+1,9750.0
Melikgazi / Mimarsinan,3+1,12500.0
Melikgazi / Becen,2+1,11995.0
