name,price,url,id
Milano Servis Masası Natural,94950.0,https://www.chakra.com.tr/milano-servis-masasi-natural-8682313388857/,8682313388857
Milano Bar Masası Natural,10950.0,https://www.chakra.com.tr/milano-bar-masasi-natural-8682313389373/,8682313389373
New Mischa Koltuk Natural,79950.0,https://www.chakra.com.tr/new-mischa-koltuk-natural-8682313389359/,8682313389359
Elonor Sandalye Natural,17450.0,https://www.chakra.com.tr/elonor-sandalye-natural-8682313412316/,8682313412316
Dolce Vita Üçlü Kanepe Syh Siyah,149950.0,https://www.chakra.com.tr/dolce-vita-uclu-kanepe-syh-siyah-8682313390751/,8682313390751
Skak Bar Sandalyesi Natural,64950.0,https://www.chakra.com.tr/skak-bar-sandalyesi-natural-8682313389069/,8682313389069
Kawa Koltuk Seti (1 Kanepe+ 2 Tekli Koltuk + 1Orta Sehpa) Natural,189500.0,https://www.chakra.com.tr/kawa-koltuk-seti-1-kanepe-2-tekli-koltuk-1orta-sehpa-natural-8682313392861/,8682313392861
Rey Puf Syh Siyah,169830.0,https://www.chakra.com.tr/rey-puf-syh-siyah-8682313390089/,8682313390089
Rey Yan Sehpa Syh Siyah,24950.0,https://www.chakra.com.tr/rey-yan-sehpa-syh-siyah-8682313390645/,8682313390645
Nina Yan Sehpa Syh Siyah,19950.0,https://www.chakra.com.tr/nina-yan-sehpa-syh-siyah-8682313390690/,8682313390690
Jackson Sandalye Natural,17450.0,https://www.chakra.com.tr/jackson-sandalye-natural-8682313384033/,8682313384033
Banana Sandalye Natural,19950.0,https://www.chakra.com.tr/banana-sandalye-natural-8682313384057/,8682313384057
Calıfornıa Tekli Koltuk Natural,39950.0,https://www.chakra.com.tr/california-tekli-koltuk-natural-8682313382572/,8682313382572
Shuka Masa Natural,72450.0,https://www.chakra.com.tr/shuka-masa-natural-8682313327559/,8682313327559
Aprılla Sandalye Natural,14950.0,https://www.chakra.com.tr/aprilla-sandalye-natural-8682313323902/,8682313323902
