product-name,product-price,shown_price,id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Revolution Reloaded Far Paleti Velvet Rose,934.9,934.9,Revolution Reloaded Far Paleti Velvet Rose,12,0.0,0.0,0.0,
L'Oreal Paris Infaillible 3-Second Makyaj Sabitleme Spreyi,1079.9,1079.9,L'Oreal Paris Infaillible 3-Second Makyaj Sabitleme Spreyi,12,0.0,0.0,0.0,
Nyx Professional Makeup Buttermelt Highlighter Kremsi Pudra Aydınlatıcı 05 Bright And Butta,1099.9,1099.9,Nyx Professional Makeup Buttermelt Highlighter Kremsi Pudra Aydınlatıcı 05 Bright And Butta,12,0.0,0.0,0.0,
Flormar Sheer Up Ruj No: 003 Pinky Nude,869.9,869.9,Flormar Sheer Up Ruj No: 003 Pinky Nude,12,0.0,0.0,0.0,
Nyx Professional Makeup Wonder Snatch Sabitleyici Pudra Cheeky Cherry,849.9,849.9,Nyx Professional Makeup Wonder Snatch Sabitleyici Pudra Cheeky Cherry,12,0.0,0.0,0.0,
Maybelline New York Instant Anti Age Eraser Kapatıcı 01 Light,1399.9,1399.9,Maybelline New York Instant Anti Age Eraser Kapatıcı 01 Light,12,0.0,0.0,0.0,
Nyx Professional Makeup Wonder Snatch Sabitleyici Pudra Sugar Serve,849.9,849.9,Nyx Professional Makeup Wonder Snatch Sabitleyici Pudra Sugar Serve,12,0.0,0.0,0.0,
Revolution Reloaded Aydınlatıcı Just My Type,749.9,749.9,Revolution Reloaded Aydınlatıcı Just My Type,12,0.0,0.0,0.0,
Nyx Professional Makeup Buttermelt Blush Kremsi Pudra Allık 01 My Butta Half,1099.9,1099.9,Nyx Professional Makeup Buttermelt Blush Kremsi Pudra Allık 01 My Butta Half,12,0.0,0.0,0.0,
Revolution Reloaded Palette Affection Far Paleti,934.9,934.9,Revolution Reloaded Palette Affection Far Paleti,12,0.0,0.0,0.0,
Nyx Professional Makeup Slim Lip Kalem Nude Truffle,899.9,899.9,Nyx Professional Makeup Slim Lip Kalem Nude Truffle,12,0.0,0.0,0.0,
Revolution Pressed Pudra Pops Translucent,999.9,999.9,Revolution Pressed Pudra Pops Translucent,12,0.0,,0.0,
Maybelline New York Lash Sensational Yelpaze Etkili Suya Dayanıklı Maskara Siyah,1349.9,1349.9,Maybelline New York Lash Sensational Yelpaze Etkili Suya Dayanıklı Maskara Siyah,12,0.0,0.0,0.0,
L'Oreal Paris True Match Fondöten No: 1N,1699.9,1699.9,L'Oreal Paris True Match Fondöten No: 1N,12,0.0,0.0,0.0,
Maybelline New York Sky High Burgundy Haze Maskara,1699.9,1699.9,Maybelline New York Sky High Burgundy Haze Maskara,12,0.0,0.0,0.0,
L'Oréal Paris Infaillible 24H Brow Lamination Şeffaf Kaş Sabitleyici,1399.9,1399.9,L'Oréal Paris Infaillible 24H Brow Lamination Şeffaf Kaş Sabitleyici,12,0.0,0.0,0.0,
Flormar Extreme Tattoo Yoğun Pigmentli Mat Jel Göz Kalemi No: 005 Very Berry,799.9,799.9,Flormar Extreme Tattoo Yoğun Pigmentli Mat Jel Göz Kalemi No: 005 Very Berry,12,0.0,0.0,0.0,
Nyx Professional Makeup Buttermelt Bronzer 03 Deserve Butta,1099.9,1099.9,Nyx Professional Makeup Buttermelt Bronzer 03 Deserve Butta,12,0.0,0.0,0.0,
L'Oreal Paris Telescopic Carbon Siyah Maskara,1569.9,1569.9,L'Oreal Paris Telescopic Carbon Siyah Maskara,12,0.0,0.0,0.0,
Nyx Professional Makeup Make em Wonder Fondöten 08 Vanilla,999.9,999.9,Nyx Professional Makeup Make em Wonder Fondöten 08 Vanilla,12,0.0,0.0,0.0,
L'Oreal Paris True Match Bakım Yapan Fondöten 1.5N Linen,1699.9,1699.9,L'Oreal Paris True Match Bakım Yapan Fondöten 1.5N Linen,12,0.0,0.0,0.0,
Flormar Sheer Up Ruj No: 009 Baby Girl,869.9,869.9,Flormar Sheer Up Ruj No: 009 Baby Girl,12,0.0,0.0,0.0,
Note 3 in 1 Healthy Skin Light Tinted Moisturizer SPF 50 Renk Ton Eşitleyici Aydınlatıcı Krem,949.9,949.9,Note 3 in 1 Healthy Skin Light Tinted Moisturizer SPF 50 Renk Ton Eşitleyici Aydınlatıcı Krem,12,0.0,0.0,0.0,
Revolution Maxi Reloaded Nudes Far Paleti Ultimate,1999.9,1999.9,Revolution Maxi Reloaded Nudes Far Paleti Ultimate,12,0.0,,0.0,
Nyx Professional Makeup Pore Filler Makyaj Bazı,1459.9,1459.9,Nyx Professional Makeup Pore Filler Makyaj Bazı,12,0.0,0.0,0.0,
Note Cosmetique 3 in 1 Healthy Skin Light Tinted Moisturizer SPF 50 Renk Ton Eşitleyici Aydınlatıcı Krem 00 Açık Ton,949.9,949.9,Note Cosmetique 3 in 1 Healthy Skin Light Tinted Moisturizer SPF 50 Renk Ton Eşitleyici Aydınlatıcı Krem 00 Açık Ton,12,0.0,0.0,0.0,
Essence I Love Extreme Crazy Volume Maskara,239.9,239.9,Essence I Love Extreme Crazy Volume Maskara,12,0.0,0.0,0.0,
Golden Rose Max Hold Brow Glue Şeffaf Kaş Sabitleyici,504.9,504.9,Golden Rose Max Hold Brow Glue Şeffaf Kaş Sabitleyici,12,0.0,,0.0,
Maybelline New York Instant Eraser Anti Age Kapatıcı No: 00 Ivory,1399.9,1399.9,Maybelline New York Instant Eraser Anti Age Kapatıcı No: 00 Ivory,12,0.0,0.0,0.0,
L'Oreal Paris Infaillible 24H Kapatıcı 326 Vanilla,1459.9,1459.9,L'Oreal Paris Infaillible 24H Kapatıcı 326 Vanilla,12,0.0,0.0,0.0,
Golden Rose Strobing Highlighter Paleti,1144.9,1144.9,Golden Rose Strobing Highlighter Paleti,12,0.0,0.0,0.0,
Maybelline New York Lifter Kafein ve Peptitler İçeren Nemlendiren ve Aydınlatan Kapatıcı 15,1099.9,1099.9,Maybelline New York Lifter Kafein ve Peptitler İçeren Nemlendiren ve Aydınlatan Kapatıcı 15,12,0.0,0.0,0.0,
Nyx Professional Makeup The Super Brow Glue Sabitleyici Kaş Jeli O1,949.9,949.9,Nyx Professional Makeup The Super Brow Glue Sabitleyici Kaş Jeli O1,12,0.0,0.0,0.0,
Maybelline New York Lash Sensational Body Maskara,1699.9,1699.9,Maybelline New York Lash Sensational Body Maskara,12,0.0,0.0,0.0,
L'Oreal Paris True Match Fondöten 1R1C1K Ivory Rose,1699.9,1699.9,L'Oreal Paris True Match Fondöten 1R1C1K Ivory Rose,12,0.0,0.0,0.0,
Pastel Beauty Filter Fixing Powder Pudra 00,734.9,734.9,Pastel Beauty Filter Fixing Powder Pudra 00,12,0.0,,0.0,
Maybelline New York Lifter Liner Dudak Kalemi 05 On It,849.9,849.9,Maybelline New York Lifter Liner Dudak Kalemi 05 On It,12,0.0,0.0,0.0,
Revolution Reloaded Far Paleti Iconic 3.0,934.9,934.9,Revolution Reloaded Far Paleti Iconic 3.0,12,0.0,0.0,0.0,
Note Bb Kapatıcı No: 01,899.9,899.9,Note Bb Kapatıcı No: 01,12,0.0,,0.0,
L'Oreal Paris Infaillible Matte Resistance Likit Mat Ruj 635 Worth It (Medium),1699.9,1699.9,L'Oreal Paris Infaillible Matte Resistance Likit Mat Ruj 635 Worth It (Medium),12,0.0,,,
