name,price,shown_price,id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Banila Co Clean It Zero Yağ Bazlı Yüz Temizleyici Balm Orijinal 180 ml,2699.9,2699.9,Banila Co Clean It Zero Yağ Bazlı Yüz Temizleyici Balm Orijinal 180 ml,12,0.0,0.0,,
Medicube Age-R Booster Pro Mini Beyaz Cilt Bakım Cihazı,19999.0,19999.0,Medicube Age-R Booster Pro Mini Beyaz Cilt Bakım Cihazı,12,0.0,0.0,,
"Nivea Luminous630 Güneş Korumalı Leke Karşıtı SPF50 Gündüz Yüz Kremi 40 ml Hyaluronik Asit, E Vitamini",1299.9,1299.9,"Nivea Luminous630 Güneş Korumalı Leke Karşıtı SPF50 Gündüz Yüz Kremi 40 ml Hyaluronik Asit, E Vitamini",12,0.0,,,
Neutrogena Bakım Kremi Besleyici 300 ml,289.9,289.9,Neutrogena Bakım Kremi Besleyici 300 ml,12,0.0,0.0,,
BIODANCE BIO COLLAGEN-REAL DEEP MASKE 34G,679.9,679.9,BIODANCE BIO COLLAGEN-REAL DEEP MASKE 34G,12,0.0,,,
Neutrogena Hydro Boost Water Gel Nemlendirici Normal Ciltler 50 ml,792.9,792.9,Neutrogena Hydro Boost Water Gel Nemlendirici Normal Ciltler 50 ml,12,0.0,0.0,,
The Purest Solutions Gözenek Sıkılaştırıcı Tonik 200 ml,749.9,749.9,The Purest Solutions Gözenek Sıkılaştırıcı Tonik 200 ml,12,0.0,0.0,,
Vaseline Kakao Işıltısı Vücut Losyonu 400 ml,719.9,719.9,Vaseline Kakao Işıltısı Vücut Losyonu 400 ml,12,0.0,10.770887828896754,,
Sinoz Cica Ton Eşitleyici Yüz Güneş Koruyucu Losyon SPF50+ 50 ml,1099.9,1099.9,Sinoz Cica Ton Eşitleyici Yüz Güneş Koruyucu Losyon SPF50+ 50 ml,12,0.0,,,
Haruharu Black Rice Airyfit Yüz Güneş Kremi SPF50 50 ml,2149.9,2149.9,Haruharu Black Rice Airyfit Yüz Güneş Kremi SPF50 50 ml,12,0.0,,,
The Purest Solutions Yağlı ve Karma Ciltler Için Siyah Nokta Karşıtı Temizleme Jeli 200 ml,749.9,749.9,The Purest Solutions Yağlı ve Karma Ciltler Için Siyah Nokta Karşıtı Temizleme Jeli 200 ml,12,0.0,0.0,,
The Purest Solutions Aydınlatıcı Serum 30 ml,749.9,749.9,The Purest Solutions Aydınlatıcı Serum 30 ml,12,0.0,0.0,,
Garnier Micellar Kusursuz Makyaj Temizleme Suyu 400 ml,429.9,429.9,Garnier Micellar Kusursuz Makyaj Temizleme Suyu 400 ml,12,0.0,0.0,,
Axis-Y Leke Önleyici ve Aydınlatıcı Serum 50 ml,2124.9,2124.9,Axis-Y Leke Önleyici ve Aydınlatıcı Serum 50 ml,12,0.0,0.0,,
Round Lab 1025 Dokdo Krem 80 ml,2339.9,2339.9,Round Lab 1025 Dokdo Krem 80 ml,12,0.0,,,
The Purest Solutions Akne Giderici Bakım Serum 30 ml,699.9,699.9,The Purest Solutions Akne Giderici Bakım Serum 30 ml,12,0.0,0.0,,
Nivea Kiraz Çiçeği ve Jojoba Yağı Vücut Losyonu 400 ml Normal ve Kuru Ciltler 24 Saat Nemlendirme,534.9,534.9,Nivea Kiraz Çiçeği ve Jojoba Yağı Vücut Losyonu 400 ml Normal ve Kuru Ciltler 24 Saat Nemlendirme,12,0.0,0.0,,
Nivea Derma Skin Clear Sivilce Karşıtı Yüz Temizleme Jeli 150 ml,459.9,459.9,Nivea Derma Skin Clear Sivilce Karşıtı Yüz Temizleme Jeli 150 ml,12,0.0,0.0,,
Round Lab Birch Juice Yüz Temizleme Jeli 150 ml,1299.9,1299.9,Round Lab Birch Juice Yüz Temizleme Jeli 150 ml,12,0.0,,,
Medicube Kolajen Gece Maskesi 75 ml,3599.9,3599.9,Medicube Kolajen Gece Maskesi 75 ml,12,0.0,0.0,,
Roc Leke Karşıtı Yüz Güneş Kremi SPF50+ 50 ml,2199.9,2199.9,Roc Leke Karşıtı Yüz Güneş Kremi SPF50+ 50 ml,12,0.0,,,
Pure Korean Akne Sivilce Spot Patch,99.95,99.95,Pure Korean Akne Sivilce Spot Patch,12,0.0,0.0,,
Axis-Y Nemlendirici ve Kırışıklık Karşıtı Göz Serumu 10 ml,1999.9,1999.9,Axis-Y Nemlendirici ve Kırışıklık Karşıtı Göz Serumu 10 ml,12,0.0,0.0,,
